MYEAR	PROJ	ORDERER	SLABO	ALABO	SDATE	STIME	EDATE	ETIME	SHIPC	CRUISE_NO	SERNO	STATN	LATIT	LONGI	POSYS	WADEP	COMNT_VISIT	ADD_SMP	SMTYP	INSTRUMENT_ID	REFSK_SMP	REV_DATE	FILE_NAME	FILE_NAME_DATABASE	WINDIR	WINSP	AIRTEMP	AIRPRES	WEATH	CLOUD	WAVES	ICEOB
2018	RNE/NAT	HAV	UMSC	UMSC	2018-03-13	09:04			7774	3	0001	RA2	6543.80	2226.80	GPS	12			CTD	SBE7668	HC-C-C2		RA2_v11_18.cnv	ctd_profile_20180313_7774_0001.txt	31	6			1	6		8
2018	RNE/NAT	HAV	UMSC	UMSC	2018-03-13	11:53			7774	3	0002	RA1	6548.46	2222.49	GPS	7	Inget CTD-kast då pumpen ej har startat.		CTD	SBE7668	HC-C-C2			ctd_profile_20180313_7774_0002.txt	31	7			1	4		8
2018	BAS/NAT	HAV	UMSC	UMSC	2018-03-15	09:53			7774	4	0003	B7	6331.50	1948.51	GPS	23			CTD	SBE7668	HC-C-C2		B7_v11_18.cnv	ctd_profile_20180315_7774_0003.txt	18	1			1	1		8
2018	BAS/NAT	HAV	UMSC	UMSC	2018-04-12	11:36			7798	7	0001	B3	6330.00	1949.20	GPS	22			CTD	SBE7668	HC-C-C2		B3_v15_18.cnv	ctd_profile_20180412_7798_0001.txt	18	2			0	0	0	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-05-28	09:31			77GA	11	0001	B3	6329.99	1948.98	GPS	26			CTD	SBE7668	HC-C-C2		B3_v22_18.cnv	ctd_profile_20180528_77GA_0001.txt	18	6			0	0	2	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-04	13:58			77GA	12	0002	SHa1	6313.58	1856.30	GPS	11			CTD	SBE7668	HC-C-C2		Ha1_v23_18.cnv	ctd_profile_20180604_77GA_0002.txt	30	15			1	4	3	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-04	14:56			77GA	12	0003	SHa2	6314.32	1854.26	GPS	25			CTD	SBE7668	HC-C-C2		Ha2_v23_18.cnv	ctd_profile_20180604_77GA_0003.txt	30	12			1	5	3	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-04	15:47			77GA	12	0004	SGv1	6311.80	1849.14	GPS	42			CTD	SBE7668	HC-C-C2		Gv1_v23_18.cnv	ctd_profile_20180604_77GA_0004.txt	30	8			1	6	2	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-04	16:40			77GA	12	0005	SGv2	6308.54	1846.44	GPS	22	Vajern trasslar, svårt att hålla båten i position pga vågorna.		CTD	SBE7668	HC-C-C2		Gv2_v23_18.cnv	ctd_profile_20180604_77GA_0005.txt	30	10			1	6	3	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-04	19:15			77GA	12	0006	SNf11	6302.79	1825.86	GPS	67			CTD	SBE7668	HC-C-C2		Nf11_v23_18.cnv	ctd_profile_20180604_77GA_0006.txt	32	9			2	7	2	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-04	19:53			77GA	12	0007	SNf12	6302.99	1824.91	GPS	68			CTD	SBE7668	HC-C-C2		Nf12_v23_18.cnv	ctd_profile_20180604_77GA_0007.txt	32	7			1	6	2	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-05	09:01			77GA	12	0008	SDo11	6302.64	1820.29	GPS	11	Position flyttad för att få >10m.		CTD	SBE7668	HC-C-C2		Do11_v23_18.cnv	ctd_profile_20180605_77GA_0008.txt	33	8			1	2	2	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-05	09:40			77GA	12	0009	SDo12	6302.20	1819.94	GPS	14	Position flyttad för att få djup >10m.		CTD	SBE7668	HC-C-C2		Do12_v23_18.cnv	ctd_profile_20180605_77GA_0009.txt	33	7			1	3	1	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-05	11:06			77GA	12	0010	SOm1	6257.37	1829.41	GPS	69			CTD	SBE7668	HC-C-C2		Om1_v23_18.cnv	ctd_profile_20180605_77GA_0010.txt	27	11			1	4	2	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-05	12:04			77GA	12	0011	SOm2	6257.41	1825.06	GPS	49			CTD	SBE7668	HC-C-C2		Om2_v23_18.cnv	ctd_profile_20180605_77GA_0011.txt	30	6			1	5	2	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-05	16:43			77GA	12	0012	SAl1	6239.55	1756.42	GPS	48			CTD	SBE7668	HC-C-C2		Al1_v23_18.cnv	ctd_profile_20180605_77GA_0012.txt	31	6			1	3	2	0
2018	PROJ Bottenhavet pelagisk verifikation	YLST	UMSC	UMSC	2018-06-05	17:24			77GA	12	0013	SAl2	6239.96	1752.48	GPS	16			CTD	SBE7668	HC-C-C2		Al2_v23_18.cnv	ctd_profile_20180605_77GA_0013.txt	31	9			1	5	2	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-03-20	10:38			77HP	5	0001	A5	6511.57	2312.08	GPS	70	Vi kom inte fram till positionen (pga isen) och därför blev maxdjupet bara 70 m.		CTD	SBE7668	HC-C-C2		A5_v12_18.cnv	ctd_profile_20180320_77HP_0001.txt	0	0			0	0		8
2018	BAS/NAT	HAV	UMSC	UMSC	2018-01-16	21:17			77K9	1	0001	A13	6442.56	2203.84	GPS	124	F9 Kartering åt SMHI. 		CTD	SBE4644	HC-C-C2		A13_v03_18.cnv	ctd_profile_20180116_77K9_0001.txt	17	14			9	9	4	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-01-16	23:54			77K9	1	0002	A8	6458.09	2152.08	GPS	87	RR1 Kartering åt SMHI.		CTD	SBE4644	HC-C-C2		RR1_v03_18.cnv	ctd_profile_20180116_77K9_0002.txt	17	12			9	9	4	0
2018	RNE/NAT	HAV	UMSC	UMSC	2018-01-17	09:37			77K9	1	0003	RA2	6543.77	2226.81	GPS	12	Svävare KBV 590. 		CTD	SBE7668	HC-C-C2		RA2_v03_18.cnv	ctd_profile_20180117_77K9_0003.txt	14	10			2	8		8
2018	BAS/NAT	HAV	UMSC	UMSC	2018-01-17	15:52			77K9	1	0004	A1	6523.30	2329.73	GPS	99	F2 Kartering åt SMHI.		CTD	SBE4644	HC-C-C2		F2_v03_18.cnv	ctd_profile_20180117_77K9_0004.txt	12	10			9	9	4	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-01-17	18:36			77K9	1	0005	A5	6510.03	2313.93	GPS	96			CTD	SBE4644	HC-C-C2		A5_v03_18.cnv	ctd_profile_20180117_77K9_0005.txt	13	10			7	9	5	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-01-18	14:47			77K9	1	0006	B3	6329.93	1949.12	GPS	22			CTD	SBE4644	HC-C-C2		B3_v03_18.cnv	ctd_profile_20180118_77K9_0006.txt	8	3			2	8	1	1
2018	BAS/NAT	HAV	UMSC	UMSC	2018-01-19	01:14			77K9	1	0007	C1	6235.21	1958.34	GPS	207	US5B Kartering åt SMHI.		CTD	SBE4644	HC-C-C2		US5B_v03_18.cnv	ctd_profile_20180119_77K9_0007.txt	8	4			7	9	1	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-01-19	07:10			77K9	1	0008	C14	6205.98	1832.87	GPS	87			CTD	SBE4644	HC-C-C2		C14_v03_18.cnv	ctd_profile_20180119_77K9_0008.txt	6	1			7	6	1	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-01-19	11:53			77K9	1	0009	C3	6239.16	1857.12	GPS	196			CTD	SBE4644	HC-C-C2		C3_v03_18.cnv	ctd_profile_20180119_77K9_0009.txt	8	4			2	7	2	0
2018	GAV/NAT	HAV	UMSC	UMSC	2018-01-19	19:25			77K9	1	0010	GA1	6251.83	1815.85	GPS	82			CTD	SBE4644	HC-C-C2		GA1_v03_18.cnv	ctd_profile_20180119_77K9_0010.txt	7	6			7	9	0	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-19	14:06			77K9	2	0011	B3	6329.95	1949.18	GPS	23			CTD	SBE4644	HC-C-C2		B3_v08_18.cnv	ctd_profile_20180219_77K9_0011.txt	5	2			1	3		7
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-19	19:33			77K9	2	0012	C5	6250.98	1853.51	GPS	201	US2 Kartering åt SMHI.		CTD	SBE4644	HC-C-C2		US2_v08_18.cnv	ctd_profile_20180219_77K9_0012.txt	4	6			7	8	3	0
2018	GAV/NAT	HAV	UMSC	UMSC	2018-02-19	22:48			77K9	2	0013	GA1	6251.82	1815.83	GPS	82			CTD	SBE4644	HC-C-C2		GA1_v08_18.cnv	ctd_profile_20180219_77K9_0013.txt	2	4			7	9		7
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-20	03:42			77K9	2	0014	C13	6207.92	1752.41	GPS	75	MS2 Kartering åt SMHI.		CTD	SBE4644	HC-C-C2		MS2_v08_18.cnv	ctd_profile_20180220_77K9_0014.txt	3	6			3	9	2	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-20	10:04			77K9	2	0015	C11	6113.90	1739.75	GPS	62	SR1A Kartering åt SMHI.		CTD	SBE4644	HC-C-C2		SR1A_v08_18.cnv	ctd_profile_20180220_77K9_0015.txt	6	2			7	6	2	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-20	16:07			77K9	2	0016	D2	6032.36	1855.83	GPS	137	F33 Kartering åt SMHI. 		CTD	SBE4644	HC-C-C2		F33_v08_18.cnv	ctd_profile_20180220_77K9_0016.txt	6	2			1	5	2	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-20	21:20			77K9	2	0017	C24	6111.11	1813.99	GPS	72	SR3 Kartering åt SMHI.		CTD	SBE4644	HC-C-C2		SR3_v08_18.cnv	ctd_profile_20180220_77K9_0017.txt	2	3			2	9	0	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-21	04:11			77K9	2	0018	C16	6159.00	1909.88	GPS	75	MS6 Kartering åt SMHI. Inget CTD-kast pga. instrumentproblem.		CTD	SBE4644	HC-C-C2			ctd_profile_20180221_77K9_0018.txt	9	5			3	9	1	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-21	07:09			77K9	2	0019	C14	6205.99	1832.90	GPS	87			CTD	SBE4644	HC-C-C2		C14_v08_18.cnv	ctd_profile_20180221_77K9_0019.txt	3	5			2	8	3	0
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-21	13:03			77K9	2	0020	C3	6239.17	1857.11	GPS	195			CTD	SBE4644	HC-C-C2		C3_v08_18.cnv	ctd_profile_20180221_77K9_0020.txt	10	2			1	4	1	4
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-21	16:09			77K9	2	0021	C6	6245.00	1912.34	GPS	177	US3 Kartering åt SMHI.		CTD	SBE4644	HC-C-C2		US3_v08_18.cnv	ctd_profile_20180221_77K9_0021.txt	9	3			1	6	0	4
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-21	21:07			77K9	2	0022	B5	6318.57	2016.80	GPS	101	F18 Kartering åt SMHI. 		CTD	SBE4644	HC-C-C2		F18_v08_18.cnv	ctd_profile_20180221_77K9_0022.txt	13	1			0	0	0	4
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-22	04:05			77K9	2	0023	A19	6347.43	2128.93	GPS	64	F13 Kartering åt SMHI.		CTD	SBE4644	HC-C-C2		F13_v08_18.cnv	ctd_profile_20180222_77K9_0023.txt	24	1			0	0	0	1
2018	BAS/NAT	HAV	UMSC	UMSC	2018-02-22	10:18			77K9	2	0024	A3	6418.37	2221.61	GPS	106	BO3 Kartering åt SMHI.		CTD	SBE4644	HC-C-C2		BO3_v08_18.cnv	ctd_profile_20180222_77K9_0024.txt	30	2			1	1		8
