INSTRUMENT_ID	INSTRUMENT_PROD	INSTRUMENT_MOD	INSTRUMENT_SERIE	VALIDFR	VALIDTO	PARAM_REPORTED	PARAM_SIMPLE	PARAM	MUNIT	CALCULATED	CALCULATE_REF	SENSOR_PROD	SENSOR_MOD	SENSOR_ID	CALIB_DATE	LMQNT	RANA	UNCERT	FREQ	MET_COMNT
SBE4644	Seabird	SBE 19 plus	4644	2018-01-01 00:00:00	2018-12-31 00:00:00	prdM: Pressure, Strain Gauge [db]	Tryck	PRES_CTD	dbar				Strain Gauge sensor	4644	2018-03-20	0	0-1000m	0.001	4	
SBE4644	Seabird	SBE 19 plus	4644	2018-01-01 00:00:00	2018-12-31 00:00:00	 c0S/m: Conductivity [S/m]	Konduktivitet	CNDC_CTD	S/m			SeaBird	SBE 19plus	4644	2018-03-20	0	0.0-9.0 S/m	± 0.0005 S/m	4	
SBE4644	Seabird	SBE 19 plus	4644	2018-01-01 00:00:00	2018-12-31 00:00:00	tv290C: Temperature [ITS-90, deg C]	Temperatur	TEMP_CTD	°C (ITS-90)			SeaBird	SBE 19plus	4644	2018-03-20	-5.0	-5.0 - +35 °C	± 0.005 °C	4	
SBE4644	Seabird	SBE 19 plus	4644	2018-01-01 00:00:00	2018-12-31 00:00:00	PAR/Irradiance, Biospherical/Licor	PAR	PAR_CTD	µmol/(m2 sec)			Licor	LI 193 SA	4468	2010-04-27	1	1 – 10 000 µmol/(s*m2)			
SBE4644	Seabird	SBE 19 plus	4644	2018-01-01 00:00:00	2018-12-31 00:00:00	 dz/dtM: Descent Rate [m/s]	Fallhastighet	DESC_RATE_CTD	m/s	ja	Derivative of pressure with respect to time									calculated in seabird dataprocessing by using the derivative of pressure with respect to time
SBE4644	Seabird	SBE 19 plus	4644	2018-01-01 00:00:00	2018-12-31 00:00:00	sbeox0ML/L: Oxygen, SBE 43 [ml/l]	Syrgashalt	DOXY_CTD	ml/l			SeaBird	SBE 43	2235	2018-03-20	0.1	120% of surface saturation in all natural waters, fresh and salt	± 2% of saturation	4	
SBE4644	Seabird	SBE 19 plus	4644	2018-01-01 00:00:00	2018-12-31 00:00:00	density00: Density [density, kg/m^3]	Densitet	DENS_CTD	kg/m3	ja	UNESCO 1983 (EOS 80)									calculated from salinity, temperature and pressure
SBE4644	Seabird	SBE 19 plus	4644	2018-01-01 00:00:00	2018-12-31 00:00:00	 sal00: Salinity, Practical [PSU]	Salthalt	SALT_CTD	psu (PSS-78)	ja	UNESCO 1983 (EOS 80)					2				calculated from conductivity, temperature and pressure
SBE4644	Seabird	SBE 19 plus	4644	2018-01-01 00:00:00	2018-12-31 00:00:00	 depFM: Depth [fresh water, m], lat	Djup	DEPH	m	ja	Calculated from true density profile									calculated from density and pressure
SBE4644	Seabird	SBE 19 plus	4644	2018-01-01 00:00:00	2018-12-31 00:00:00	 nbin: number of scans per bin	Antal scans	SCAN_CTD												
SBE7668	Seabird	SBE 19plus V2	7668	2018-01-01 00:00:00	2018-12-31 00:00:00	prdM: Pressure, Strain Gauge [db]	Tryck	PRES_CTD	dbar				Strain Gauge sensor	7668	2016-02-03	0	0-1000m	0.001	4	
SBE7668	Seabird	SBE 19plus V2	7668	2018-01-01 00:00:00	2018-12-31 00:00:00	 c0S/m: Conductivity [S/m]	Konduktivitet	CNDC_CTD	S/m			SeaBird	SBE 19plus V2	7668	2016-02-03	0	0.0-9.0 S/m	± 0.0005 S/m	4	
SBE7668	Seabird	SBE 19plus V2	7668	2018-01-01 00:00:00	2018-12-31 00:00:00	tv290C: Temperature [ITS-90, deg C]	Temperatur	TEMP_CTD	°C (ITS-90)			SeaBird	SBE 19plus V2	7668	2016-02-03	-5.0	-5.0 - +35 °C	± 0.005 °C	4	
SBE7668	Seabird	SBE 19plus V2	7668	2018-01-01 00:00:00	2018-12-31 00:00:00	PAR/Irradiance, Biospherical/Licor	PAR	PAR_CTD	µmol/(m2 sec)			Biospherical	QSP-2300	70306	2015-10-08	1.4x10e-5	1.4x10e-5 µE/(cm2 ·sec) to 0.5 µE/(cm2 ·sec)			
SBE7668	Seabird	SBE 19plus V2	7668	2018-01-01 00:00:00	2018-12-31 00:00:00	 dz/dtM: Descent Rate [m/s]	Fallhastighet	DESC_RATE_CTD	m/s	ja	Derivative of pressure with respect to time									calculated in seabird dataprocessing by using the derivative of pressure with respect to time
SBE7668	Seabird	SBE 19plus V2	7668	2018-01-01 00:00:00	2018-12-31 00:00:00	density00: Density [density, kg/m^3]	Densitet	DENS_CTD	kg/m3	ja	UNESCO 1983 (EOS 80)									calculated from salinity, temperature and pressure
SBE7668	Seabird	SBE 19plus V2	7668	2018-01-01 00:00:00	2018-12-31 00:00:00	 sal00: Salinity, Practical [PSU]	Salthalt	SALT_CTD	psu (PSS-78)	ja	UNESCO 1983 (EOS 80)					2				calculated from conductivity, temperature and pressure
SBE7668	Seabird	SBE 19plus V2	7668	2018-01-01 00:00:00	2018-12-31 00:00:00	 depFM: Depth [fresh water, m], lat	Djup	DEPH	m	ja	Calculated from true density profile									calculated from density and pressure
SBE7668	Seabird	SBE 19plus V2	7668	2018-01-01 00:00:00	2018-12-31 00:00:00	 nbin: number of scans per bin	Antal scans	SCAN_CTD												
