//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-01-22
//METADATA;STIME;09:43
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;7798
//METADATA;CRUISE_NO;
//METADATA;SERNO;0000
//METADATA;STATN;U19 NORRA RANDEN
//METADATA;LATIT;6006
//METADATA;LONGI;1854
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;
//METADATA;ADD_SMP;
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM908
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;NR180122.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180122_7798_0000.txt
//METADATA;WINDIR;
//METADATA;WINSP;
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;
//METADATA;ICEOB;
//METADATA;timestamp;2018-01-22 09:43:56
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 24 januari 2018 08:41:23
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -8.05462592000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.24369179000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\NR180122.SRD
//INSTRUMENT_METADATA;Lines :        504
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;          1 2018-01-22 09:43:56     0.29   -2.256   -0.034    0.028   -0.334  -269.38   -41.94   -29.37    90.92    10.29    3011
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.29		-2.256		-0.034		-29.37		90.92											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.39		2.314		5.514		9.89		104.23											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.62		2.334		5.523		9.81		100.24											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.93		2.344		5.524		9.75		44.46											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.14		2.345		5.525		9.72		36.87											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.37		2.345		5.528		9.62		33.28											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.62		2.331		5.535		9.30		27.42											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.92		2.331		5.536		9.30		26.36											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.12		2.330		5.536		9.30		24.63											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.41		2.330		5.536		9.29		19.97											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.63		2.329		5.536		9.29		19.70											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.87		2.328		5.536		9.29		17.44											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.12		2.327		5.536		9.28		17.70											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.37		2.331		5.537		9.27		16.50											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.62		2.328		5.537		9.27		15.04											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.87		2.329		5.540		9.15		15.71											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.19		2.330		5.540		9.15		14.91											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.46		2.329		5.540		9.15		14.24											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.67		2.329		5.540		9.15		13.31											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.87		2.330		5.540		9.15		12.64											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.13		2.328		5.540		9.15		12.24											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.37		2.330		5.540		9.15		11.71											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.63		2.328		5.541		9.15		11.05											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.89		2.340		5.544		9.14		10.38											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.20		2.345		5.549		9.09		9.85											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.46		2.345		5.550		9.09		9.45											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.62		2.345		5.549		9.09		9.45											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.95		2.346		5.549		9.09		8.92											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.12		2.347		5.549		9.09		8.65											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.40		2.346		5.549		9.09		8.25											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.64		2.347		5.549		9.08		8.12											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.87		2.338		5.552		9.06		7.45											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.15		2.332		5.564		8.96		7.19											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.48		2.325		5.565		8.96		7.05											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.63		2.322		5.567		8.96		6.92											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.94		2.318		5.567		8.97		6.52											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.24		2.320		5.566		8.96		6.39											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.37		2.324		5.567		8.96		6.39											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.62		2.322		5.567		8.96		6.25											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.88		2.320		5.567		8.97		5.99											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.13		2.318		5.569		8.97		5.86											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.49		2.314		5.569		8.97		5.72											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.68		2.315		5.572		8.97		5.59											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.91		2.315		5.575		8.97		5.46											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.15		2.318		5.579		8.97		5.32											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.40		2.331		5.586		8.96		5.19											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.68		2.337		5.588		8.96		5.19											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.04		2.350		5.603		8.96		5.06											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.23		2.428		5.645		8.92		5.06											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.44		2.510		5.662		8.89		4.92											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.66		2.558		5.687		8.88		4.92											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.97		2.616		5.697		8.87		4.79											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.18		2.648		5.712		8.86		4.66											
2018	01	22	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.40		2.680		5.719		8.83		4.66											
