//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-02-19
//METADATA;STIME;11:22
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;7798
//METADATA;CRUISE_NO;
//METADATA;SERNO;0000
//METADATA;STATN;U19 NORRA RANDEN
//METADATA;LATIT;6006
//METADATA;LONGI;1854
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;
//METADATA;ADD_SMP;
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM908
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;NR180219.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180219_7798_0000.txt
//METADATA;WINDIR;
//METADATA;WINSP;
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;
//METADATA;ICEOB;
//METADATA;timestamp;2018-02-19 11:22:44
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 20 februari 2018 08:17:54
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -4.54425152000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.18681093000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\NR180219.SRD
//INSTRUMENT_METADATA;Lines :        511
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;          1 2018-02-19 11:22:44     0.13   -1.488    0.073    0.064   -0.226  -266.74   -40.60   -28.43  2557.67    11.17    3033
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.13		-1.488		0.073		-28.43		2557.67											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.30		1.024		5.219		9.79		2714.36											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.55		1.027		5.224		9.77		2588.96											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.82		1.027		5.225		9.73		873.41											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.08		1.027		5.226		9.72		571.89											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.28		1.028		5.227		9.71		368.21											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.56		1.031		5.229		9.70		310.70											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.89		1.030		5.228		9.70		268.51											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.04		1.031		5.228		9.70		243.08											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.34		1.030		5.228		9.70		197.55											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.65		1.030		5.228		9.70		186.50											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.83		1.029		5.228		9.70		168.26											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.03		1.030		5.229		9.70		136.98											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.33		1.030		5.229		9.70		135.25											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.67		1.028		5.228		9.70		121.01											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.79		1.029		5.227		9.70		111.15											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.02		1.028		5.228		9.70		94.51											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.27		1.028		5.229		9.70		85.99											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.52		1.029		5.228		9.70		81.73											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.83		1.030		5.228		9.70		72.68											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.12		1.030		5.227		9.70		66.96											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.28		1.028		5.228		9.70		63.50											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.58		1.030		5.230		9.70		56.97											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.80		1.031		5.230		9.70		52.98											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.05		1.033		5.229		9.70		48.99											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.31		1.033		5.230		9.70		45.53											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.62		1.033		5.230		9.70		44.73											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.85		1.033		5.231		9.70		41.40											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.12		1.037		5.232		9.69		38.07											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.28		1.039		5.232		9.69		35.41											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.56		1.038		5.232		9.69		33.54											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.78		1.037		5.231		9.69		31.81											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.08		1.038		5.233		9.69		29.42											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.37		1.042		5.233		9.69		27.02											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.58		1.044		5.233		9.69		25.16											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.78		1.047		5.236		9.69		23.56											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.06		1.048		5.236		9.68		22.23											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.31		1.048		5.236		9.69		20.90											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.52		1.049		5.236		9.69		19.70											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.81		1.058		5.239		9.68		18.63											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.03		1.064		5.240		9.68		17.70											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.31		1.070		5.246		9.68		16.50											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.57		1.072		5.246		9.68		15.31											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.79		1.075		5.247		9.67		14.77											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.07		1.075		5.246		9.67		13.84											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.40		1.076		5.247		9.67		12.91											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.55		1.074		5.247		9.67		12.51											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.82		1.077		5.249		9.67		11.71											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.08		1.082		5.251		9.66		11.05											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.28		1.085		5.250		9.66		10.51											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.53		1.091		5.252		9.66		10.25											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.80		1.093		5.254		9.66		9.85											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.15		1.095		5.255		9.66		9.18											
2018	02	19	11	22	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.30		1.101		5.257		9.66		8.92											
