//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-03-19
//METADATA;STIME;11:35
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0023
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311803192.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180319_77FY_0023.txt
//METADATA;WINDIR;32
//METADATA;WINSP;12
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;2
//METADATA;CLOUD;7
//METADATA;WAVES;4
//METADATA;ICEOB;0
//METADATA;timestamp;2018-03-19 11:35:43
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 21 mars 2018 08:49:13
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -6.29943872000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.29756192000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311803192.SRD
//INSTRUMENT_METADATA;Lines :       1780
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;          1 2018-03-19 11:35:43     0.08    0.311   -0.035    0.027   -0.114  -268.43   -38.82   -27.18   561.51    10.49    3007
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	0.08		0.311		-0.035		-27.18		561.51											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	0.25		1.258		6.476		10.20		702.22											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	0.51		1.304		6.530		10.31		538.74											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	0.70		1.306		6.525		10.01		296.99											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	0.98		1.294		6.522		10.00		267.57											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	1.25		1.296		6.523		9.99		240.02											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	1.52		1.303		6.527		9.99		220.71											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	1.72		1.299		6.525		9.99		201.94											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	1.95		1.296		6.524		9.98		192.63											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	2.22		1.295		6.521		9.98		171.19											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	2.48		1.295		6.522		9.94		142.04											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	2.70		1.293		6.522		9.94		128.46											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	2.96		1.299		6.525		9.70		130.99											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	3.19		1.299		6.525		9.70		125.53											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	3.48		1.298		6.525		9.70		116.48											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	3.73		1.297		6.524		9.70		107.16											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	4.01		1.299		6.525		9.70		94.78											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	4.25		1.299		6.524		9.70		87.19											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	4.46		1.296		6.523		9.71		83.07											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	4.70		1.294		6.523		9.70		80.80											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	4.98		1.297		6.524		9.70		76.54											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	5.20		1.299		6.527		9.70		69.35											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	5.47		1.298		6.524		9.70		64.56											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	5.72		1.299		6.524		9.70		61.37											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	5.94		1.297		6.525		9.70		57.91											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	6.21		1.297		6.524		9.70		55.24											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	6.47		1.296		6.523		9.70		51.78											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	6.75		1.296		6.524		9.70		47.66											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	6.94		1.295		6.522		9.70		45.53											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	7.20		1.292		6.520		9.70		42.86											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	7.48		1.292		6.521		9.70		39.80											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	7.78		1.293		6.522		9.70		37.14											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	7.99		1.292		6.521		9.70		35.67											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	8.21		1.292		6.521		9.70		34.88											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	8.44		1.291		6.521		9.70		34.08											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	8.70		1.292		6.521		9.70		32.61											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	8.95		1.291		6.520		9.70		31.02											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	9.25		1.290		6.520		9.70		29.15											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	9.44		1.290		6.521		9.70		27.95											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	9.72		1.290		6.521		9.69		26.49											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	10.00		1.290		6.520		9.69		25.42											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	10.29		1.291		6.522		9.69		24.36											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	10.45		1.292		6.521		9.69		23.96											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	10.72		1.291		6.521		9.69		23.03											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	10.94		1.293		6.528		9.69		21.83											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	11.22		1.304		6.537		9.68		20.76											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	11.46		1.316		6.538		9.67		20.37											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	11.71		1.312		6.535		9.68		19.83											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	11.99		1.311		6.532		9.67		19.17											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	12.26		1.305		6.530		9.67		18.24											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	12.51		1.300		6.531		9.68		17.57											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	12.73		1.303		6.530		9.68		16.90											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	12.96		1.302		6.529		9.68		16.24											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	13.23		1.300		6.527		9.68		15.71											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	13.50		1.298		6.527		9.68		15.04											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	13.80		1.299		6.528		9.68		14.37											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	13.97		1.299		6.527		9.68		13.98											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	14.20		1.300		6.528		9.68		13.44											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	14.48		1.302		6.527		9.69		13.18											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	14.75		1.297		6.528		9.67		12.64											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	15.02		1.300		6.527		9.67		12.11											
2018	03	19	11	35	00	2018_77FY_	BY31	58.58333	18.23333	15.21		1.304		6.537		9.68		11.71											
