//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-03-23
//METADATA;STIME;08:28
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;7798
//METADATA;CRUISE_NO;
//METADATA;SERNO;0000
//METADATA;STATN;U19 NORRA RANDEN
//METADATA;LATIT;6006
//METADATA;LONGI;1854
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;
//METADATA;ADD_SMP;
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM908
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;NR180323.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180323_7798_0000.txt
//METADATA;WINDIR;
//METADATA;WINSP;
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;
//METADATA;ICEOB;
//METADATA;timestamp;2018-03-23 08:28:51
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 28 mars 2018 07:04:47
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -7.79134784000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.11736575000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\NR180323.SRD
//INSTRUMENT_METADATA;Lines :        493
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;          1 2018-03-23 08:28:51     0.22    1.787   -0.035    0.027   -0.041  -262.10   -36.38   -25.48  2228.99    10.56    3006
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.22		1.787		-0.035		-25.48		2228.99											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.35		0.559		5.220		10.59		4006.18											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.60		0.548		5.225		10.70		3983.28											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.91		0.522		5.208		10.09		779.16											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.10		0.515		5.208		10.09		668.67											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.36		0.528		5.209		10.05		563.90											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.64		0.527		5.210		10.05		514.38											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.85		0.517		5.205		10.05		419.33											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.19		0.497		5.205		10.06		361.96											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.36		0.499		5.205		10.05		307.51											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.62		0.500		5.205		10.05		297.26											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.84		0.481		5.202		10.05		260.78											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.13		0.479		5.205		10.05		225.91											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.37		0.488		5.204		10.04		192.89											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.68		0.496		5.202		10.04		177.45											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.89		0.488		5.204		10.04		155.48											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.10		0.494		5.208		10.04		136.31											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.37		0.502		5.211		10.03		114.08											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.62		0.486		5.213		10.02		101.30											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.87		0.485		5.213		10.01		85.99											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.11		0.489		5.214		10.01		72.68											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.35		0.492		5.214		10.00		64.16											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.61		0.494		5.217		10.00		52.05											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.84		0.490		5.223		9.99		41.40											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.14		0.494		5.222		9.98		43.26											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.36		0.494		5.223		9.98		41.00											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.60		0.490		5.226		9.98		38.07											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.91		0.492		5.227		9.98		35.67											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.16		0.492		5.227		9.98		33.15											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.35		0.484		5.228		9.98		31.15											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.59		0.487		5.228		9.98		29.42											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.90		0.476		5.235		9.88		28.35											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.11		0.479		5.234		9.89		25.96											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.41		0.487		5.238		9.89		24.49											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.64		0.497		5.245		9.88		22.50											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.87		0.509		5.249		9.87		21.16											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.18		0.524		5.252		9.87		19.57											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.35		0.526		5.253		9.87		18.63											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.63		0.525		5.253		9.87		17.44											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.86		0.523		5.253		9.86		16.37											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.11		0.524		5.253		9.85		15.44											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.36		0.526		5.253		9.86		14.37											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.62		0.523		5.254		9.86		13.71											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.85		0.523		5.254		9.86		12.91											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.14		0.520		5.253		9.86		11.98											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.35		0.511		5.252		9.86		11.58											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.61		0.521		5.253		9.85		11.05											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.92		0.519		5.253		9.85		10.25											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.10		0.516		5.252		9.86		9.98											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.42		0.507		5.251		9.86		9.32											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.62		0.467		5.250		9.87		8.92											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.91		0.436		5.252		9.88		8.52											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.14		0.457		5.256		9.87		8.25											
2018	03	23	08	28	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.42		0.468		5.260		9.87		7.85											
