//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-04-09
//METADATA;STIME;19:37
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0027
//METADATA;STATN;BY29
//METADATA;LATIT;5853
//METADATA;LONGI;2019
//METADATA;POSYS;NOM
//METADATA;WADEP;184
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By291804091.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180409_77FY_0027.txt
//METADATA;WINDIR;36
//METADATA;WINSP;12
//METADATA;AIRTEMP;8
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;3
//METADATA;WAVES;3
//METADATA;ICEOB;0
//METADATA;timestamp;2018-04-09 19:37:08
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 10 april 2018 09:41:49
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -8.05462592000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.27144976000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By291804091.SRD
//INSTRUMENT_METADATA;Lines :        696
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;          1 2018-04-09 19:37:08     0.24    2.658   -0.034    0.026   -0.017  -265.86   -36.04   -25.24    25.16    10.22    3005
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	0.24		2.658		-0.034		-25.24		25.16											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	0.42		2.369		6.729		9.63		12.91											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	0.62		2.338		6.777		10.75		16.37											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	0.88		2.336		6.772		10.74		8.38											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	1.18		2.340		6.769		10.74		7.19											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	1.39		2.337		6.770		10.74		6.79											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	1.68		2.341		6.774		10.74		6.25											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	1.88		2.342		6.774		10.74		5.99											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	2.17		2.357		6.795		10.74		6.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	2.38		2.368		6.797		10.73		5.99											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	2.64		2.367		6.797		10.73		5.59											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	2.92		2.378		6.814		10.73		5.32											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	3.12		2.379		6.812		10.74		4.92											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	3.38		2.392		6.824		10.73		4.92											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	3.69		2.398		6.832		10.72		4.79											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	3.92		2.405		6.837		10.71		4.52											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	4.15		2.415		6.856		10.70		4.52											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	4.43		2.438		6.878		10.69		4.39											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	4.66		2.449		6.894		10.68		4.52											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	4.92		2.459		6.904		10.66		4.39											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	5.13		2.457		6.907		10.66		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	5.37		2.456		6.907		10.65		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	5.66		2.448		6.908		10.64		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	5.93		2.440		6.907		10.64		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	6.13		2.429		6.908		10.64		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	6.37		2.427		6.906		10.63		4.39											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	6.65		2.414		6.907		10.62		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	6.91		2.409		6.906		10.61		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	7.17		2.416		6.906		10.60		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	7.40		2.414		6.905		10.60		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	7.62		2.406		6.905		10.60		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	7.88		2.400		6.905		10.59		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	8.14		2.401		6.903		10.58		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	8.40		2.393		6.903		10.59		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	8.66		2.394		6.904		10.58		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	8.91		2.395		6.903		10.58		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	9.12		2.397		6.904		10.58		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	9.39		2.401		6.905		10.56		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	9.62		2.402		6.904		10.57		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	9.87		2.391		6.902		10.57		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	10.13		2.389		6.904		10.57		3.99											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	10.37		2.399		6.904		10.56		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	10.63		2.399		6.903		10.56		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	10.90		2.401		6.903		10.56		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	11.17		2.390		6.903		10.56		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	11.43		2.394		6.904		10.56		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	11.63		2.396		6.904		10.56		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	11.92		2.382		6.902		10.56		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	12.13		2.379		6.900		10.56		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	12.38		2.363		6.901		10.56		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	12.65		2.358		6.901		10.55		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	12.90		2.355		6.900		10.54		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	13.20		2.329		6.901		10.54		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	13.38		2.328		6.899		10.54		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	13.64		2.318		6.899		10.53		4.26											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	13.90		2.302		6.899		10.53		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	14.16		2.267		6.915		10.52		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	14.38		2.232		6.928		10.49		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	14.63		2.233		6.942		10.46		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	14.95		2.226		6.958		10.41		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	15.16		2.220		6.961		10.37		4.12											
2018	04	09	19	37	00	2018_77FY_	BY29	58.88333	20.31667	15.43		2.221		6.972		10.31		4.12											
