//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-09-24
//METADATA;STIME;11:58
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0135
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;456
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311809242.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180924_77FY_0135.txt
//METADATA;WINDIR;32
//METADATA;WINSP;10
//METADATA;AIRTEMP;11
//METADATA;AIRPRES;
//METADATA;WEATH;0
//METADATA;CLOUD;0
//METADATA;WAVES;4
//METADATA;ICEOB;0
//METADATA;timestamp;2018-09-24 11:58:22
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 28 september 2018 10:07:52
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -9.10773824000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.75000000000E+0000  9.24222315000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\v.39\By311809242.SRD
//INSTRUMENT_METADATA;Lines :       1767
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;          1 2018-09-24 11:58:22     0.36    9.417   -0.033    0.024   -0.229  -260.24   -29.73   -20.82  1797.95    10.59    3007
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	0.36		9.417		-0.033		-20.82		1797.95											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	0.60		11.967		8.591		6.94		3434.15											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	0.73		12.041		8.668		6.92		3256.43											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	0.99		12.059		8.685		6.87		1619.30											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	1.29		12.051		8.691		6.47		1083.08											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	1.60		12.050		8.690		6.47		1324.83											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	1.75		12.050		8.691		6.47		1213.41											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	2.03		12.050		8.690		6.46		999.21											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	2.24		12.055		8.692		6.46		746.01											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	2.50		12.056		8.693		6.46		575.62											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	2.78		12.056		8.693		6.45		564.17											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	3.08		12.057		8.693		6.46		572.02											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	3.26		12.056		8.692		6.46		504.26											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	3.48		12.056		8.693		6.46		491.88											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	3.73		12.058		8.692		6.46		346.12											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	4.05		12.058		8.693		6.46		380.86											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	4.27		12.058		8.693		6.46		317.49											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	4.50		12.057		8.693		6.46		280.49											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	4.73		12.057		8.693		6.46		268.90											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	5.05		12.058		8.694		6.46		285.15											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	5.26		12.058		8.694		6.46		233.76											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	5.52		12.056		8.693		6.46		211.93											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	5.79		12.056		8.693		6.46		195.29											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	6.03		12.051		8.692		6.45		202.08											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	6.22		12.049		8.693		6.45		178.38											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	6.53		12.048		8.692		6.45		143.90											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	6.72		12.047		8.692		6.45		123.54											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	7.03		12.047		8.692		6.45		104.90											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	7.29		12.053		8.693		6.45		91.05											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	7.49		12.054		8.693		6.45		86.93											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	7.73		12.052		8.693		6.44		88.12											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	8.02		12.052		8.692		6.45		75.48											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	8.26		12.055		8.693		6.44		63.76											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	8.54		12.052		8.692		6.44		54.71											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	8.75		12.053		8.694		6.44		52.45											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	9.05		12.056		8.693		6.44		50.58											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	9.31		12.056		8.693		6.44		44.33											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	9.52		12.055		8.693		6.44		38.07											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	9.73		12.055		8.694		6.44		34.74											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	10.00		12.056		8.694		6.44		31.28											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	10.23		12.055		8.693		6.44		26.89											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	10.50		12.054		8.694		6.44		23.83											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	10.78		12.053		8.693		6.44		21.96											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	11.07		12.055		8.694		6.44		20.23											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	11.23		12.055		8.694		6.44		19.17											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	11.48		12.054		8.693		6.44		17.57											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	11.81		12.056		8.694		6.44		15.84											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	12.07		12.055		8.694		6.44		14.51											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	12.26		12.055		8.694		6.44		13.98											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	12.56		12.055		8.694		6.44		12.78											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	12.77		12.055		8.694		6.44		12.11											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	12.99		12.039		8.692		6.44		11.58											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	13.23		12.034		8.691		6.44		10.78											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	13.54		12.024		8.692		6.43		10.25											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	13.74		12.026		8.690		6.43		9.72											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	14.02		12.027		8.690		6.43		9.18											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	14.31		12.028		8.691		6.42		8.65											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	14.53		12.031		8.690		6.42		8.25											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	14.81		12.034		8.690		6.42		7.99											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	15.03		12.038		8.691		6.41		7.72											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	15.23		12.037		8.693		6.41		7.45											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	15.52		12.038		8.692		6.42		7.05											
2018	09	24	11	58	00	2018_77FY_	BY31	58.58333	18.23333	15.74		12.033		8.691		6.42		6.92											
