//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-10-22
//METADATA;STIME;08:42
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0105
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1181022.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20181022_77LA_0105.txt
//METADATA;WINDIR;27
//METADATA;WINSP;10
//METADATA;AIRTEMP;10
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;1
//METADATA;WAVES;2
//METADATA;ICEOB;0
//METADATA;timestamp;2018-10-22 08:42:03
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 23 oktober 2018 07:45:01
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -6.91375424000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.64000000000E+0000  8.96175908000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\B1181022.SRD
//INSTRUMENT_METADATA;Lines :        161
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;          1 2018-10-22 08:42:03     0.08    8.222   -0.029    0.021   -0.146  -253.19   -29.77   -20.85   395.64    11.79    3000
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	0.08		8.222		-0.029		-20.85		395.64											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	0.27		7.860		8.099		7.33		1152.57											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	0.52		7.829		8.178		7.33		1048.60											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	0.78		7.827		8.178		7.33		131.52											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	1.11		7.825		8.179		7.33		84.66											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	1.37		7.825		8.178		7.33		106.36											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	1.63		7.825		8.178		7.33		110.36											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	1.79		7.824		8.178		7.33		113.55											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	2.03		7.821		8.178		7.33		111.69											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	2.27		7.828		8.178		7.33		78.81											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	2.56		7.824		8.178		7.33		43.66											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	2.78		7.822		8.177		7.33		46.99											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	3.06		7.821		8.178		7.33		63.10											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	3.30		7.815		8.177		7.34		50.98											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	3.62		7.812		8.177		7.34		44.46											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	3.78		7.814		8.177		7.33		42.20											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	4.08		7.813		8.177		7.33		38.87											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	4.26		7.813		8.178		7.33		38.47											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	4.59		7.813		8.177		7.33		30.22											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	4.83		7.814		8.177		7.33		29.28											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	5.05		7.811		8.177		7.33		28.62											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	5.27		7.812		8.177		7.33		24.23											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	5.63		7.807		8.176		7.33		21.70											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	5.78		7.805		8.177		7.33		20.63											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	6.00		7.792		8.177		7.33		19.17											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	6.34		7.794		8.177		7.33		17.97											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	6.62		7.788		8.175		7.33		16.90											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	6.79		7.761		8.175		7.34		16.37											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	7.17		7.735		8.173		7.34		15.31											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	7.35		7.706		8.171		7.35		14.77											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	7.55		7.686		8.170		7.35		14.24											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	7.78		7.674		8.171		7.35		13.18											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	8.07		7.652		8.169		7.35		12.78											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	8.28		7.560		8.160		7.37		12.24											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	8.50		7.464		8.159		7.39		11.71											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	8.81		7.436		8.161		7.38		10.91											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	9.05		7.465		8.161		7.39		9.85											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	9.29		7.445		8.161		7.40		9.45											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	9.57		7.419		8.160		7.42		9.18											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	9.80		7.416		8.160		7.42		9.18											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	10.06		7.412		8.160		7.42		9.18											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	10.28		7.409		8.161		7.42		8.78											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	10.58		7.405		8.162		7.41		8.12											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	10.83		7.401		8.162		7.41		7.85											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	11.01		7.401		8.162		7.41		7.59											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	11.36		7.399		8.162		7.41		7.19											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	11.61		7.387		8.162		7.41		6.92											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	11.84		7.391		8.162		7.40		6.79											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	12.13		7.369		8.163		7.41		6.65											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	12.34		7.363		8.163		7.41		6.39											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	12.55		7.361		8.163		7.40		6.25											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	12.80		7.360		8.164		7.40		6.12											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	13.03		7.358		8.164		7.40		5.86											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	13.28		7.358		8.163		7.40		5.59											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	13.61		7.357		8.164		7.40		5.46											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	13.85		7.357		8.164		7.39		5.32											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	14.03		7.356		8.165		7.40		5.06											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	14.28		7.352		8.164		7.39		5.06											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	14.57		7.328		8.166		7.40		4.79											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	14.91		7.317		8.166		7.40		4.79											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	15.11		7.312		8.168		7.40		4.66											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	15.31		7.308		8.168		7.39		4.66											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	15.63		7.304		8.169		7.39		4.39											
2018	10	22	08	42	00	2018_77LA_	B1	58.80333	17.62367	15.76		7.304		8.171		7.38		4.39											
