//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-03-26
//METADATA;STIME;09:56
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0024
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;459
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311803262.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180326_77FY_0024.txt
//METADATA;WINDIR;05
//METADATA;WINSP;12
//METADATA;AIRTEMP;-1
//METADATA;AIRPRES;
//METADATA;WEATH;7
//METADATA;CLOUD;7
//METADATA;WAVES;4
//METADATA;ICEOB;0
//METADATA;timestamp;2018-03-26 09:56:34
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 28 mars 2018 07:04:47
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -7.79134784000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.11736575000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311803262.SRD
//INSTRUMENT_METADATA;Lines :       1775
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	0.26		-1.206		-0.035		-27.98		800.99											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	0.37		1.410		6.479		10.30		1946.38											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	0.64		1.424		6.477		10.35		1770.66											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	0.86		1.417		6.478		10.28		784.09											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	1.14		1.431		6.473		10.24		607.57											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	1.34		1.430		6.477		10.22		540.34											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	1.67		1.438		6.477		10.19		497.87											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	1.87		1.453		6.478		10.16		471.92											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	2.15		1.458		6.481		10.13		412.41											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	2.34		1.447		6.478		10.12		394.17											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	2.64		1.463		6.485		9.92		360.89											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	2.90		1.463		6.489		9.92		316.56											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	3.15		1.463		6.491		9.92		264.64											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	3.39		1.463		6.495		9.91		236.29											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	3.62		1.463		6.496		9.91		227.64											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	3.87		1.463		6.495		9.90		202.88											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	4.12		1.463		6.494		9.90		198.35											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	4.40		1.463		6.498		9.90		198.08											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	4.62		1.463		6.499		9.89		180.11											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	4.86		1.465		6.499		9.88		162.01											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	5.14		1.464		6.499		9.88		146.70											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	5.35		1.464		6.500		9.88		133.79											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	5.63		1.464		6.500		9.88		120.87											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	5.94		1.464		6.499		9.88		110.76											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	6.16		1.463		6.495		9.88		106.10											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	6.36		1.463		6.498		9.88		102.77											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	6.68		1.464		6.500		9.88		97.58											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	6.86		1.464		6.501		9.88		92.52											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	7.12		1.464		6.502		9.88		85.60											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	7.36		1.464		6.502		9.87		82.93											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	7.61		1.464		6.502		9.87		71.62											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	7.87		1.465		6.509		9.86		66.29											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	8.09		1.465		6.511		9.85		63.63											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	8.35		1.467		6.514		9.86		62.57											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	8.59		1.466		6.511		9.85		59.90											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	8.89		1.465		6.512		9.85		55.38											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	9.10		1.467		6.513		9.85		52.05											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	9.35		1.469		6.528		9.85		49.39											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	9.61		1.468		6.536		9.85		46.46											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	9.93		1.470		6.536		9.85		43.40											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	10.09		1.470		6.538		9.85		41.93											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	10.41		1.470		6.539		9.84		39.27											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	10.72		1.472		6.541		9.84		37.01											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	10.85		1.472		6.542		9.83		36.34											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	11.13		1.471		6.540		9.83		35.01											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	11.38		1.474		6.540		9.81		30.88											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	11.64		1.470		6.536		9.81		29.82											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	11.92		1.468		6.533		9.81		28.49											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	12.22		1.469		6.534		9.81		27.29											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	12.49		1.470		6.537		9.81		26.09											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	12.61		1.470		6.538		9.81		25.56											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	12.94		1.478		6.560		9.80		24.36											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	13.14		1.487		6.570		9.80		23.69											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	13.37		1.488		6.582		9.78		21.43											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	13.63		1.489		6.585		9.76		19.97											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	13.92		1.487		6.578		9.76		18.90											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	14.14		1.488		6.582		9.75		18.50											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	14.37		1.488		6.582		9.75		18.10											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	14.64		1.488		6.593		9.75		17.57											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	14.85		1.489		6.591		9.75		17.17											
2018	03	26	09	56	00	2018_77FY_	BY31	58.58333	18.23333	15.13		1.488		6.585		9.75		16.50											
