//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-04-25
//METADATA;STIME;09:43
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;7798
//METADATA;CRUISE_NO;
//METADATA;SERNO;0000
//METADATA;STATN;U19 NORRA RANDEN
//METADATA;LATIT;6006
//METADATA;LONGI;1854
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;
//METADATA;ADD_SMP;
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM908
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;NR180425.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180425_7798_0000.txt
//METADATA;WINDIR;
//METADATA;WINSP;
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;
//METADATA;ICEOB;
//METADATA;timestamp;2018-04-25 09:43:11
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 26 april 2018 09:40:48
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -5.33408576000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.03398371000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;C:\Users\stsv8363\Desktop\tryckkalibrering180423\469\NR180425.SRD
//INSTRUMENT_METADATA;Lines :        513
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	-0.16		7.693		-0.033		-21.30		495.08											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	-0.13		7.698		-0.033		-42.72		504.40											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.18		2.899		5.581		10.46		483.50											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.39		2.900		5.577		10.69		298.32											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.60		2.889		5.579		10.72		136.58											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.91		2.912		5.573		10.52		106.76											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.11		2.909		5.572		10.52		92.25											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.36		2.892		5.571		10.52		84.00											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.68		2.889		5.570		10.52		72.68											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.85		2.892		5.571		10.52		70.55											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.10		2.892		5.571		10.52		66.96											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.35		2.888		5.572		10.53		62.03											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.66		2.885		5.571		10.52		58.70											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.86		2.885		5.571		10.52		56.84											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.11		2.883		5.571		10.52		55.91											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.36		2.883		5.572		10.52		54.84											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.70		2.881		5.571		10.52		50.85											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.95		2.879		5.571		10.52		50.45											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.12		2.880		5.571		10.52		51.52											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.36		2.880		5.572		10.52		55.51											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.62		2.875		5.573		10.52		53.38											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.91		2.854		5.571		10.53		54.18											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.13		2.872		5.572		10.52		54.84											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.35		2.834		5.575		10.54		55.64											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.65		2.824		5.579		10.48		66.16											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.87		2.767		5.587		10.50		66.29											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.13		2.752		5.592		10.53		63.50											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.39		2.664		5.599		10.58		67.49											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.62		2.633		5.604		10.58		69.62											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.86		2.636		5.604		10.59		56.04											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.11		2.621		5.607		10.62		57.77											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.36		2.579		5.614		10.67		39.93											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.63		2.623		5.607		10.41		52.18											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.89		2.563		5.618		10.44		51.92											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.17		2.537		5.622		10.45		50.05											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.46		2.548		5.627		10.45		47.12											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.60		2.560		5.632		10.45		45.26											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.89		2.596		5.636		10.45		42.33											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.14		2.603		5.636		10.47		40.20											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.36		2.610		5.637		10.49		37.27											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.62		2.618		5.639		10.49		35.94											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.91		2.619		5.638		10.50		33.81											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.13		2.617		5.639		10.50		32.61											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.36		2.620		5.639		10.51		31.28											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.62		2.620		5.640		10.51		29.42											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.87		2.620		5.639		10.51		27.95											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.12		2.621		5.639		10.51		26.36											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.42		2.621		5.640		10.51		24.36											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.66		2.622		5.640		10.51		23.03											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.86		2.621		5.640		10.51		22.10											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.20		2.625		5.640		10.51		21.16											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.44		2.621		5.640		10.52		20.10											
2018	04	25	09	43	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.70		2.625		5.642		10.51		18.90											
