//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-05-29
//METADATA;STIME;08:14
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;7798
//METADATA;CRUISE_NO;
//METADATA;SERNO;0000
//METADATA;STATN;U19 NORRA RANDEN
//METADATA;LATIT;6006
//METADATA;LONGI;1854
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;
//METADATA;ADD_SMP;
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM908
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;NR180529.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180529_7798_0000.txt
//METADATA;WINDIR;
//METADATA;WINSP;
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;
//METADATA;ICEOB;
//METADATA;timestamp;2018-05-29 08:14:31
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;C:\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 29 maj 2018 09:51:56
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -4.45649216000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  8.88852497241E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;C:\Users\Stefan\Desktop\NR180529.SRD
//INSTRUMENT_METADATA;Lines :        505
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.15		13.920		-0.033		-17.89		2069.91											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.30		10.345		6.679		8.51		4240.47											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.54		10.164		6.653		8.56		2131.55											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.78		9.987		6.629		8.56		1030.10											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.04		9.938		6.626		8.57		987.50											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.27		9.909		6.615		8.50		1002.81											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.51		9.888		6.610		8.50		904.43											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.77		9.874		6.606		8.50		620.61											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.04		9.858		6.605		8.51		596.38											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.33		9.842		6.601		8.52		552.72											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.57		9.829		6.600		8.52		516.11											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.80		9.814		6.599		8.52		486.03											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.05		9.794		6.594		8.52		397.90											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.27		9.773		6.594		8.53		360.36											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.51		9.746		6.589		8.53		364.89											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.82		9.725		6.585		8.53		313.37											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.10		9.713		6.584		8.52		281.82											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.29		9.706		6.584		8.53		262.91											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.55		9.696		6.582		8.53		238.69											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.78		9.689		6.581		8.53		214.72											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.07		9.683		6.579		8.54		191.43											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.31		9.675		6.578		8.54		184.77											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.53		9.660		6.575		8.54		166.93											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.78		9.630		6.571		8.52		154.02											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.03		9.614		6.566		8.52		142.04											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.35		9.593		6.562		8.51		131.39											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.63		9.572		6.557		8.51		120.07											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.84		9.527		6.550		8.53		110.36											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.02		9.502		6.545		8.52		101.97											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.30		9.486		6.544		8.52		91.19											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.53		9.525		6.549		8.44		89.19											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.79		9.508		6.546		8.44		78.81											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.07		9.514		6.545		8.42		78.27											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.33		9.490		6.538		8.42		71.62											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.56		9.419		6.524		8.44		67.89											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.79		9.333		6.507		8.46		62.43											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.10		9.082		6.468		8.53		56.71											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.27		9.038		6.466		8.51		53.11											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.57		9.013		6.461		8.49		49.65											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.77		8.994		6.458		8.48		46.46											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.03		8.982		6.456		8.47		43.40											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.31		8.966		6.453		8.47		39.93											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.55		8.955		6.452		8.46		36.87											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.84		8.942		6.450		8.46		34.48											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.07		8.919		6.446		8.46		32.35											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.36		8.873		6.439		8.48		30.22											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.61		8.817		6.435		8.49		27.95											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.77		8.777		6.432		8.50		26.49											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.08		8.588		6.404		8.56		24.63											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.29		8.519		6.397		8.55		23.43											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.51		8.163		6.305		8.70		22.10											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.79		7.771		6.255		8.79		20.90											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.04		7.540		6.223		8.81		19.43											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.33		7.287		6.195		8.86		17.97											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.51		7.200		6.190		8.85		17.04											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.81		7.136		6.186		8.83		15.97											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	14.06		7.096		6.177		8.83		15.04											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	14.26		7.069		6.178		8.83		14.37											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	14.52		7.063		6.177		8.84		13.44											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	14.81		7.052		6.174		8.82		12.64											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	15.09		7.006		6.168		8.84		11.85											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	15.31		6.962		6.164		8.85		11.31											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	15.57		6.903		6.157		8.85		10.65											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	15.77		6.861		6.150		8.87		10.25											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	16.05		6.820		6.142		8.87		9.85											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	16.26		6.764		6.139		8.88		9.32											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	16.51		6.736		6.132		8.88		8.92											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	16.84		6.591		6.106		8.92		8.52											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	17.05		6.479		6.091		8.95		8.12											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	17.30		6.339		6.084		8.98		7.72											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	17.58		5.956		6.009		9.04		7.45											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	17.79		5.862		6.006		9.05		7.32											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	18.04		5.888		6.027		8.99		6.92											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	18.32		5.905		6.030		8.97		6.65											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	18.57		5.907		6.036		8.97		6.52											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	18.78		5.916		6.038		8.97		6.25											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	19.08		5.893		6.028		9.01		5.99											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	19.29		5.831		6.025		9.03		5.72											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	19.54		5.772		6.005		9.06		5.59											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	19.81		5.671		6.017		9.09		5.59											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	20.08		5.697		6.012		9.08		5.32											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	20.40		5.487		5.968		9.17		5.06											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	20.54		5.338		5.951		9.22		5.06											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	20.83		5.245		5.950		9.23		4.79											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	21.04		5.249		5.967		9.22		4.79											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	21.30		5.327		6.000		9.17		4.52											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	21.55		5.527		6.044		9.10		4.52											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	21.81		5.601		6.052		9.10		4.39											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	22.06		5.607		6.053		9.13		4.26											
2018	05	29	08	14	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	22.29		5.581		6.049		9.15		4.12											
