//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-06-07
//METADATA;STIME;08:33
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0045
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;41.5
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180607.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180607_77LA_0045.txt
//METADATA;WINDIR;23
//METADATA;WINSP;9
//METADATA;AIRTEMP;14
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;5
//METADATA;WAVES;3
//METADATA;ICEOB;0
//METADATA;timestamp;2018-06-07 08:33:09
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 8 juni 2018 08:36:47
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -5.68512320000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  8.98266392000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\B1180607.SRD
//INSTRUMENT_METADATA;Lines :        159
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	0.14		12.425		0.097		-18.73		2341.62											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	0.45		14.786		8.162		6.44		3486.20											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	0.65		14.794		8.165		6.54		2785.18											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	0.91		14.791		8.167		6.76		1090.13											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	1.19		14.794		8.168		6.80		795.67											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	1.49		14.792		8.168		6.81		601.71											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	1.72		14.793		8.169		6.81		532.35											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	1.99		14.794		8.170		6.81		502.40											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	2.16		14.793		8.168		6.81		424.79											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	2.39		14.794		8.169		6.81		381.26											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	2.65		14.791		8.169		6.81		346.65											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	2.91		14.793		8.169		6.82		285.81											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	3.14		14.790		8.169		6.82		247.34											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	3.40		14.791		8.170		6.82		229.63											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	3.64		14.790		8.168		6.81		209.80											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	3.95		14.793		8.170		6.82		190.50											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	4.21		14.787		8.172		6.81		209.13											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	4.49		14.787		8.171		6.81		193.56											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	4.77		14.787		8.172		6.81		173.86											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	4.96		14.787		8.173		6.81		165.60											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	5.13		14.787		8.173		6.81		157.61											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	5.47		14.787		8.173		6.81		142.31											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	5.71		14.789		8.176		6.81		131.52											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	5.91		14.788		8.177		6.81		124.07											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	6.14		14.789		8.176		6.81		113.95											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	6.43		14.793		8.178		6.81		98.11											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	6.69		14.791		8.178		6.81		95.98											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	6.92		14.795		8.181		6.81		87.73											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	7.13		14.796		8.182		6.81		78.54											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	7.38		14.805		8.187		6.80		74.95											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	7.64		14.821		8.203		6.79		74.28											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	7.95		14.810		8.193		6.80		70.42											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	8.16		14.827		8.208		6.79		66.03											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	8.39		14.836		8.210		6.78		59.77											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	8.64		14.817		8.194		6.78		39.80											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	8.97		14.837		8.213		6.77		36.47											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	9.19		14.842		8.213		6.76		33.81											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	9.41		14.842		8.217		6.76		31.15											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	9.71		14.858		8.214		6.75		28.62											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	9.97		14.865		8.242		6.75		26.89											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	10.27		14.877		8.246		6.74		24.89											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	10.43		14.878		8.250		6.74		24.09											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	10.81		14.883		8.256		6.74		21.96											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	11.01		14.884		8.256		6.73		21.03											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	11.20		14.885		8.258		6.73		20.10											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	11.39		14.887		8.261		6.72		19.17											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	11.76		14.887		8.264		6.71		17.57											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	11.94		14.887		8.265		6.71		16.90											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	12.23		14.887		8.265		6.69		15.44											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	12.44		14.888		8.266		6.69		14.51											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	12.74		14.883		8.264		6.68		13.58											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	13.01		14.878		8.263		6.68		12.91											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	13.23		14.861		8.255		6.68		12.24											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	13.39		14.881		8.264		6.66		11.58											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	13.73		14.825		8.231		6.68		11.05											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	13.89		14.781		8.205		6.68		10.65											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	14.19		14.628		8.161		6.72		9.98											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	14.42		14.553		8.147		6.73		9.45											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	14.64		14.534		8.144		6.75		8.92											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	14.98		14.399		8.106		6.80		8.38											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	15.27		14.226		8.074		6.85		7.99											
2018	06	07	08	33	00	2018_77LA_	B1	58.80333	17.62367	15.42		14.143		8.060		6.87		7.72											
