//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-07-03
//METADATA;STIME;00:15
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0127
//METADATA;STATN;BY29
//METADATA;LATIT;5853
//METADATA;LONGI;2019
//METADATA;POSYS;NOM
//METADATA;WADEP;183
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By291807021.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180703_77FY_0127.txt
//METADATA;WINDIR;36
//METADATA;WINSP;6
//METADATA;AIRTEMP;13
//METADATA;AIRPRES;
//METADATA;WEATH;9
//METADATA;CLOUD;9
//METADATA;WAVES;3
//METADATA;ICEOB;0
//METADATA;timestamp;2018-07-03 00:15:32
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 5 juli 2018 08:15:46
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -5.42184512000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  8.76704988000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By291807021.SRD
//INSTRUMENT_METADATA;Lines :        695
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	0.15		13.408		-0.032		-17.85		14.37											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	0.37		13.141		8.505		6.41		6.65											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	0.61		13.143		8.520		6.41		3.86											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	0.88		13.150		8.515		6.36		4.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	1.14		13.147		8.515		6.34		4.66											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	1.38		13.147		8.517		6.34		4.39											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	1.74		13.143		8.515		6.34		3.59											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	1.94		13.139		8.514		6.34		3.59											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	2.14		13.139		8.515		6.34		3.33											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	2.36		13.140		8.517		6.34		3.33											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	2.75		13.141		8.515		6.34		3.33											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	2.93		13.140		8.514		6.34		3.33											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	3.19		13.139		8.515		6.34		3.19											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	3.36		13.139		8.514		6.34		3.33											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	3.67		13.140		8.513		6.34		3.06											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	3.92		13.141		8.513		6.34		3.06											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	4.19		13.142		8.515		6.34		3.06											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	4.42		13.144		8.514		6.34		3.06											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	4.67		13.143		8.514		6.34		3.06											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	4.93		13.144		8.514		6.34		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	5.16		13.143		8.514		6.34		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	5.41		13.141		8.513		6.33		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	5.65		13.137		8.513		6.33		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	5.90		13.139		8.514		6.34		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	6.12		13.140		8.514		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	6.36		13.139		8.514		6.34		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	6.64		13.140		8.514		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	6.91		13.138		8.513		6.33		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	7.11		13.139		8.513		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	7.42		13.137		8.514		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	7.64		13.148		8.515		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	7.92		13.149		8.515		6.34		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	8.17		13.132		8.513		6.34		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	8.35		13.133		8.512		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	8.62		13.129		8.511		6.34		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	8.91		13.130		8.512		6.34		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	9.18		13.127		8.512		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	9.38		13.120		8.511		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	9.64		13.130		8.511		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	9.87		13.113		8.509		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	10.16		13.115		8.509		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	10.38		13.115		8.509		6.34		2.66											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	10.67		13.116		8.509		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	10.89		13.115		8.508		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	11.11		13.104		8.506		6.35		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	11.41		13.106		8.507		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	11.69		13.107		8.506		6.35		2.93											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	11.87		13.099		8.505		6.35		2.66											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	12.15		13.099		8.506		6.35		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	12.38		13.099		8.506		6.35		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	12.65		13.099		8.507		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	12.87		13.097		8.504		6.35		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	13.12		13.096		8.505		6.35		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	13.37		13.094		8.505		6.35		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	13.61		13.094		8.505		6.34		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	13.89		13.091		8.504		6.35		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	14.14		13.088		8.504		6.35		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	14.42		13.073		8.502		6.35		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	14.71		13.068		8.501		6.35		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	14.92		13.070		8.501		6.35		2.79											
2018	07	03	00	15	00	2018_77FY_	BY29	58.88333	20.31667	15.18		13.072		8.500		6.35		2.79											
