//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-07-10
//METADATA;STIME;09:16
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;7798
//METADATA;CRUISE_NO;
//METADATA;SERNO;0000
//METADATA;STATN;U19 NORRA RANDEN
//METADATA;LATIT;6006
//METADATA;LONGI;1854
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;
//METADATA;ADD_SMP;
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM908
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;NR180710.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180710_7798_0000.txt
//METADATA;WINDIR;
//METADATA;WINSP;
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;
//METADATA;ICEOB;
//METADATA;timestamp;2018-07-10 09:16:48
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.15  25.10.2013
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM908\CONFIG\CTM908.SPJ
//INSTRUMENT_METADATA;den 10 juli 2018 14:37:50
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2013
//INSTRUMENT_METADATA;001 CTM908 001  N  Vbatt  Volt -1.56613000000E+0001  5.02053000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 002  P  Press  dbar -2.84592700000E+0001  8.80824000000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -4.05025600000E-0001 
//INSTRUMENT_METADATA;001 CTM908 003  N   Temp    °C -2.33626400000E+0000  5.89281300000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 004  N   Cond mS/cm -3.17130950000E-0001  1.21221819000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 005 VO4 rawO2    mV -9.24121000000E+0000  7.82771000000E-0002  1.01900000000E+0003  0.00000000000E+0000  1.41677039000E+0002  1.09272398000E+0000 
//INSTRUMENT_METADATA;001 CTM908 006 N24  T_iS   °C  -8.73922000000E-0003  7.86519000000E-0005 -1.00147000000E+0001  4.95301000000E+0001  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 007 NFC   PAR   µE  -2.58676000000E-0003  7.84093000000E-0005  0.00000000000E+0000  0.00000000000E+0000  1.25961000000E-0001  1.62804000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD908\NR180710.SRD
//INSTRUMENT_METADATA;Lines :        510
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA      sat    DO_mg    DO_ml      PAR    Vbatt     T_iS   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [   % ]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt]  [  °C ] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.15		15.151		-0.065		7.36		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.23		14.694		5.348		7.05		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.46		13.506		7.142		7.30		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.72		13.484		7.122		7.48		2.04											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.97		13.501		7.117		7.38		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.23		13.495		7.119		7.38		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.56		13.497		7.120		7.38		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.71		13.498		7.120		7.37		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.04		13.502		7.119		7.39		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.27		13.501		7.120		7.39		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.45		13.503		7.121		7.40		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.73		13.501		7.121		7.40		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.99		13.501		7.119		7.41		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.22		13.446		7.109		7.42		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.48		13.398		7.105		7.41		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.74		13.323		7.104		7.42		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.96		13.306		7.108		7.42		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.28		13.304		7.110		7.44		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.49		13.288		7.110		7.43		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.71		13.270		7.111		7.43		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.95		13.269		7.113		7.43		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.23		13.267		7.119		7.44		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.45		13.270		7.127		7.42		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.73		13.269		7.137		7.41		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.95		13.270		7.138		7.42		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.29		13.276		7.148		7.42		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.49		13.290		7.157		7.41		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.72		13.300		7.162		7.40		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.95		13.301		7.166		7.40		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.21		13.301		7.171		7.40		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.46		13.263		7.146		7.42		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.74		13.268		7.151		7.42		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.97		13.276		7.157		7.42		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.24		13.283		7.163		7.42		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.54		13.286		7.170		7.42		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.76		13.293		7.177		7.42		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.05		13.301		7.186		7.41		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.32		13.329		7.222		7.41		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.49		13.351		7.259		7.41		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.75		13.384		7.299		7.41		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.02		13.382		7.320		7.43		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.31		13.344		7.360		7.43		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.46		13.281		7.374		7.44		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.81		13.125		7.399		7.46		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.95		13.048		7.405		7.46		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.30		12.910		7.422		7.52		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.57		12.854		7.430		7.52		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.72		12.832		7.435		7.52		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.05		12.784		7.435		7.53		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.23		12.754		7.437		7.55		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.45		12.712		7.440		7.55		1.53											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.71		12.676		7.442		7.56		1.02											
2018	07	10	09	16	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.95		12.616		7.437		7.57		1.53											
