//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-08-14
//METADATA;STIME;08:31
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0075
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;42
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180814.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180814_77LA_0075.txt
//METADATA;WINDIR;14
//METADATA;WINSP;3
//METADATA;AIRTEMP;17
//METADATA;AIRPRES;
//METADATA;WEATH;2
//METADATA;CLOUD;7
//METADATA;WAVES;2
//METADATA;ICEOB;0
//METADATA;timestamp;2018-08-14 08:31:39
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.15  25.10.2013
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM908\CONFIG\CTM908.SPJ
//INSTRUMENT_METADATA;den 17 augusti 2018 11:50:03
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2013
//INSTRUMENT_METADATA;001 CTM908 001  N  Vbatt  Volt -1.56613000000E+0001  5.02053000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 002  P  Press  dbar -2.84592700000E+0001  8.80824000000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -3.78600880000E-0001 
//INSTRUMENT_METADATA;001 CTM908 003  N   Temp    °C -2.33626400000E+0000  5.89281300000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 004  N   Cond mS/cm -3.17130950000E-0001  1.21221819000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 005 VO4 rawO2    mV -9.24121000000E+0000  7.82771000000E-0002  1.01900000000E+0003  0.00000000000E+0000  1.41755316000E+0002  1.11387541000E+0000 
//INSTRUMENT_METADATA;001 CTM908 006 N24  T_iS   °C  -8.73922000000E-0003  7.86519000000E-0005 -1.00147000000E+0001  4.95301000000E+0001  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 007 NFC   PAR   µE  -2.58676000000E-0003  7.84093000000E-0005  0.00000000000E+0000  0.00000000000E+0000  1.25961000000E-0001  1.62804000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD908\v33\B1180814.SRD
//INSTRUMENT_METADATA;Lines :        159
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA      sat    DO_mg    DO_ml      PAR     T_iS      O_P    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [   % ]  [ mg/l]  [ ml/l]  [  µE ]  [  °C ]  [ hPa ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	-0.09		15.937		-0.066		6.66		2187.98											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	-0.07		15.914		-0.066		6.66		2206.87											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	0.19		17.966		9.270		6.19		2293.17											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	0.42		17.976		9.307		6.05		1697.79											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	0.68		17.969		9.312		5.95		661.76											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	0.96		17.970		9.312		5.89		362.02											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	1.19		17.987		9.319		5.86		347.22											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	1.48		17.910		9.308		5.86		274.71											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	1.71		17.821		9.302		5.85		254.29											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	1.99		17.779		9.296		5.83		221.61											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	2.19		17.769		9.295		5.81		209.35											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	2.43		17.755		9.291		5.79		176.67											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	2.72		17.741		9.291		5.80		154.72											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	2.92		17.726		9.285		5.80		146.55											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	3.20		17.721		9.286		5.80		152.67											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	3.49		17.699		9.284		5.81		122.55											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	3.73		17.652		9.272		5.82		109.27											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	3.95		17.592		9.256		5.81		101.61											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	4.21		17.515		9.244		5.82		89.36											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	4.47		17.455		9.238		5.82		78.63											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	4.69		17.426		9.229		5.79		69.95											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	4.92		17.393		9.224		5.78		62.81											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	5.23		17.353		9.216		5.78		52.59											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	5.52		17.283		9.207		5.77		45.95											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	5.75		17.264		9.205		5.77		41.36											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	6.02		17.247		9.202		5.76		37.27											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	6.32		17.224		9.195		5.76		33.19											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	6.45		17.208		9.193		5.74		31.15											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	6.69		17.150		9.183		5.73		27.57											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	6.99		17.073		9.167		5.72		23.49											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	7.20		17.039		9.162		5.72		21.96											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	7.52		16.983		9.139		5.72		19.40											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	7.74		16.737		9.082		5.74		17.87											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	7.98		16.427		9.018		5.74		16.34											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	8.17		16.052		8.928		5.74		15.32											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	8.45		16.148		9.016		5.59		12.76											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	8.75		15.564		8.739		5.57		11.74											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	8.98		14.486		8.668		5.55		11.23											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	9.25		14.104		8.641		5.49		10.21											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	9.50		13.875		8.613		5.44		9.70											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	9.75		13.695		8.601		5.34		8.68											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	9.97		13.631		8.594		5.29		8.68											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	10.18		13.567		8.583		5.28		8.17											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	10.47		13.467		8.571		5.27		7.66											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	10.75		13.396		8.559		5.26		7.15											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	10.98		13.350		8.553		5.26		6.64											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	11.21		13.327		8.550		5.24		6.64											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	11.43		13.318		8.549		5.24		6.13											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	11.74		13.263		8.533		5.24		5.62											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	11.96		13.120		8.522		5.25		5.62											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	12.21		13.007		8.502		5.25		5.11											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	12.49		12.719		8.465		5.26		4.60											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	12.71		12.479		8.423		5.24		4.60											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	12.96		11.779		8.345		5.23		5.11											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	13.24		11.240		8.313		5.22		4.60											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	13.49		11.172		8.309		5.20		4.60											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	13.70		11.161		8.308		5.20		4.08											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	14.01		11.140		8.305		5.22		4.08											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	14.22		11.114		8.291		5.23		4.08											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	14.51		10.630		8.219		5.27		3.57											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	14.68		10.356		8.206		5.27		3.57											
2018	08	14	08	31	00	2018_77LA_	B1	58.80333	17.62367	14.93		10.230		8.191		5.25		3.57											
