//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-08-27
//METADATA;STIME;12:30
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0132
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;456
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311808272.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180827_77FY_0132.txt
//METADATA;WINDIR;23
//METADATA;WINSP;7
//METADATA;AIRTEMP;18
//METADATA;AIRPRES;
//METADATA;WEATH;2
//METADATA;CLOUD;7
//METADATA;WAVES;3
//METADATA;ICEOB;0
//METADATA;timestamp;2018-08-27 12:30:13
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 30 augusti 2018 13:53:46
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -8.23014464000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.09943928000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311808272.SRD
//INSTRUMENT_METADATA;Lines :       1775
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	0.56		13.501		0.006		-18.49		1974.33											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	0.64		14.579		8.210		6.15		1138.06											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	0.92		17.000		9.535		5.69		1175.73											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	1.15		17.047		9.546		5.53		547.13											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	1.39		17.047		9.552		5.52		445.42											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	1.65		17.047		9.551		5.52		404.82											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	1.92		17.047		9.552		5.52		354.24											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	2.17		17.045		9.552		5.52		331.07											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	2.39		17.045		9.552		5.52		297.66											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	2.64		17.046		9.551		5.52		245.61											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	2.93		17.039		9.553		5.54		218.85											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	3.17		17.038		9.553		5.54		218.85											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	3.43		17.037		9.553		5.54		182.77											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	3.75		17.038		9.553		5.54		171.06											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	3.97		17.037		9.553		5.54		163.87											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	4.19		17.037		9.553		5.55		150.83											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	4.39		17.040		9.554		5.54		136.05											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	4.66		17.039		9.553		5.54		122.07											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	4.91		17.037		9.554		5.54		113.28											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	5.22		17.039		9.554		5.54		98.91											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	5.40		17.044		9.553		5.54		91.59											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	5.70		17.035		9.553		5.54		82.40											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	5.92		17.035		9.553		5.54		76.14											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	6.23		17.034		9.553		5.54		68.82											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	6.43		17.038		9.554		5.54		63.76											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	6.63		17.036		9.553		5.54		58.84											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	6.92		17.036		9.552		5.54		54.71											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	7.19		17.027		9.552		5.55		51.52											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	7.41		17.032		9.552		5.55		48.32											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	7.70		17.024		9.552		5.54		43.40											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	7.91		17.020		9.550		5.54		40.60											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	8.16		17.021		9.550		5.54		36.74											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	8.40		17.021		9.550		5.54		34.08											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	8.66		17.019		9.550		5.53		31.81											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	8.99		17.021		9.551		5.53		29.55											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	9.20		17.021		9.550		5.53		28.35											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	9.42		17.021		9.551		5.53		26.76											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	9.64		17.022		9.551		5.53		25.29											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	9.93		17.022		9.551		5.53		23.16											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	10.21		17.021		9.551		5.53		21.30											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	10.46		17.021		9.551		5.53		19.70											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	10.69		17.020		9.551		5.53		18.63											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	10.91		17.018		9.550		5.53		17.44											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	11.15		17.018		9.550		5.53		16.50											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	11.42		17.020		9.549		5.53		15.57											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	11.69		17.015		9.550		5.53		14.77											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	11.98		17.013		9.547		5.53		13.98											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	12.15		17.012		9.549		5.53		13.31											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	12.41		17.011		9.548		5.52		12.51											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	12.66		17.012		9.549		5.52		11.98											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	12.91		17.014		9.548		5.52		11.31											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	13.15		17.009		9.547		5.52		10.78											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	13.44		17.004		9.546		5.52		10.12											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	13.73		17.003		9.546		5.51		9.58											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	13.93		16.992		9.544		5.51		9.18											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	14.20		16.994		9.544		5.50		8.92											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	14.47		16.987		9.542		5.50		8.38											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	14.66		16.985		9.544		5.49		8.25											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	14.90		16.985		9.542		5.49		7.99											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	15.15		16.986		9.542		5.48		7.59											
2018	08	27	12	30	00	2018_77FY_	BY31	58.58333	18.23333	15.42		16.987		9.542		5.48		7.32											
