//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-09-18
//METADATA;STIME;11:15
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;7798
//METADATA;CRUISE_NO;
//METADATA;SERNO;0000
//METADATA;STATN;U19 NORRA RANDEN
//METADATA;LATIT;6006
//METADATA;LONGI;1854
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;
//METADATA;ADD_SMP;
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM908
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;NR180918.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180918_7798_0000.txt
//METADATA;WINDIR;
//METADATA;WINSP;
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;
//METADATA;ICEOB;
//METADATA;timestamp;2018-09-18 11:15:17
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 19 september 2018 09:30:08
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -7.00151360000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.75000000000E+0000  9.17225838000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\NR180918.SRD
//INSTRUMENT_METADATA;Lines :        508
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.22		14.386		-0.031		-18.25		627.54											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.30		12.953		7.290		6.66		1211.14											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.54		12.951		7.290		6.63		1178.13											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.79		12.952		7.290		6.55		481.50											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.04		12.955		7.288		6.52		437.17											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.27		12.958		7.290		6.37		512.52											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.57		12.955		7.290		6.37		437.97											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.76		12.956		7.289		6.37		425.32											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.06		12.952		7.290		6.38		373.01											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.36		12.952		7.288		6.37		326.01											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.52		12.946		7.288		6.37		304.71											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.78		12.946		7.288		6.37		278.76											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.09		12.942		7.288		6.37		245.87											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.27		12.942		7.288		6.37		229.50											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.58		12.943		7.288		6.37		213.79											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.80		12.945		7.289		6.37		202.21											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.12		12.944		7.288		6.37		174.52											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.35		12.935		7.288		6.37		166.13											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.53		12.921		7.289		6.37		154.15											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.80		12.916		7.289		6.37		140.31											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.09		12.900		7.292		6.37		129.92											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.34		12.854		7.294		6.38		125.67											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.56		12.808		7.290		6.38		119.54											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.84		12.691		7.276		6.40		109.56											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.06		12.505		7.240		6.34		85.06											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.27		12.496		7.236		6.34		79.74											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.62		12.459		7.225		6.35		74.81											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.86		12.402		7.208		6.36		70.15											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.09		12.345		7.199		6.37		66.03											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.31		12.256		7.176		6.38		62.30											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.56		12.158		7.169		6.39		57.91											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.78		12.481		7.231		6.32		52.71											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.03		12.382		7.203		6.34		49.65											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.36		12.173		7.171		6.37		46.32											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.56		12.128		7.165		6.36		44.19											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.79		12.022		7.151		6.38		41.27											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.07		11.867		7.130		6.38		38.47											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.33		11.718		7.114		6.39		36.34											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.55		11.624		7.107		6.38		34.34											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.82		11.516		7.098		6.39		32.48											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.02		11.464		7.097		6.37		30.48											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.31		11.451		7.094		6.33		28.62											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.52		11.404		7.088		6.33		27.55											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.77		11.373		7.088		6.32		25.69											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.01		11.352		7.086		6.32		24.09											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.31		11.311		7.084		6.32		22.76											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.54		11.276		7.085		6.33		21.30											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.78		11.222		7.083		6.34		20.23											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.02		11.185		7.081		6.34		19.30											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.29		11.077		7.079		6.35		18.24											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.55		10.924		7.085		6.36		17.04											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.80		10.838		7.123		6.35		16.37											
2018	09	18	11	15	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.03		10.792		7.171		6.34		15.44											
