//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-10-16
//METADATA;STIME;08:30
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;7798
//METADATA;CRUISE_NO;
//METADATA;SERNO;0000
//METADATA;STATN;U19 NORRA RANDEN
//METADATA;LATIT;6006
//METADATA;LONGI;1854
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;
//METADATA;ADD_SMP;
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM908
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;NR181016.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20181016_7798_0000.txt
//METADATA;WINDIR;
//METADATA;WINSP;
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;
//METADATA;ICEOB;
//METADATA;timestamp;2018-10-16 08:30:35
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 17 oktober 2018 09:19:57
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -6.56271680000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.64000000000E+0000  8.93846489000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\NR181016.SRD
//INSTRUMENT_METADATA;Lines :        508
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.17		9.350		-0.033		-20.18		30.75											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.23		9.296		-0.034		7.36		23.16											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.48		9.380		6.699		7.09		39.00											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.77		9.381		6.702		7.02		18.50											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.98		9.379		6.709		6.99		14.11											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.29		9.381		6.710		6.99		11.45											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.52		9.381		6.711		6.98		11.45											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.83		9.380		6.711		6.98		10.25											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.98		9.381		6.711		6.98		9.72											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.31		9.380		6.712		6.98		8.78											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.58		9.381		6.711		6.98		8.12											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.75		9.381		6.711		6.98		7.59											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.98		9.381		6.711		6.98		7.05											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.30		9.381		6.712		6.98		6.65											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.54		9.379		6.714		6.98		6.39											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.76		9.371		6.715		6.98		5.86											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.02		9.368		6.716		6.98		5.72											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.29		9.368		6.717		6.98		5.46											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.56		9.364		6.718		6.97		5.46											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.79		9.363		6.720		6.97		5.32											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.05		9.361		6.718		6.97		4.92											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.28		9.363		6.718		6.96		4.79											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.48		9.361		6.720		6.96		4.79											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.75		9.359		6.721		6.95		4.66											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.98		9.351		6.725		6.93		4.52											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.27		9.351		6.724		6.93		4.26											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.60		9.349		6.726		6.93		4.26											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.77		9.347		6.727		6.93		4.39											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.05		9.346		6.727		6.93		4.26											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.29		9.347		6.727		6.93		4.12											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.50		9.346		6.727		6.93		3.99											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.85		9.345		6.725		6.94		4.12											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.98		9.346		6.725		6.94		3.99											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.32		9.343		6.725		6.94		3.99											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.57		9.344		6.726		6.94		3.86											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.79		9.343		6.725		6.93		3.86											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.02		9.343		6.725		6.93		3.73											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.28		9.343		6.725		6.92		3.73											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.52		9.343		6.726		6.91		3.73											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.81		9.343		6.726		6.91		3.73											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.97		9.340		6.726		6.91		3.59											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.29		9.340		6.727		6.90		3.46											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.57		9.340		6.727		6.90		3.46											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.72		9.341		6.726		6.90		3.46											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.01		9.340		6.727		6.90		3.46											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.34		9.339		6.727		6.90		3.46											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.47		9.339		6.727		6.90		3.33											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.79		9.338		6.728		6.90		3.33											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.99		9.334		6.728		6.90		3.19											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.24		9.334		6.728		6.90		3.33											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.56		9.334		6.729		6.89		3.33											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.86		9.334		6.729		6.89		3.19											
2018	10	16	08	30	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.99		9.334		6.729		6.89		3.19											
