//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-12-13
//METADATA;STIME;08:51
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;7798
//METADATA;CRUISE_NO;
//METADATA;SERNO;0000
//METADATA;STATN;U19 NORRA RANDEN
//METADATA;LATIT;6006
//METADATA;LONGI;1854
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;
//METADATA;ADD_SMP;
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM908
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;NR181213.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20181213_7798_0000.txt
//METADATA;WINDIR;
//METADATA;WINSP;
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;
//METADATA;ICEOB;
//METADATA;timestamp;2018-12-13 08:51:40
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.15  25.10.2013
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM908\CONFIG\CTM908.SPJ
//INSTRUMENT_METADATA;den 17 december 2018 10:18:59
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2013
//INSTRUMENT_METADATA;001 CTM908 001  N  Vbatt  Volt -1.56613000000E+0001  5.02053000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 002  P  Press  dbar -2.84592700000E+0001  8.80824000000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -2.37669040000E-0001 
//INSTRUMENT_METADATA;001 CTM908 003  N   Temp    °C -2.35854073000E+0000  5.89737827000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 004  N   Cond mS/cm -3.17130950000E-0001  1.21221819000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 005 VO4 rawO2    mV -9.24121000000E+0000  7.82771000000E-0002  1.01900000000E+0003  0.00000000000E+0000  1.38467678000E+0002  1.06706965000E+0000 
//INSTRUMENT_METADATA;001 CTM908 006 N24  T_iS   °C  -8.73922000000E-0003  7.86519000000E-0005 -1.00147000000E+0001  4.95301000000E+0001  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 007 NFC   PAR   µE  -2.58676000000E-0003  7.84093000000E-0005  0.00000000000E+0000  0.00000000000E+0000  1.25961000000E-0001  1.62804000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD908\NR181213.SRD
//INSTRUMENT_METADATA;Lines :        483
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA      sat    DO_mg    DO_ml      PAR     T_iS      O_P    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [   % ]  [ mg/l]  [ ml/l]  [  µE ]  [  °C ]  [ hPa ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.46		1.704		-0.054		10.00		21.96											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.57		4.140		5.784		9.84		30.64											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.86		4.298		5.939		8.82		20.42											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.07		4.301		5.940		8.75		12.76											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.32		4.307		5.944		8.40		10.21											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.58		4.309		5.951		8.26		9.70											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.88		4.307		5.952		8.26		9.70											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.12		4.307		5.951		8.26		9.19											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.37		4.305		5.954		8.26		8.17											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.60		4.308		5.952		8.26		7.66											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.80		4.309		5.952		8.26		6.64											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.15		4.310		5.954		8.27		6.13											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.32		4.310		5.952		8.27		6.13											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.63		4.310		5.955		8.27		6.13											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.86		4.311		5.955		8.27		5.62											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.09		4.311		5.956		8.27		5.62											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.33		4.310		5.955		8.28		5.11											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.61		4.311		5.955		8.28		4.60											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.80		4.310		5.955		8.28		4.60											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.06		4.311		5.955		8.28		4.60											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.33		4.311		5.955		8.28		4.60											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.56		4.311		5.955		8.28		4.08											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.79		4.312		5.956		8.27		4.08											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.20		4.312		5.957		8.27		4.08											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.29		4.312		5.957		8.27		3.57											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.58		4.313		5.957		8.24		3.57											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.82		4.311		5.957		8.24		3.57											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.04		4.312		5.957		8.25		3.57											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.28		4.311		5.957		8.25		3.57											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.64		4.313		5.959		8.26		3.57											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.86		4.311		5.959		8.25		3.57											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.05		4.312		5.959		8.25		3.57											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.32		4.310		5.959		8.23		3.57											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.54		4.310		5.959		8.24		3.57											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.86		4.310		5.959		8.24		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.07		4.310		5.959		8.24		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.29		4.310		5.960		8.23		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.55		4.310		5.959		8.24		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.79		4.310		5.959		8.23		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.09		4.310		5.959		8.24		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.29		4.310		5.959		8.25		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.56		4.310		5.959		8.25		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.79		4.310		5.960		8.25		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.11		4.310		5.960		8.25		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.32		4.310		5.959		8.25		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.55		4.309		5.959		8.25		3.06											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.87		4.310		5.959		8.25		2.55											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.12		4.309		5.960		8.24		2.55											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.33		4.311		5.960		8.24		2.55											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.53		4.316		5.962		8.25		2.55											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.78		4.316		5.961		8.25		2.55											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.12		4.311		5.960		8.24		2.55											
2018	12	13	08	51	00	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.43		4.310		5.960		8.24		2.55											
