MYEAR	PROJ	ORDERER	SLABO	ALABO	SDATE	STIME	EDATE	ETIME	SHIPC	CRUISE_NO	SERNO	STATN	LATIT	LONGI	POSYS	WADEP	COMNT_VISIT	ADD_SMP	SMTYP	INSTRUMENT_ID	REFSK_SMP	REV_DATE	FILE_NAME	FILE_NAME_DATABASE	WINDIR	WINSP	AIRTEMP	AIRPRES	WEATH	CLOUD	WAVES	ICEOB	timestamp
2018	BAS	HAV	DEEP	DEEP	2018-01-23	08:32			77LA		0001	B1	5848.2	1737.42	NOM	40.9	SDATE and STIME are based on when the CTD-cast was made	PHYCHE,PP,PRIMPROD	CTD	CTM469			B1180123.TOB	ctd_profile_20180123_77LA_0001.txt	32	1	1		2	8	2	0	2018-01-23 08:32:13
2018	BAS	HAV	DEEP	DEEP	2018-02-14	09:19			77WX		0001	B1	5848.2	1737.42	NOM		SDATE and STIME are based on when the CTD-cast was made	PHYCHE,PP,ZP	CTD	CTM469			B1180214.TOB	ctd_profile_20180214_77WX_0001.txt	23	3	0		2	8	2	0	2018-02-14 09:19:08
2018	BAS	HAV	DEEP	DEEP	2018-03-05	09:32			77WX		0006	B1	5848.2	1737.42	NOM	42	SDATE and STIME are based on when the CTD-cast was made	PHYCHE,PP,ZP	CTD	CTM469			B1180305.TOB	ctd_profile_20180305_77WX_0006.txt	05	3	-3		2	8	4	1	2018-03-05 09:32:21
2018	BAS	HAV	DEEP	DEEP	2018-03-12	12:19			77FY		0021	BY31	5835	1814	NOM		SDATE and STIME are based on when the CTD-cast was made	PHYCHE,PP,ZP,PRIMPROD	CTD	CTM469			By311803122.TOB	ctd_profile_20180312_77FY_0021.txt	14	8	3		2	8	4	0	2018-03-12 12:19:05
2018	BAS	HAV	DEEP	DEEP	2018-03-12	21:24			77FY		0022	BY29	5853	2019	NOM	186	SDATE and STIME are based on when the CTD-cast was made	PHYCHE	CTD	CTM469			By291803121.TOB	ctd_profile_20180312_77FY_0022.txt	14	5	3				3	0	2018-03-12 21:24:30
2018	BAS	HAV	DEEP	DEEP	2018-03-19	11:35			77FY		0023	BY31	5835	1814	NOM		SDATE and STIME are based on when the CTD-cast was made	PHYCHE,PP,ZP	CTD	CTM469			By311803192.TOB	ctd_profile_20180319_77FY_0023.txt	32	12			2	7	4	0	2018-03-19 11:35:43
2018	BAS	HAV	DEEP	DEEP	2018-03-20	09:21			77WX		0011	B1	5848.2	1737.42	NOM	42	SDATE and STIME are based on when the CTD-cast was made	PHYCHE,PP,ZP	CTD	CTM469			B1180320.TOB	ctd_profile_20180320_77WX_0011.txt	32	5	-1		0	0	2	0	2018-03-20 09:21:06
2018	BAS	HAV	DEEP	DEEP	2018-03-26	09:56			77FY		0024	BY31	5835	1814	NOM	459	SDATE and STIME are based on when the CTD-cast was made	PHYCHE,PP,ZP,PRIMPROD	CTD	CTM469			By311803262.TOB	ctd_profile_20180326_77FY_0024.txt	05	12	-1		7	7	4	0	2018-03-26 09:56:34
2018	BAS	HAV	DEEP	DEEP	2018-03-27	07:49			77WX		0016	B1	5848.2	1737.42	NOM	43	SDATE and STIME are based on when the CTD-cast was made	PHYCHE,PP	CTD	CTM469			B1180327.TOB	ctd_profile_20180327_77WX_0016.txt	36	3	0		0	0	1	1	2018-03-27 07:49:27
2018	BAS	HAV	DEEP	DEEP	2018-04-03	13:55			77FY		0025	BY31	5835	1814	NOM	456	SDATE and STIME are based on when the CTD-cast was made	PHYCHE,PP,PRIMPROD	CTD	CTM469			By311804032.TOB	ctd_profile_20180403_77FY_0025.txt	36	4	0		0	0	2	0	2018-04-03 13:55:18
