//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-09-11
//METADATA;STIME;08:17
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0088
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;41.5
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180911.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180911_77LA_0088.txt
//METADATA;WINDIR;21
//METADATA;WINSP;7
//METADATA;AIRTEMP;15
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;6
//METADATA;WAVES;2
//METADATA;ICEOB;0
//METADATA;timestamp;2018-09-11 08:17:31
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 12 september 2018 09:07:27
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -6.56271680000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.16634110000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\B1180911.SRD
//INSTRUMENT_METADATA;Lines :        158
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	0.32		14.045		0.105		-18.38		793.01											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	0.47		17.180		9.338		5.71		666.27											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	0.81		17.206		9.442		5.85		437.57											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	0.98		17.199		9.450		6.01		199.15											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	1.23		17.208		9.468		6.03		204.61											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	1.62		17.212		9.469		6.03		183.44											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	1.83		17.213		9.468		6.03		161.87											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	1.99		17.212		9.468		6.03		140.44											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	2.27		17.213		9.468		6.04		115.28											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	2.58		17.212		9.468		6.04		104.37											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	2.72		17.212		9.469		6.04		99.04											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	3.00		17.211		9.468		6.04		86.26											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	3.24		17.210		9.467		6.04		76.81											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	3.51		17.211		9.469		6.05		73.75											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	3.81		17.211		9.469		6.04		65.63											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	4.13		17.211		9.469		6.05		58.97											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	4.30		17.211		9.469		6.05		56.04											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	4.58		17.210		9.469		6.05		51.12											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	4.77		17.212		9.469		6.04		48.59											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	5.03		17.212		9.469		6.05		44.73											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	5.26		17.211		9.469		6.05		41.80											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	5.56		17.211		9.469		6.05		38.47											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	5.72		17.210		9.469		6.05		36.74											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	6.06		17.210		9.469		6.05		33.28											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	6.31		17.211		9.468		6.05		30.48											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	6.49		17.210		9.469		6.05		27.82											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	6.72		17.211		9.469		6.05		26.22											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	7.05		17.212		9.469		6.05		23.96											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	7.26		17.212		9.470		6.05		22.76											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	7.47		17.212		9.469		6.04		20.90											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	7.72		17.212		9.470		6.04		19.57											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	8.03		17.212		9.470		6.05		18.24											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	8.29		17.212		9.470		6.05		16.90											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	8.50		17.212		9.470		6.05		15.97											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	8.73		17.212		9.469		6.05		14.77											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	9.07		17.213		9.470		6.05		13.98											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	9.28		17.213		9.469		6.05		13.31											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	9.50		17.213		9.470		6.05		12.51											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	9.88		17.212		9.470		6.05		11.45											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	10.02		17.213		9.470		6.05		10.91											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	10.29		17.212		9.470		6.05		10.25											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	10.56		17.212		9.469		6.05		9.58											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	10.75		17.212		9.469		6.05		9.18											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	11.01		17.213		9.470		6.05		8.65											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	11.32		17.213		9.469		6.04		7.99											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	11.47		17.212		9.470		6.05		7.85											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	11.72		17.213		9.470		6.05		7.32											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	11.97		17.213		9.470		6.05		6.92											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	12.26		17.211		9.470		6.05		6.65											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	12.48		17.212		9.470		6.05		6.39											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	12.80		17.212		9.470		6.04		6.12											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	12.98		17.213		9.470		6.04		5.86											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	13.31		17.212		9.470		6.05		5.46											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	13.51		17.212		9.471		6.05		5.32											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	13.77		17.213		9.470		6.05		5.19											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	14.16		17.212		9.469		6.05		4.79											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	14.37		17.211		9.469		6.04		4.66											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	14.53		17.211		9.470		6.04		4.66											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	14.74		17.212		9.470		6.04		4.26											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	14.97		17.212		9.470		6.04		4.26											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	15.30		17.211		9.470		6.05		4.12											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	15.53		17.212		9.469		6.05		3.99											
2018	09	11	08	17	00	2018_77LA_	B1	58.80333	17.62367	15.86		17.188		9.466		6.05		3.86											
