//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-10-07
//METADATA;STIME;19:35
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0137
//METADATA;STATN;BY29
//METADATA;LATIT;5853
//METADATA;LONGI;2019
//METADATA;POSYS;NOM
//METADATA;WADEP;187
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By291810071.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20181007_77FY_0137.txt
//METADATA;WINDIR;36
//METADATA;WINSP;10
//METADATA;AIRTEMP;10
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;4
//METADATA;ICEOB;0
//METADATA;timestamp;2018-10-07 19:35:22
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 10 oktober 2018 07:40:52
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -8.14238528000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.64000000000E+0000  8.92197242000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By291810071.SRD
//INSTRUMENT_METADATA;Lines :        698
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	0.33		8.896		-0.033		-20.39		19.57											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	0.45		10.384		7.768		7.12		4.52											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	0.68		10.881		8.146		7.16		5.86											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	0.90		10.932		8.127		6.58		5.46											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	1.14		10.932		8.134		6.51		4.12											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	1.38		10.933		8.135		6.50		3.99											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	1.66		10.934		8.136		6.51		4.12											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	1.97		10.936		8.137		6.50		4.12											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	2.27		10.934		8.138		6.51		3.99											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	2.42		10.935		8.137		6.51		3.86											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	2.63		10.934		8.134		6.50		3.99											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	2.95		10.936		8.137		6.50		3.73											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	3.18		10.935		8.136		6.50		3.59											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	3.38		10.935		8.136		6.50		3.46											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	3.64		10.936		8.136		6.50		3.46											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	3.91		10.935		8.136		6.50		3.33											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	4.14		10.935		8.137		6.49		3.33											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	4.44		10.935		8.138		6.50		3.33											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	4.69		10.934		8.137		6.50		3.19											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	4.98		10.935		8.138		6.50		3.19											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	5.30		10.933		8.138		6.50		3.19											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	5.46		10.935		8.138		6.50		3.19											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	5.63		10.935		8.139		6.50		3.19											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	5.99		10.934		8.139		6.50		3.19											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	6.13		10.935		8.139		6.50		3.19											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	6.43		10.939		8.139		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	6.69		10.936		8.139		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	6.90		10.936		8.139		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	7.16		10.938		8.139		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	7.44		10.939		8.139		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	7.73		10.939		8.140		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	7.92		10.940		8.140		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	8.23		10.940		8.140		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	8.52		10.939		8.140		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	8.65		10.939		8.139		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	8.96		10.940		8.140		6.50		2.93											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	9.27		10.940		8.140		6.50		2.93											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	9.40		10.940		8.140		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	9.63		10.939		8.139		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	9.89		10.939		8.139		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	10.15		10.940		8.140		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	10.39		10.940		8.140		6.50		2.93											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	10.73		10.940		8.140		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	11.01		10.940		8.140		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	11.15		10.942		8.140		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	11.44		10.941		8.140		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	11.72		10.941		8.140		6.50		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	11.96		10.940		8.140		6.49		2.93											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	12.15		10.941		8.139		6.50		2.93											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	12.44		10.940		8.140		6.49		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	12.68		10.940		8.140		6.49		2.93											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	12.95		10.940		8.139		6.49		2.93											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	13.20		10.940		8.140		6.49		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	13.51		10.941		8.140		6.49		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	13.66		10.941		8.140		6.48		2.93											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	14.00		10.940		8.141		6.48		2.93											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	14.19		10.940		8.140		6.48		2.93											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	14.52		10.939		8.140		6.48		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	14.67		10.939		8.139		6.48		2.93											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	14.89		10.938		8.139		6.49		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	15.17		10.938		8.140		6.49		3.06											
2018	10	07	19	35	00	2018_77FY_	BY29	58.88333	20.31667	15.40		10.941		8.139		6.48		3.06											
