//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-01-23
//METADATA;STIME;08:32
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0001
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;40.9
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180123.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180123_77LA_0001.txt
//METADATA;WINDIR;32
//METADATA;WINSP;1
//METADATA;AIRTEMP;1
//METADATA;AIRPRES;
//METADATA;WEATH;2
//METADATA;CLOUD;8
//METADATA;WAVES;2
//METADATA;ICEOB;0
//METADATA;timestamp;2018-01-23 08:32:13
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 24 januari 2018 08:41:23
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -8.05462592000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.24369179000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\B1180123.SRD
//INSTRUMENT_METADATA;Lines :        158
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	0.44		-0.244		-0.037		-27.51		57.11											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	0.68		1.082		6.327		9.73		62.57											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	0.90		1.096		6.330		9.66		40.87											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	1.18		1.102		6.333		9.55		21.70											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	1.43		1.101		6.338		9.47		19.30											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	1.65		1.156		6.365		9.37		17.70											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	1.88		1.308		6.400		9.24		15.97											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	2.19		1.518		6.487		9.09		14.37											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	2.42		1.651		6.513		9.05		13.44											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	2.70		1.705		6.531		9.03		12.38											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	2.92		1.727		6.533		9.01		11.71											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	3.12		1.733		6.534		9.00		11.05											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	3.40		1.744		6.538		8.97		10.38											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	3.62		1.752		6.552		8.93		9.58											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	3.91		1.742		6.556		8.94		8.92											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	4.20		1.714		6.556		8.95		8.52											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	4.41		1.714		6.564		8.94		8.25											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	4.67		1.706		6.568		8.95		7.85											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	4.89		1.722		6.572		8.95		7.59											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	5.14		1.748		6.578		8.94		7.32											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	5.44		1.767		6.583		8.94		7.05											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	5.70		1.798		6.595		8.93		6.79											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	5.95		1.837		6.611		8.92		6.52											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	6.14		1.861		6.623		8.92		6.12											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	6.42		1.858		6.631		8.93		5.99											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	6.70		1.956		6.656		8.88		5.72											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	6.92		2.079		6.687		8.84		5.59											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	7.16		2.161		6.724		8.83		5.46											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	7.40		2.339		6.755		8.78		5.19											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	7.65		2.376		6.759		8.80		5.19											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	7.94		2.379		6.758		8.81		5.06											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	8.19		2.412		6.775		8.79		4.79											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	8.37		2.431		6.785		8.78		4.79											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	8.64		2.447		6.775		8.76		4.66											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	8.92		2.455		6.800		8.79		4.66											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	9.17		2.459		6.801		8.79		4.52											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	9.45		2.451		6.797		8.80		4.39											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	9.64		2.424		6.801		8.81		4.26											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	9.91		2.426		6.816		8.80		4.26											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	10.19		2.482		6.832		8.78		4.26											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	10.37		2.493		6.834		8.78		4.12											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	10.68		2.502		6.845		8.78		4.12											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	10.88		2.510		6.852		8.78		3.99											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	11.18		2.511		6.859		8.78		3.99											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	11.37		2.522		6.875		8.78		3.99											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	11.65		2.549		6.884		8.77		3.86											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	11.93		2.566		6.889		8.77		3.86											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	12.18		2.569		6.894		8.77		3.73											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	12.42		2.568		6.896		8.77		3.59											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	12.70		2.569		6.896		8.78		3.73											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	12.89		2.570		6.898		8.78		3.59											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	13.16		2.571		6.900		8.78		3.59											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	13.43		2.573		6.902		8.78		3.59											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	13.63		2.574		6.903		8.78		3.59											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	13.90		2.573		6.905		8.79		3.46											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	14.19		2.574		6.905		8.79		3.46											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	14.43		2.574		6.906		8.79		3.46											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	14.62		2.577		6.917		8.79		3.33											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	14.88		2.580		6.921		8.78		3.46											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	15.20		2.584		6.923		8.79		3.46											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	15.40		2.588		6.926		8.78		3.33											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	15.72		2.592		6.927		8.79		3.19											
2018	01	23	08	32	00	2018_77LA_	B1	58.80333	17.62367	15.95		2.593		6.927		8.79		3.33											
