//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-06-18
//METADATA;STIME;12:53
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77WX
//METADATA;CRUISE_NO;
//METADATA;SERNO;0041
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;464
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311806182.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180618_77WX_0041.txt
//METADATA;WINDIR;23
//METADATA;WINSP;12
//METADATA;AIRTEMP;19
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;5
//METADATA;WAVES;5
//METADATA;ICEOB;0
//METADATA;timestamp;2018-06-18 12:53:05
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 20 juni 2018 06:52:01
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -7.52806976000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.06230809000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311806182.SRD
//INSTRUMENT_METADATA;Lines :       1793
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	0.37		18.722		-0.031		-16.29		1062.84											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	0.67		16.605		8.969		6.34		1045.94											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	0.82		16.611		8.991		6.51		681.98											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	1.15		16.609		8.973		6.79		345.58											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	1.39		16.611		8.976		6.80		318.29											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	1.57		16.611		8.980		6.82		272.50											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	1.83		16.615		8.971		6.75		213.39											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	2.10		16.625		8.971		6.74		178.51											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	2.34		16.625		8.971		6.73		146.43											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	2.58		16.627		8.971		6.73		120.34											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	2.84		16.624		8.974		6.72		107.96											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	3.09		16.623		8.972		6.71		100.77											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	3.33		16.622		8.971		6.70		87.99											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	3.58		16.611		8.970		6.61		74.68											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	3.84		16.580		8.967		6.56		70.42											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	4.12		16.618		8.967		6.56		62.30											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	4.32		16.614		8.967		6.56		58.70											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	4.65		16.616		8.967		6.56		52.58											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	4.83		16.607		8.967		6.56		48.85											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	5.10		16.595		8.968		6.56		44.73											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	5.33		16.595		8.968		6.56		42.20											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	5.61		16.594		8.967		6.56		39.27											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	5.86		16.557		8.968		6.57		36.74											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	6.16		16.543		8.971		6.57		33.81											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	6.37		16.541		8.971		6.57		32.08											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	6.62		16.540		8.970		6.56		29.82											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	6.88		16.536		8.971		6.56		27.95											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	7.06		16.534		8.971		6.56		26.89											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	7.35		16.533		8.972		6.56		25.42											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	7.56		16.533		8.971		6.56		24.36											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	7.92		16.520		8.974		6.56		22.89											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	8.16		16.517		8.974		6.57		21.83											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	8.38		16.511		8.974		6.56		20.63											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	8.57		16.514		8.975		6.56		19.70											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	8.84		16.507		8.979		6.56		18.37											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	9.15		16.457		8.982		6.56		17.17											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	9.37		16.451		8.983		6.56		16.37											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	9.62		16.441		8.984		6.55		15.57											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	9.87		16.417		8.984		6.56		14.77											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	10.16		16.330		8.976		6.57		13.84											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	10.39		16.192		8.943		6.60		13.31											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	10.62		15.954		8.914		6.64		12.78											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	10.87		15.685		8.948		6.64		12.24											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	11.07		15.135		9.026		6.72		11.71											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	11.32		14.947		9.311		6.67		10.91											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	11.58		15.116		9.598		6.61		10.38											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	11.83		15.178		9.676		6.54		9.85											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	12.12		15.012		9.710		6.53		9.45											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	12.46		14.884		9.793		6.49		8.92											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	12.62		14.826		9.801		6.48		8.65											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	12.93		14.700		9.783		6.49		8.12											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	13.07		14.660		9.779		6.50		8.12											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	13.33		14.638		9.799		6.52		7.72											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	13.62		14.559		9.791		6.51		7.59											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	13.85		14.495		9.779		6.53		7.45											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	14.16		14.406		9.772		6.57		7.32											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	14.43		14.353		9.772		6.58		7.05											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	14.57		14.290		9.755		6.59		6.92											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	14.85		14.143		9.718		6.61		6.65											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	15.12		13.978		9.666		6.64		6.52											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	15.34		13.756		9.598		6.69		6.25											
2018	06	18	12	53	00	2018_77WX_	BY31	58.58333	18.23333	15.59		13.432		9.505		6.76		6.25											
