//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-07-04
//METADATA;STIME;08:25
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0057
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;42.2
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180704.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180704_77LA_0057.txt
//METADATA;WINDIR;36
//METADATA;WINSP;6
//METADATA;AIRTEMP;16
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;1
//METADATA;WAVES;2
//METADATA;ICEOB;0
//METADATA;timestamp;2018-07-04 08:25:34
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 5 juli 2018 08:15:46
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -5.42184512000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  8.76704988000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\B1180704.SRD
//INSTRUMENT_METADATA;Lines :        161
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	-0.15		16.780		-0.033		-16.48		649.63											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	-0.14		16.779		-0.033		16.22		628.07											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	0.21		14.352		8.499		6.03		320.16											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	0.47		14.343		8.499		6.13		168.80											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	0.61		14.337		8.497		6.17		113.82											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	0.94		14.336		8.497		6.24		72.68											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	1.25		14.337		8.497		6.30		62.57											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	1.39		14.336		8.498		6.32		60.97											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	1.63		14.332		8.497		6.37		59.64											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	1.90		14.332		8.497		6.40		58.44											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	2.17		14.329		8.496		6.42		55.91											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	2.44		14.328		8.496		6.44		54.18											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	2.72		14.326		8.493		6.45		53.78											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	2.87		14.326		8.496		6.46		53.78											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	3.11		14.325		8.496		6.49		53.11											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	3.48		14.313		8.491		6.50		58.57											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	3.62		14.313		8.491		6.50		58.70											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	3.91		14.313		8.491		6.50		58.57											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	4.13		14.311		8.490		6.50		59.37											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	4.42		14.307		8.490		6.50		63.50											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	4.66		14.309		8.490		6.50		69.62											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	4.93		14.313		8.491		6.50		71.75											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	5.24		14.312		8.490		6.50		69.22											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	5.39		14.308		8.489		6.50		68.42											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	5.69		14.308		8.491		6.50		66.29											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	5.91		14.310		8.491		6.49		63.90											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	6.14		14.310		8.490		6.49		63.36											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	6.42		14.306		8.490		6.50		60.57											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	6.74		14.306		8.489		6.50		55.78											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	6.91		14.304		8.489		6.50		52.98											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	7.22		14.303		8.490		6.50		48.05											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	7.49		14.298		8.488		6.50		43.53											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	7.70		14.296		8.489		6.50		39.54											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	7.94		14.295		8.489		6.49		36.74											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	8.14		14.295		8.489		6.50		34.74											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	8.44		14.296		8.488		6.48		31.28											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	8.66		14.292		8.488		6.48		29.28											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	8.88		14.287		8.487		6.48		27.55											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	9.21		14.289		8.487		6.48		24.63											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	9.50		14.286		8.488		6.47		22.76											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	9.66		14.288		8.488		6.47		21.83											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	9.99		14.291		8.488		6.47		19.83											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	10.14		14.285		8.487		6.47		18.77											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	10.37		14.290		8.487		6.47		17.30											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	10.67		14.282		8.486		6.47		15.97											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	10.87		14.271		8.484		6.47		15.04											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	11.22		14.258		8.483		6.48		13.71											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	11.46		14.253		8.483		6.47		13.04											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	11.70		14.248		8.483		6.47		12.24											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	11.92		14.242		8.482		6.46		11.45											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	12.16		14.235		8.480		6.47		10.91											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	12.39		14.222		8.479		6.46		10.25											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	12.63		14.191		8.476		6.47		9.85											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	12.94		14.179		8.475		6.46		9.18											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	13.11		14.184		8.474		6.44		8.78											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	13.48		14.205		8.476		6.41		8.52											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	13.66		14.194		8.475		6.41		8.25											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	13.99		14.152		8.470		6.41		7.85											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	14.13		14.147		8.469		6.41		7.45											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	14.38		14.135		8.465		6.40		7.05											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	14.65		14.081		8.462		6.40		6.79											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	14.97		14.087		8.486		6.38		6.52											
2018	07	04	08	25	00	2018_77LA_	B1	58.80333	17.62367	15.14		14.094		8.488		6.37		6.52											
