//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-10-07
//METADATA;STIME;10:35
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0136
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;458
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311810072.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20181007_77FY_0136.txt
//METADATA;WINDIR;32
//METADATA;WINSP;6
//METADATA;AIRTEMP;10
//METADATA;AIRPRES;
//METADATA;WEATH;2
//METADATA;CLOUD;8
//METADATA;WAVES;2
//METADATA;ICEOB;0
//METADATA;timestamp;2018-10-07 10:35:23
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 10 oktober 2018 07:40:52
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -8.14238528000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.64000000000E+0000  8.92197242000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311810072.SRD
//INSTRUMENT_METADATA;Lines :       1776
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	0.25		8.096		-0.032		-20.83		1453.16											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	0.39		10.322		8.547		6.90		1179.19											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	0.75		10.473		8.633		6.87		1053.39											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	0.97		10.476		8.634		6.84		581.87											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	1.20		10.475		8.631		6.80		378.33											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	1.45		10.476		8.635		6.78		334.13											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	1.63		10.476		8.636		6.77		338.66											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	1.96		10.478		8.636		6.76		312.83											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	2.14		10.476		8.635		6.76		279.95											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	2.40		10.478		8.634		6.72		256.66											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	2.66		10.480		8.639		6.65		223.91											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	2.91		10.478		8.638		6.65		201.41											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	3.14		10.478		8.638		6.65		191.03											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	3.38		10.479		8.639		6.65		181.18											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	3.64		10.479		8.638		6.65		160.41											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	3.91		10.476		8.638		6.65		139.38											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	4.19		10.479		8.639		6.65		132.19											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	4.45		10.483		8.640		6.65		126.20											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	4.65		10.484		8.639		6.65		118.74											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	4.96		10.482		8.637		6.65		105.56											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	5.19		10.475		8.638		6.65		98.11											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	5.38		10.478		8.638		6.65		92.12											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	5.64		10.479		8.639		6.65		85.33											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	5.92		10.480		8.639		6.65		77.74											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	6.13		10.482		8.640		6.65		72.55											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	6.41		10.485		8.639		6.65		66.16											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	6.65		10.486		8.640		6.65		63.50											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	6.95		10.481		8.639		6.65		59.77											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	7.15		10.483		8.640		6.65		56.57											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	7.47		10.482		8.640		6.65		50.98											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	7.68		10.485		8.640		6.65		47.52											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	7.95		10.480		8.638		6.65		43.66											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	8.18		10.468		8.635		6.65		40.87											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	8.42		10.462		8.634		6.65		38.74											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	8.64		10.466		8.636		6.65		37.27											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	8.93		10.473		8.638		6.64		34.61											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	9.14		10.457		8.626		6.65		32.88											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	9.38		10.421		8.615		6.66		31.02											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	9.72		10.381		8.610		6.66		28.22											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	9.94		10.372		8.608		6.66		26.76											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	10.15		10.365		8.606		6.65		25.42											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	10.44		10.279		8.577		6.68		23.69											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	10.64		10.249		8.571		6.68		22.63											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	10.90		10.201		8.556		6.68		21.43											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	11.22		10.197		8.556		6.68		20.10											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	11.44		10.202		8.556		6.68		19.30											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	11.65		10.200		8.557		6.68		18.50											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	11.88		10.201		8.563		6.68		17.57											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	12.20		10.227		8.567		6.68		16.50											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	12.43		10.227		8.566		6.67		15.71											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	12.65		10.228		8.565		6.67		15.04											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	12.95		10.214		8.560		6.67		14.11											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	13.16		10.202		8.555		6.68		13.58											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	13.38		10.193		8.552		6.68		13.18											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	13.66		10.177		8.549		6.68		12.38											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	13.89		10.175		8.549		6.68		11.98											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	14.15		10.169		8.547		6.68		11.58											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	14.45		10.165		8.546		6.68		11.18											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	14.68		10.164		8.545		6.68		10.78											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	14.92		10.162		8.545		6.68		10.51											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	15.17		10.161		8.544		6.68		9.85											
2018	10	07	10	35	00	2018_77FY_	BY31	58.58333	18.23333	15.43		10.159		8.544		6.68		9.45											
