//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-03-12
//METADATA;STIME;12:19
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0021
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311803122.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180312_77FY_0021.txt
//METADATA;WINDIR;14
//METADATA;WINSP;8
//METADATA;AIRTEMP;3
//METADATA;AIRPRES;
//METADATA;WEATH;2
//METADATA;CLOUD;8
//METADATA;WAVES;4
//METADATA;ICEOB;0
//METADATA;timestamp;2018-03-12 12:19:05
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 13 mars 2018 10:00:40
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -6.29943872000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.29756192000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311803122.SRD
//INSTRUMENT_METADATA;Lines :       1779
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	0.02		2.523		-0.035		-25.40		393.37											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	0.21		1.711		6.670		9.58		609.56											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	0.50		1.715		6.666		9.58		444.49											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	0.74		1.710		6.672		9.57		264.91											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	0.99		1.722		6.679		9.55		212.33											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	1.20		1.693		6.649		9.51		207.00											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	1.46		1.686		6.641		9.56		181.58											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	1.75		1.700		6.651		9.53		176.12											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	1.95		1.695		6.647		9.53		170.53											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	2.23		1.693		6.647		9.53		158.41											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	2.51		1.696		6.648		9.53		145.77											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	2.70		1.690		6.646		9.52		124.87											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	2.95		1.674		6.630		9.53		109.16											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	3.22		1.668		6.630		9.53		104.23											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	3.48		1.672		6.634		9.53		91.45											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	3.70		1.664		6.626		9.53		87.33											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	3.98		1.675		6.634		9.53		81.60											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	4.19		1.675		6.634		9.53		75.88											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	4.46		1.670		6.629		9.53		75.08											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	4.72		1.674		6.634		9.53		66.83											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	4.96		1.673		6.631		9.53		58.97											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	5.20		1.676		6.636		9.53		56.31											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	5.51		1.682		6.638		9.52		54.18											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	5.70		1.682		6.640		9.52		52.18											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	5.96		1.679		6.636		9.52		49.12											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	6.27		1.682		6.640		9.52		46.19											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	6.52		1.685		6.641		9.52		42.73											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	6.70		1.680		6.638		9.52		40.20											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	6.97		1.687		6.643		9.52		37.14											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	7.22		1.695		6.670		9.52		36.21											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	7.49		1.706		6.693		9.51		34.34											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	7.70		1.714		6.650		9.51		32.88											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	7.99		1.729		6.692		9.49		31.15											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	8.24		1.769		6.704		9.48		29.55											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	8.45		1.764		6.696		9.48		28.35											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	8.74		1.752		6.698		9.48		26.76											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	8.96		1.759		6.702		9.48		25.42											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	9.21		1.753		6.682		9.48		23.96											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	9.50		1.751		6.699		9.47		22.63											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	9.71		1.769		6.713		9.47		21.83											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	9.96		1.811		6.730		9.45		21.03											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	10.22		1.797		6.725		9.44		21.30											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	10.47		1.785		6.717		9.45		20.23											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	10.78		1.779		6.716		9.45		18.90											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	10.94		1.796		6.744		9.44		18.37											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	11.27		1.825		6.751		9.43		17.17											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	11.57		1.838		6.771		9.43		15.97											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	11.71		1.847		6.772		9.42		15.71											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	11.94		1.862		6.782		9.41		15.04											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	12.28		1.884		6.798		9.38		14.77											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	12.44		1.901		6.802		9.37		14.24											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	12.80		1.892		6.818		9.37		13.31											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	12.98		1.904		6.823		9.37		13.04											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	13.31		1.913		6.828		9.37		12.24											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	13.48		1.916		6.834		9.37		11.98											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	13.72		1.963		6.873		9.35		11.58											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	13.95		2.039		6.878		9.31		11.58											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	14.22		2.089		6.951		9.27		11.05											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	14.63		2.190		7.004		9.24		10.25											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	14.84		2.233		7.015		9.23		9.98											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	15.02		2.244		7.022		9.23		9.72											
2018	03	12	12	19	00	2018_77FY_	BY31	58.58333	18.23333	15.32		2.247		7.026		9.23		9.32											
