//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-05-07
//METADATA;STIME;08:31
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0022
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;41
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180507.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180507_77LA_0022.txt
//METADATA;WINDIR;23
//METADATA;WINSP;4
//METADATA;AIRTEMP;10
//METADATA;AIRPRES;
//METADATA;WEATH;0
//METADATA;CLOUD;0
//METADATA;WAVES;2
//METADATA;ICEOB;0
//METADATA;timestamp;2018-05-07 08:31:30
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 9 maj 2018 09:26:49
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -6.47495744000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.09509637000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;C:\Users\stsv8363\Desktop\tryckkalibrering180423\469\B1180507.SRD
//INSTRUMENT_METADATA;Lines :        163
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	5	7	8	31	30	2018_77LA_	B1	58.80333	17.62367	0.06		9.166		-0.033		-20.62		3439.61											
2018	5	7	8	31	33	2018_77LA_	B1	58.80333	17.62367	0.23		6.829		7.050		8.51		3310.75											
2018	5	7	8	31	34	2018_77LA_	B1	58.80333	17.62367	0.52		6.808		7.044		8.92		3011.22											
2018	5	7	8	31	34	2018_77LA_	B1	58.80333	17.62367	0.73		6.796		7.043		9.00		1560.06											
2018	5	7	8	31	35	2018_77LA_	B1	58.80333	17.62367	1.04		6.802		7.046		9.09		856.37											
2018	5	7	8	31	35	2018_77LA_	B1	58.80333	17.62367	1.26		6.797		7.045		9.14		703.02											
2018	5	7	8	31	36	2018_77LA_	B1	58.80333	17.62367	1.48		6.794		7.043		9.21		842.93											
2018	5	7	8	31	36	2018_77LA_	B1	58.80333	17.62367	1.72		6.759		7.039		9.27		601.58											
2018	5	7	8	31	37	2018_77LA_	B1	58.80333	17.62367	2.00		6.703		7.025		9.32		741.75											
2018	5	7	8	31	37	2018_77LA_	B1	58.80333	17.62367	2.27		6.673		7.019		9.35		594.25											
2018	5	7	8	31	37	2018_77LA_	B1	58.80333	17.62367	2.53		6.652		7.016		9.37		563.10											
2018	5	7	8	31	38	2018_77LA_	B1	58.80333	17.62367	2.77		6.638		7.013		9.38		466.86											
2018	5	7	8	31	38	2018_77LA_	B1	58.80333	17.62367	3.02		6.623		7.011		9.39		470.85											
2018	5	7	8	31	39	2018_77LA_	B1	58.80333	17.62367	3.21		6.610		7.010		9.41		468.72											
2018	5	7	8	31	39	2018_77LA_	B1	58.80333	17.62367	3.47		6.594		7.009		9.42		301.65											
2018	5	7	8	32	26	2018_77LA_	B1	58.80333	17.62367	3.75		6.581		7.002		9.40		259.72											
2018	5	7	8	32	27	2018_77LA_	B1	58.80333	17.62367	3.98		6.573		7.001		9.40		297.53											
2018	5	7	8	32	27	2018_77LA_	B1	58.80333	17.62367	4.31		6.548		6.994		9.41		248.00											
2018	5	7	8	32	27	2018_77LA_	B1	58.80333	17.62367	4.49		6.539		6.989		9.41		223.78											
2018	5	7	8	32	28	2018_77LA_	B1	58.80333	17.62367	4.76		6.498		6.984		9.42		240.95											
2018	5	7	8	32	28	2018_77LA_	B1	58.80333	17.62367	4.98		6.470		6.978		9.43		202.74											
2018	5	7	8	32	29	2018_77LA_	B1	58.80333	17.62367	5.23		6.450		6.969		9.43		204.34											
2018	5	7	8	32	29	2018_77LA_	B1	58.80333	17.62367	5.54		6.378		6.956		9.46		187.70											
2018	5	7	8	32	29	2018_77LA_	B1	58.80333	17.62367	5.76		6.353		6.950		9.46		182.51											
2018	5	7	8	32	30	2018_77LA_	B1	58.80333	17.62367	5.96		6.327		6.942		9.47		140.31											
2018	5	7	8	32	30	2018_77LA_	B1	58.80333	17.62367	6.28		6.263		6.928		9.49		153.09											
2018	5	7	8	32	31	2018_77LA_	B1	58.80333	17.62367	6.48		6.221		6.921		9.51		145.37											
2018	5	7	8	32	31	2018_77LA_	B1	58.80333	17.62367	6.71		6.176		6.910		9.53		120.21											
2018	5	7	8	32	32	2018_77LA_	B1	58.80333	17.62367	6.96		6.123		6.898		9.55		116.35											
2018	5	7	8	32	32	2018_77LA_	B1	58.80333	17.62367	7.30		6.044		6.874		9.59		93.18											
2018	5	7	8	32	33	2018_77LA_	B1	58.80333	17.62367	7.46		5.979		6.853		9.61		88.52											
2018	5	7	8	32	33	2018_77LA_	B1	58.80333	17.62367	7.79		5.818		6.805		9.67		86.53											
2018	5	7	8	32	33	2018_77LA_	B1	58.80333	17.62367	8.04		5.546		6.749		9.78		87.46											
2018	5	7	8	32	34	2018_77LA_	B1	58.80333	17.62367	8.23		5.366		6.735		9.82		79.74											
2018	5	7	8	32	35	2018_77LA_	B1	58.80333	17.62367	8.46		5.334		6.725		9.82		79.74											
2018	5	7	8	32	45	2018_77LA_	B1	58.80333	17.62367	8.71		5.285		6.713		9.87		68.16											
2018	5	7	8	33	19	2018_77LA_	B1	58.80333	17.62367	9.02		5.074		6.637		9.93		62.83											
2018	5	7	8	33	19	2018_77LA_	B1	58.80333	17.62367	9.34		4.879		6.601		9.98		62.83											
2018	5	7	8	33	19	2018_77LA_	B1	58.80333	17.62367	9.50		4.753		6.595		10.02		61.50											
2018	5	7	8	33	20	2018_77LA_	B1	58.80333	17.62367	9.81		4.669		6.600		10.02		56.18											
2018	5	7	8	33	20	2018_77LA_	B1	58.80333	17.62367	9.97		4.670		6.603		10.00		53.11											
2018	5	7	8	33	20	2018_77LA_	B1	58.80333	17.62367	10.24		4.716		6.622		9.96		47.52											
2018	5	7	8	33	21	2018_77LA_	B1	58.80333	17.62367	10.48		4.775		6.636		9.93		44.86											
2018	5	7	8	33	21	2018_77LA_	B1	58.80333	17.62367	10.78		4.844		6.651		9.89		43.13											
2018	5	7	8	33	22	2018_77LA_	B1	58.80333	17.62367	11.00		4.879		6.658		9.88		40.60											
2018	5	7	8	33	22	2018_77LA_	B1	58.80333	17.62367	11.27		4.907		6.666		9.87		38.47											
2018	5	7	8	33	23	2018_77LA_	B1	58.80333	17.62367	11.47		4.935		6.674		9.85		37.54											
2018	5	7	8	33	23	2018_77LA_	B1	58.80333	17.62367	11.72		4.971		6.681		9.84		36.21											
2018	5	7	8	33	23	2018_77LA_	B1	58.80333	17.62367	12.02		4.977		6.681		9.84		34.48											
2018	5	7	8	33	24	2018_77LA_	B1	58.80333	17.62367	12.29		4.952		6.671		9.86		31.81											
2018	5	7	8	33	24	2018_77LA_	B1	58.80333	17.62367	12.50		4.920		6.665		9.87		30.08											
2018	5	7	8	33	25	2018_77LA_	B1	58.80333	17.62367	12.79		4.827		6.648		9.90		28.89											
2018	5	7	8	33	25	2018_77LA_	B1	58.80333	17.62367	12.98		4.811		6.642		9.89		27.55											
2018	5	7	8	33	26	2018_77LA_	B1	58.80333	17.62367	13.22		4.769		6.631		9.89		26.09											
2018	5	7	8	33	26	2018_77LA_	B1	58.80333	17.62367	13.46		4.734		6.632		9.88		24.76											
2018	5	7	8	33	57	2018_77LA_	B1	58.80333	17.62367	13.78		4.803		6.632		9.80		23.83											
2018	5	7	8	33	58	2018_77LA_	B1	58.80333	17.62367	14.02		4.758		6.638		9.81		22.89											
2018	5	7	8	33	58	2018_77LA_	B1	58.80333	17.62367	14.26		4.771		6.639		9.79		21.43											
2018	5	7	8	33	59	2018_77LA_	B1	58.80333	17.62367	14.50		4.773		6.636		9.78		20.23											
2018	5	7	8	34	0	2018_77LA_	B1	58.80333	17.62367	14.81		4.771		6.636		9.78		19.17											
2018	5	7	8	34	0	2018_77LA_	B1	58.80333	17.62367	14.97		4.757		6.637		9.79		18.77											
2018	5	7	8	34	0	2018_77LA_	B1	58.80333	17.62367	15.31		4.762		6.641		9.77		17.70											
2018	5	7	8	34	0	2018_77LA_	B1	58.80333	17.62367	15.50		4.764		6.641		9.77		17.17											
