//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-03-05
//METADATA;STIME;09:32
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77WX
//METADATA;CRUISE_NO;
//METADATA;SERNO;0006
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;42
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180305.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180305_77WX_0006.txt
//METADATA;WINDIR;05
//METADATA;WINSP;3
//METADATA;AIRTEMP;-3
//METADATA;AIRPRES;
//METADATA;WEATH;2
//METADATA;CLOUD;8
//METADATA;WAVES;4
//METADATA;ICEOB;1
//METADATA;timestamp;2018-03-05 09:32:21
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 6 mars 2018 08:40:31
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -4.54425152000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  8.89549435000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\B1180305.SRD
//INSTRUMENT_METADATA;Lines :        163
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	03	05	09	32	21	2018_77WX_	B1	58.80333	17.62367	-0.11		-2.256		-0.035		-28.27		732.30											
2018	03	05	09	33	42	2018_77WX_	B1	58.80333	17.62367	0.02		-0.263		5.231		10.41		726.98											
2018	03	05	09	33	44	2018_77WX_	B1	58.80333	17.62367	0.27		-0.205		5.772		10.19		601.31											
2018	03	05	09	34	50	2018_77WX_	B1	58.80333	17.62367	0.54		-0.186		5.772		10.01		272.10											
2018	03	05	09	34	51	2018_77WX_	B1	58.80333	17.62367	0.83		-0.186		5.795		10.00		239.88											
2018	03	05	09	34	51	2018_77WX_	B1	58.80333	17.62367	1.04		-0.193		5.807		10.01		218.45											
2018	03	05	09	35	08	2018_77WX_	B1	58.80333	17.62367	1.30		-0.208		5.101		10.14		178.91											
2018	03	05	09	35	09	2018_77WX_	B1	58.80333	17.62367	1.54		-0.203		5.069		10.14		169.20											
2018	03	05	09	35	09	2018_77WX_	B1	58.80333	17.62367	1.86		-0.200		5.082		10.13		152.96											
2018	03	05	09	35	10	2018_77WX_	B1	58.80333	17.62367	2.09		-0.202		5.045		10.13		141.91											
2018	03	05	09	35	10	2018_77WX_	B1	58.80333	17.62367	2.36		-0.196		5.101		10.11		129.13											
2018	03	05	09	35	11	2018_77WX_	B1	58.80333	17.62367	2.53		-0.188		5.724		10.05		121.41											
2018	03	05	09	35	39	2018_77WX_	B1	58.80333	17.62367	2.78		-0.163		5.870		9.90		96.91											
2018	03	05	09	35	40	2018_77WX_	B1	58.80333	17.62367	3.07		-0.137		5.879		9.87		89.06											
2018	03	05	09	35	40	2018_77WX_	B1	58.80333	17.62367	3.28		-0.144		5.899		9.87		84.53											
2018	03	05	09	35	41	2018_77WX_	B1	58.80333	17.62367	3.55		-0.163		5.912		9.88		78.41											
2018	03	05	09	35	45	2018_77WX_	B1	58.80333	17.62367	3.78		-0.178		5.915		9.94		71.88											
2018	03	05	09	35	46	2018_77WX_	B1	58.80333	17.62367	4.09		-0.174		5.929		9.94		68.96											
2018	03	05	09	35	46	2018_77WX_	B1	58.80333	17.62367	4.36		-0.135		5.937		9.91		64.96											
2018	03	05	09	35	47	2018_77WX_	B1	58.80333	17.62367	4.66		-0.129		5.940		9.91		59.90											
2018	03	05	09	35	47	2018_77WX_	B1	58.80333	17.62367	4.79		-0.127		5.940		9.90		57.37											
2018	03	05	09	35	47	2018_77WX_	B1	58.80333	17.62367	5.06		-0.128		5.941		9.90		52.18											
2018	03	05	09	35	47	2018_77WX_	B1	58.80333	17.62367	5.33		-0.128		5.944		9.90		47.66											
2018	03	05	09	35	48	2018_77WX_	B1	58.80333	17.62367	5.58		-0.125		5.947		9.90		43.79											
2018	03	05	09	35	48	2018_77WX_	B1	58.80333	17.62367	5.79		-0.119		5.953		9.90		40.47											
2018	03	05	09	35	49	2018_77WX_	B1	58.80333	17.62367	6.10		-0.118		5.955		9.91		36.61											
2018	03	05	09	35	49	2018_77WX_	B1	58.80333	17.62367	6.27		-0.117		5.955		9.91		34.34											
2018	03	05	09	35	50	2018_77WX_	B1	58.80333	17.62367	6.56		-0.118		5.955		9.92		31.95											
2018	03	05	09	35	50	2018_77WX_	B1	58.80333	17.62367	6.84		-0.122		5.957		9.92		29.68											
2018	03	05	09	35	51	2018_77WX_	B1	58.80333	17.62367	7.11		-0.125		5.959		9.93		27.82											
2018	03	05	09	35	51	2018_77WX_	B1	58.80333	17.62367	7.28		-0.127		5.960		9.93		26.76											
2018	03	05	09	35	52	2018_77WX_	B1	58.80333	17.62367	7.53		-0.131		5.962		9.93		25.29											
2018	03	05	09	36	23	2018_77WX_	B1	58.80333	17.62367	7.84		-0.140		5.962		9.93		28.22											
2018	03	05	09	36	24	2018_77WX_	B1	58.80333	17.62367	8.10		-0.148		5.965		9.94		26.76											
2018	03	05	09	36	24	2018_77WX_	B1	58.80333	17.62367	8.27		-0.155		5.967		9.94		25.82											
2018	03	05	09	36	25	2018_77WX_	B1	58.80333	17.62367	8.54		-0.156		5.972		9.94		24.49											
2018	03	05	09	36	25	2018_77WX_	B1	58.80333	17.62367	8.84		-0.162		5.973		9.94		23.29											
2018	03	05	09	36	26	2018_77WX_	B1	58.80333	17.62367	9.11		-0.168		5.975		9.95		22.10											
2018	03	05	09	36	26	2018_77WX_	B1	58.80333	17.62367	9.27		-0.172		5.976		9.95		21.30											
2018	03	05	09	36	27	2018_77WX_	B1	58.80333	17.62367	9.58		-0.176		5.976		9.95		20.10											
2018	03	05	09	36	28	2018_77WX_	B1	58.80333	17.62367	9.81		-0.179		5.977		9.95		19.17											
2018	03	05	09	36	28	2018_77WX_	B1	58.80333	17.62367	10.02		-0.180		5.977		9.95		18.24											
2018	03	05	09	36	29	2018_77WX_	B1	58.80333	17.62367	10.32		-0.180		5.977		9.95		17.30											
2018	03	05	09	36	29	2018_77WX_	B1	58.80333	17.62367	10.58		-0.184		5.977		9.96		16.77											
2018	03	05	09	36	30	2018_77WX_	B1	58.80333	17.62367	10.84		-0.187		5.979		9.96		16.11											
2018	03	05	09	36	30	2018_77WX_	B1	58.80333	17.62367	11.07		-0.190		5.978		9.96		15.44											
2018	03	05	09	36	31	2018_77WX_	B1	58.80333	17.62367	11.30		-0.192		5.978		9.96		14.91											
2018	03	05	09	36	32	2018_77WX_	B1	58.80333	17.62367	11.58		-0.195		5.980		9.96		14.37											
2018	03	05	09	36	32	2018_77WX_	B1	58.80333	17.62367	11.80		-0.194		5.980		9.96		13.84											
2018	03	05	09	36	33	2018_77WX_	B1	58.80333	17.62367	12.03		-0.196		5.982		9.96		13.44											
2018	03	05	09	36	33	2018_77WX_	B1	58.80333	17.62367	12.30		-0.202		5.985		9.96		12.91											
2018	03	05	09	36	37	2018_77WX_	B1	58.80333	17.62367	12.53		-0.212		5.992		9.96		12.38											
2018	03	05	09	36	48	2018_77WX_	B1	58.80333	17.62367	12.80		-0.240		6.002		9.97		11.85											
2018	03	05	09	37	00	2018_77WX_	B1	58.80333	17.62367	13.08		-0.247		6.009		9.90		11.45											
2018	03	05	09	37	01	2018_77WX_	B1	58.80333	17.62367	13.30		-0.250		6.014		9.90		11.05											
2018	03	05	09	37	01	2018_77WX_	B1	58.80333	17.62367	13.52		-0.250		6.016		9.91		10.78											
2018	03	05	09	37	01	2018_77WX_	B1	58.80333	17.62367	13.87		-0.251		6.017		9.92		10.25											
2018	03	05	09	37	02	2018_77WX_	B1	58.80333	17.62367	14.13		-0.252		6.017		9.92		9.98											
2018	03	05	09	37	02	2018_77WX_	B1	58.80333	17.62367	14.40		-0.252		6.018		9.93		9.72											
2018	03	05	09	37	02	2018_77WX_	B1	58.80333	17.62367	14.53		-0.252		6.018		9.93		9.45											
2018	03	05	09	37	03	2018_77WX_	B1	58.80333	17.62367	14.80		-0.252		6.019		9.94		9.05											
2018	03	05	09	37	03	2018_77WX_	B1	58.80333	17.62367	15.03		-0.253		6.018		9.94		8.78											
