//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-04-11
//METADATA;STIME;08:30
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0007
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;41
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180411.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180411_77LA_0007.txt
//METADATA;WINDIR;05
//METADATA;WINSP;4
//METADATA;AIRTEMP;2
//METADATA;AIRPRES;
//METADATA;WEATH;0
//METADATA;CLOUD;0
//METADATA;WAVES;2
//METADATA;ICEOB;0
//METADATA;timestamp;2018-04-11 08:30:53
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 12 april 2018 07:01:47
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -8.05462592000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.27144976000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\B1180411.SRD
//INSTRUMENT_METADATA;Lines :        162
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	04	11	08	30	53	2018_77LA_	B1	58.80333	17.62367	0.32		1.208		-0.035		-26.38		2793.30											
2018	04	11	08	30	59	2018_77LA_	B1	58.80333	17.62367	0.37		1.355		5.324		10.31		630.60											
2018	04	11	08	31	08	2018_77LA_	B1	58.80333	17.62367	0.64		1.501		6.091		10.98		545.80											
2018	04	11	08	31	08	2018_77LA_	B1	58.80333	17.62367	0.95		1.502		6.093		11.03		190.63											
2018	04	11	08	31	09	2018_77LA_	B1	58.80333	17.62367	1.19		1.501		6.093		11.05		104.10											
2018	04	11	08	31	09	2018_77LA_	B1	58.80333	17.62367	1.46		1.503		6.093		11.08		89.19											
2018	04	11	08	31	09	2018_77LA_	B1	58.80333	17.62367	1.71		1.502		6.093		11.10		89.19											
2018	04	11	08	31	10	2018_77LA_	B1	58.80333	17.62367	1.96		1.502		6.093		11.12		86.26											
2018	04	11	08	31	10	2018_77LA_	B1	58.80333	17.62367	2.14		1.502		6.094		11.14		91.99											
2018	04	11	08	31	11	2018_77LA_	B1	58.80333	17.62367	2.41		1.503		6.094		11.14		89.46											
2018	04	11	08	31	11	2018_77LA_	B1	58.80333	17.62367	2.64		1.501		6.094		11.17		109.96											
2018	04	11	08	31	12	2018_77LA_	B1	58.80333	17.62367	2.93		1.497		6.092		11.18		115.68											
2018	04	11	08	31	12	2018_77LA_	B1	58.80333	17.62367	3.13		1.490		6.092		11.18		115.02											
2018	04	11	08	31	14	2018_77LA_	B1	58.80333	17.62367	3.39		1.493		6.094		11.18		98.38											
2018	04	11	08	31	55	2018_77LA_	B1	58.80333	17.62367	3.68		1.498		6.091		11.15		135.38											
2018	04	11	08	31	56	2018_77LA_	B1	58.80333	17.62367	3.89		1.495		6.090		11.14		127.53											
2018	04	11	08	31	57	2018_77LA_	B1	58.80333	17.62367	4.17		1.491		6.090		11.14		113.82											
2018	04	11	08	31	57	2018_77LA_	B1	58.80333	17.62367	4.48		1.492		6.090		11.14		106.10											
2018	04	11	08	31	58	2018_77LA_	B1	58.80333	17.62367	4.71		1.490		6.090		11.14		92.38											
2018	04	11	08	31	58	2018_77LA_	B1	58.80333	17.62367	4.92		1.492		6.090		11.14		85.99											
2018	04	11	08	31	58	2018_77LA_	B1	58.80333	17.62367	5.17		1.491		6.090		11.14		83.33											
2018	04	11	08	31	59	2018_77LA_	B1	58.80333	17.62367	5.39		1.490		6.090		11.14		77.21											
2018	04	11	08	32	00	2018_77LA_	B1	58.80333	17.62367	5.71		1.485		6.089		11.14		67.76											
2018	04	11	08	32	01	2018_77LA_	B1	58.80333	17.62367	5.93		1.484		6.089		11.13		63.63											
2018	04	11	08	32	01	2018_77LA_	B1	58.80333	17.62367	6.17		1.485		6.090		11.13		58.17											
2018	04	11	08	32	01	2018_77LA_	B1	58.80333	17.62367	6.43		1.485		6.089		11.13		49.52											
2018	04	11	08	32	02	2018_77LA_	B1	58.80333	17.62367	6.63		1.486		6.089		11.13		46.99											
2018	04	11	08	32	03	2018_77LA_	B1	58.80333	17.62367	6.94		1.482		6.090		11.13		44.99											
2018	04	11	08	32	04	2018_77LA_	B1	58.80333	17.62367	7.16		1.481		6.089		11.13		41.80											
2018	04	11	08	32	04	2018_77LA_	B1	58.80333	17.62367	7.42		1.481		6.088		11.12		39.27											
2018	04	11	08	32	04	2018_77LA_	B1	58.80333	17.62367	7.66		1.481		6.089		11.12		36.47											
2018	04	11	08	32	05	2018_77LA_	B1	58.80333	17.62367	7.92		1.481		6.089		11.11		32.75											
2018	04	11	08	32	06	2018_77LA_	B1	58.80333	17.62367	8.13		1.481		6.089		11.12		30.22											
2018	04	11	08	32	07	2018_77LA_	B1	58.80333	17.62367	8.38		1.480		6.089		11.12		28.49											
2018	04	11	08	32	46	2018_77LA_	B1	58.80333	17.62367	8.71		1.482		6.088		11.08		24.36											
2018	04	11	08	32	46	2018_77LA_	B1	58.80333	17.62367	8.91		1.481		6.089		11.08		23.56											
2018	04	11	08	32	47	2018_77LA_	B1	58.80333	17.62367	9.21		1.482		6.088		11.07		21.83											
2018	04	11	08	32	47	2018_77LA_	B1	58.80333	17.62367	9.41		1.484		6.088		11.08		20.76											
2018	04	11	08	32	48	2018_77LA_	B1	58.80333	17.62367	9.67		1.481		6.089		11.08		19.30											
2018	04	11	08	32	48	2018_77LA_	B1	58.80333	17.62367	9.87		1.480		6.089		11.08		18.37											
2018	04	11	08	32	48	2018_77LA_	B1	58.80333	17.62367	10.16		1.480		6.089		11.08		17.04											
2018	04	11	08	32	49	2018_77LA_	B1	58.80333	17.62367	10.40		1.480		6.089		11.08		16.11											
2018	04	11	08	32	50	2018_77LA_	B1	58.80333	17.62367	10.71		1.480		6.089		11.08		15.04											
2018	04	11	08	32	50	2018_77LA_	B1	58.80333	17.62367	10.98		1.480		6.088		11.08		14.37											
2018	04	11	08	32	51	2018_77LA_	B1	58.80333	17.62367	11.20		1.481		6.088		11.08		13.71											
2018	04	11	08	32	51	2018_77LA_	B1	58.80333	17.62367	11.44		1.481		6.089		11.07		13.18											
2018	04	11	08	32	51	2018_77LA_	B1	58.80333	17.62367	11.65		1.481		6.088		11.08		12.64											
2018	04	11	08	32	52	2018_77LA_	B1	58.80333	17.62367	11.91		1.480		6.089		11.08		11.98											
2018	04	11	08	32	52	2018_77LA_	B1	58.80333	17.62367	12.17		1.481		6.089		11.08		11.31											
2018	04	11	08	32	53	2018_77LA_	B1	58.80333	17.62367	12.40		1.481		6.089		11.07		10.78											
2018	04	11	08	32	54	2018_77LA_	B1	58.80333	17.62367	12.69		1.481		6.089		11.07		10.12											
2018	04	11	08	32	54	2018_77LA_	B1	58.80333	17.62367	12.92		1.482		6.089		11.08		9.85											
2018	04	11	08	32	55	2018_77LA_	B1	58.80333	17.62367	13.13		1.480		6.090		11.07		9.58											
2018	04	11	08	32	56	2018_77LA_	B1	58.80333	17.62367	13.37		1.481		6.088		11.07		9.18											
2018	04	11	08	34	01	2018_77LA_	B1	58.80333	17.62367	13.64		1.480		6.088		11.04		9.05											
2018	04	11	08	34	02	2018_77LA_	B1	58.80333	17.62367	13.94		1.478		6.088		11.04		8.65											
2018	04	11	08	34	02	2018_77LA_	B1	58.80333	17.62367	14.19		1.480		6.088		11.04		8.38											
2018	04	11	08	34	03	2018_77LA_	B1	58.80333	17.62367	14.47		1.479		6.089		11.04		8.12											
2018	04	11	08	34	03	2018_77LA_	B1	58.80333	17.62367	14.76		1.480		6.088		11.04		7.72											
2018	04	11	08	34	03	2018_77LA_	B1	58.80333	17.62367	14.91		1.480		6.089		11.04		7.59											
2018	04	11	08	34	03	2018_77LA_	B1	58.80333	17.62367	15.17		1.478		6.089		11.04		7.45											
2018	04	11	08	34	04	2018_77LA_	B1	58.80333	17.62367	15.38		1.480		6.089		11.04		7.32											
2018	04	11	08	34	04	2018_77LA_	B1	58.80333	17.62367	15.66		1.478		6.088		11.04		7.05											
