//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-03-27
//METADATA;STIME;07:49
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77WX
//METADATA;CRUISE_NO;
//METADATA;SERNO;0016
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;43
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180327.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180327_77WX_0016.txt
//METADATA;WINDIR;36
//METADATA;WINSP;3
//METADATA;AIRTEMP;0
//METADATA;AIRPRES;
//METADATA;WEATH;0
//METADATA;CLOUD;0
//METADATA;WAVES;1
//METADATA;ICEOB;1
//METADATA;timestamp;2018-03-27 07:49:27
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 28 mars 2018 07:04:47
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -7.79134784000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.11736575000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\B1180327.SRD
//INSTRUMENT_METADATA;Lines :        162
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	03	27	07	49	27	2018_77WX_	B1	58.80333	17.62367	0.31		-1.500		-0.035		-28.26		2444.79											
2018	03	27	07	49	40	2018_77WX_	B1	58.80333	17.62367	0.34		-0.435		-0.036		12.36		3109.73											
2018	03	27	07	50	33	2018_77WX_	B1	58.80333	17.62367	0.71		0.238		5.895		11.38		3005.90											
2018	03	27	07	50	34	2018_77WX_	B1	58.80333	17.62367	0.93		0.269		5.892		11.43		1264.39											
2018	03	27	07	50	34	2018_77WX_	B1	58.80333	17.62367	1.19		0.331		5.878		11.44		625.01											
2018	03	27	07	50	35	2018_77WX_	B1	58.80333	17.62367	1.44		0.250		5.870		11.51		474.71											
2018	03	27	07	50	35	2018_77WX_	B1	58.80333	17.62367	1.67		0.243		5.868		11.53		354.64											
2018	03	27	07	50	35	2018_77WX_	B1	58.80333	17.62367	1.92		0.247		5.867		11.54		340.12											
2018	03	27	07	50	36	2018_77WX_	B1	58.80333	17.62367	2.15		0.252		5.867		11.54		324.02											
2018	03	27	07	50	36	2018_77WX_	B1	58.80333	17.62367	2.40		0.252		5.866		11.54		305.78											
2018	03	27	07	50	36	2018_77WX_	B1	58.80333	17.62367	2.65		0.257		5.866		11.54		250.27											
2018	03	27	07	50	37	2018_77WX_	B1	58.80333	17.62367	2.87		0.250		5.866		11.55		214.99											
2018	03	27	07	50	38	2018_77WX_	B1	58.80333	17.62367	3.10		0.266		5.874		11.54		207.27											
2018	03	27	07	51	05	2018_77WX_	B1	58.80333	17.62367	3.38		0.251		5.862		11.15		175.99											
2018	03	27	07	51	06	2018_77WX_	B1	58.80333	17.62367	3.65		0.246		5.860		11.12		179.18											
2018	03	27	07	51	06	2018_77WX_	B1	58.80333	17.62367	3.91		0.235		5.858		11.12		164.94											
2018	03	27	07	51	06	2018_77WX_	B1	58.80333	17.62367	4.19		0.232		5.860		11.12		143.64											
2018	03	27	07	51	06	2018_77WX_	B1	58.80333	17.62367	4.35		0.234		5.860		11.12		130.19											
2018	03	27	07	51	07	2018_77WX_	B1	58.80333	17.62367	4.64		0.235		5.877		11.13		113.68											
2018	03	27	07	51	07	2018_77WX_	B1	58.80333	17.62367	4.98		0.399		5.909		11.04		100.11											
2018	03	27	07	51	07	2018_77WX_	B1	58.80333	17.62367	5.14		0.479		5.901		11.01		93.18											
2018	03	27	07	51	08	2018_77WX_	B1	58.80333	17.62367	5.48		0.520		5.913		11.02		83.33											
2018	03	27	07	51	08	2018_77WX_	B1	58.80333	17.62367	5.66		0.526		5.914		11.03		78.94											
2018	03	27	07	51	08	2018_77WX_	B1	58.80333	17.62367	6.00		0.531		5.914		11.05		69.09											
2018	03	27	07	51	08	2018_77WX_	B1	58.80333	17.62367	6.18		0.533		5.915		11.06		63.76											
2018	03	27	07	51	09	2018_77WX_	B1	58.80333	17.62367	6.36		0.537		5.916		11.06		58.31											
2018	03	27	07	51	09	2018_77WX_	B1	58.80333	17.62367	6.75		0.543		5.917		11.06		50.45											
2018	03	27	07	51	09	2018_77WX_	B1	58.80333	17.62367	6.92		0.547		5.917		11.07		47.79											
2018	03	27	07	51	09	2018_77WX_	B1	58.80333	17.62367	7.27		0.550		5.917		11.06		42.86											
2018	03	27	07	51	10	2018_77WX_	B1	58.80333	17.62367	7.43		0.551		5.918		11.06		40.33											
2018	03	27	07	51	10	2018_77WX_	B1	58.80333	17.62367	7.61		0.552		5.919		11.06		38.20											
2018	03	27	07	51	10	2018_77WX_	B1	58.80333	17.62367	7.90		0.556		5.919		11.06		34.74											
2018	03	27	07	51	35	2018_77WX_	B1	58.80333	17.62367	8.13		0.560		5.919		10.83		29.55											
2018	03	27	07	51	35	2018_77WX_	B1	58.80333	17.62367	8.39		0.566		5.921		10.84		26.89											
2018	03	27	07	51	36	2018_77WX_	B1	58.80333	17.62367	8.70		0.569		5.923		10.85		25.42											
2018	03	27	07	51	36	2018_77WX_	B1	58.80333	17.62367	8.92		0.574		5.926		10.86		24.23											
2018	03	27	07	51	37	2018_77WX_	B1	58.80333	17.62367	9.16		0.583		5.928		10.85		23.03											
2018	03	27	07	51	37	2018_77WX_	B1	58.80333	17.62367	9.41		0.593		5.931		10.86		21.96											
2018	03	27	07	51	37	2018_77WX_	B1	58.80333	17.62367	9.67		0.599		5.932		10.87		21.03											
2018	03	27	07	51	38	2018_77WX_	B1	58.80333	17.62367	9.92		0.608		5.933		10.88		19.97											
2018	03	27	07	51	38	2018_77WX_	B1	58.80333	17.62367	10.18		0.617		5.935		10.89		18.90											
2018	03	27	07	51	38	2018_77WX_	B1	58.80333	17.62367	10.44		0.621		5.934		10.90		17.97											
2018	03	27	07	51	39	2018_77WX_	B1	58.80333	17.62367	10.71		0.621		5.936		10.92		17.17											
2018	03	27	07	51	39	2018_77WX_	B1	58.80333	17.62367	10.96		0.624		5.938		10.93		16.24											
2018	03	27	07	51	39	2018_77WX_	B1	58.80333	17.62367	11.10		0.627		5.937		10.94		15.97											
2018	03	27	07	51	40	2018_77WX_	B1	58.80333	17.62367	11.36		0.631		5.938		10.95		15.17											
2018	03	27	07	51	40	2018_77WX_	B1	58.80333	17.62367	11.63		0.634		5.938		10.96		14.64											
2018	03	27	07	51	40	2018_77WX_	B1	58.80333	17.62367	11.89		0.638		5.939		10.98		13.84											
2018	03	27	07	51	41	2018_77WX_	B1	58.80333	17.62367	12.16		0.637		5.938		10.99		13.18											
2018	03	27	07	51	41	2018_77WX_	B1	58.80333	17.62367	12.44		0.638		5.938		11.00		12.64											
2018	03	27	07	51	41	2018_77WX_	B1	58.80333	17.62367	12.65		0.643		5.940		11.01		12.24											
2018	03	27	07	52	05	2018_77WX_	B1	58.80333	17.62367	12.87		0.638		5.938		11.00		12.11											
2018	03	27	07	52	06	2018_77WX_	B1	58.80333	17.62367	13.16		0.646		5.939		10.99		11.58											
2018	03	27	07	52	06	2018_77WX_	B1	58.80333	17.62367	13.44		0.659		5.943		10.98		11.31											
2018	03	27	07	52	07	2018_77WX_	B1	58.80333	17.62367	13.60		0.665		5.943		10.98		10.91											
2018	03	27	07	52	07	2018_77WX_	B1	58.80333	17.62367	13.89		0.675		5.947		10.98		10.65											
2018	03	27	07	52	07	2018_77WX_	B1	58.80333	17.62367	14.10		0.680		5.949		10.97		10.25											
2018	03	27	07	52	08	2018_77WX_	B1	58.80333	17.62367	14.35		0.680		5.950		10.98		9.85											
2018	03	27	07	52	08	2018_77WX_	B1	58.80333	17.62367	14.66		0.675		5.958		10.98		9.58											
2018	03	27	07	52	09	2018_77WX_	B1	58.80333	17.62367	14.89		0.650		5.975		11.00		9.18											
2018	03	27	07	52	09	2018_77WX_	B1	58.80333	17.62367	15.13		0.545		6.075		11.04		8.92											
2018	03	27	07	52	09	2018_77WX_	B1	58.80333	17.62367	15.35		0.583		6.130		10.99		8.78											
2018	03	27	07	52	10	2018_77WX_	B1	58.80333	17.62367	15.60		0.632		6.157		10.94		8.65											
