//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-04-17
//METADATA;STIME;08:33
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0012
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;40.5
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180417.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180417_77LA_0012.txt
//METADATA;WINDIR;23
//METADATA;WINSP;4
//METADATA;AIRTEMP;6
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;4
//METADATA;WAVES;0
//METADATA;ICEOB;0
//METADATA;timestamp;2018-04-17 08:33:46
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 18 april 2018 08:06:28
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -5.07080768000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.03349843000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\B1180417.SRD
//INSTRUMENT_METADATA;Lines :        163
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	04	17	08	33	46	2018_77LA_	B1	58.80333	17.62367	-0.13		4.057		0.019		-23.60		1563.92											
2018	04	17	08	34	16	2018_77LA_	B1	58.80333	17.62367	0.09		2.611		6.267		9.32		1495.76											
2018	04	17	08	34	17	2018_77LA_	B1	58.80333	17.62367	0.32		2.545		6.275		9.79		1504.81											
2018	04	17	08	34	24	2018_77LA_	B1	58.80333	17.62367	0.64		2.538		6.276		10.88		394.31											
2018	04	17	08	34	24	2018_77LA_	B1	58.80333	17.62367	0.88		2.533		6.273		10.90		324.55											
2018	04	17	08	34	25	2018_77LA_	B1	58.80333	17.62367	1.11		2.522		6.270		10.93		344.25											
2018	04	17	08	34	25	2018_77LA_	B1	58.80333	17.62367	1.40		2.527		6.275		10.94		272.63											
2018	04	17	08	34	26	2018_77LA_	B1	58.80333	17.62367	1.58		2.525		6.267		10.97		259.59											
2018	04	17	08	34	26	2018_77LA_	B1	58.80333	17.62367	1.85		2.591		6.280		10.92		219.25											
2018	04	17	08	34	27	2018_77LA_	B1	58.80333	17.62367	2.14		2.681		6.287		10.89		202.88											
2018	04	17	08	34	27	2018_77LA_	B1	58.80333	17.62367	2.37		2.687		6.299		10.90		194.36											
2018	04	17	08	34	28	2018_77LA_	B1	58.80333	17.62367	2.57		2.681		6.298		10.94		181.18											
2018	04	17	08	34	29	2018_77LA_	B1	58.80333	17.62367	2.85		2.677		6.298		10.96		158.01											
2018	04	17	08	34	29	2018_77LA_	B1	58.80333	17.62367	3.08		2.684		6.298		10.97		152.16											
2018	04	17	08	34	31	2018_77LA_	B1	58.80333	17.62367	3.34		2.684		6.298		10.99		130.32											
2018	04	17	08	35	12	2018_77LA_	B1	58.80333	17.62367	3.61		2.694		6.301		10.99		117.01											
2018	04	17	08	35	12	2018_77LA_	B1	58.80333	17.62367	3.90		2.694		6.302		10.99		103.83											
2018	04	17	08	35	13	2018_77LA_	B1	58.80333	17.62367	4.11		2.695		6.302		10.99		95.85											
2018	04	17	08	35	13	2018_77LA_	B1	58.80333	17.62367	4.40		2.704		6.304		10.98		85.99											
2018	04	17	08	35	14	2018_77LA_	B1	58.80333	17.62367	4.59		2.726		6.308		10.97		80.67											
2018	04	17	08	35	14	2018_77LA_	B1	58.80333	17.62367	4.89		2.721		6.306		10.98		73.75											
2018	04	17	08	35	14	2018_77LA_	B1	58.80333	17.62367	5.09		2.711		6.303		10.99		69.09											
2018	04	17	08	35	15	2018_77LA_	B1	58.80333	17.62367	5.36		2.698		6.300		10.99		62.70											
2018	04	17	08	35	16	2018_77LA_	B1	58.80333	17.62367	5.62		2.681		6.298		10.99		58.70											
2018	04	17	08	35	16	2018_77LA_	B1	58.80333	17.62367	5.90		2.663		6.294		10.99		53.91											
2018	04	17	08	35	16	2018_77LA_	B1	58.80333	17.62367	6.13		2.645		6.293		11.00		50.58											
2018	04	17	08	35	17	2018_77LA_	B1	58.80333	17.62367	6.35		2.639		6.292		10.99		47.66											
2018	04	17	08	35	17	2018_77LA_	B1	58.80333	17.62367	6.59		2.628		6.289		10.99		44.86											
2018	04	17	08	35	18	2018_77LA_	B1	58.80333	17.62367	6.92		2.617		6.288		10.98		41.27											
2018	04	17	08	35	18	2018_77LA_	B1	58.80333	17.62367	7.11		2.617		6.288		10.98		39.00											
2018	04	17	08	35	18	2018_77LA_	B1	58.80333	17.62367	7.33		2.609		6.286		11.00		36.61											
2018	04	17	08	35	19	2018_77LA_	B1	58.80333	17.62367	7.64		2.589		6.285		11.02		33.94											
2018	04	17	08	35	19	2018_77LA_	B1	58.80333	17.62367	7.82		2.593		6.285		11.03		32.21											
2018	04	17	08	35	20	2018_77LA_	B1	58.80333	17.62367	8.12		2.589		6.283		11.04		30.08											
2018	04	17	08	35	20	2018_77LA_	B1	58.80333	17.62367	8.36		2.559		6.278		11.04		27.95											
2018	04	17	08	36	00	2018_77LA_	B1	58.80333	17.62367	8.65		2.476		6.259		10.93		25.82											
2018	04	17	08	36	00	2018_77LA_	B1	58.80333	17.62367	8.86		2.445		6.256		10.94		24.76											
2018	04	17	08	36	01	2018_77LA_	B1	58.80333	17.62367	9.08		2.398		6.244		10.96		23.56											
2018	04	17	08	36	01	2018_77LA_	B1	58.80333	17.62367	9.32		2.344		6.239		10.97		22.36											
2018	04	17	08	36	01	2018_77LA_	B1	58.80333	17.62367	9.66		2.300		6.232		10.97		20.76											
2018	04	17	08	36	02	2018_77LA_	B1	58.80333	17.62367	9.86		2.272		6.226		10.97		19.83											
2018	04	17	08	36	02	2018_77LA_	B1	58.80333	17.62367	10.14		2.237		6.222		10.95		18.63											
2018	04	17	08	36	03	2018_77LA_	B1	58.80333	17.62367	10.33		2.226		6.219		10.94		18.10											
2018	04	17	08	36	03	2018_77LA_	B1	58.80333	17.62367	10.61		2.204		6.218		10.93		17.04											
2018	04	17	08	36	04	2018_77LA_	B1	58.80333	17.62367	10.82		2.199		6.217		10.91		16.37											
2018	04	17	08	36	04	2018_77LA_	B1	58.80333	17.62367	11.16		2.196		6.216		10.88		15.31											
2018	04	17	08	36	04	2018_77LA_	B1	58.80333	17.62367	11.36		2.192		6.216		10.87		14.64											
2018	04	17	08	36	05	2018_77LA_	B1	58.80333	17.62367	11.62		2.189		6.215		10.85		13.84											
2018	04	17	08	36	05	2018_77LA_	B1	58.80333	17.62367	11.82		2.185		6.215		10.83		13.44											
2018	04	17	08	36	06	2018_77LA_	B1	58.80333	17.62367	12.11		2.180		6.214		10.82		12.78											
2018	04	17	08	36	06	2018_77LA_	B1	58.80333	17.62367	12.39		2.186		6.214		10.79		12.11											
2018	04	17	08	36	07	2018_77LA_	B1	58.80333	17.62367	12.64		2.170		6.212		10.79		11.45											
2018	04	17	08	36	08	2018_77LA_	B1	58.80333	17.62367	12.89		2.157		6.211		10.79		11.05											
2018	04	17	08	36	08	2018_77LA_	B1	58.80333	17.62367	13.08		2.155		6.210		10.77		10.78											
2018	04	17	08	36	09	2018_77LA_	B1	58.80333	17.62367	13.33		2.144		6.211		10.76		10.25											
2018	04	17	08	36	40	2018_77LA_	B1	58.80333	17.62367	13.67		2.143		6.208		10.62		9.85											
2018	04	17	08	36	40	2018_77LA_	B1	58.80333	17.62367	13.94		2.137		6.208		10.63		9.45											
2018	04	17	08	36	41	2018_77LA_	B1	58.80333	17.62367	14.16		2.134		6.206		10.63		9.32											
2018	04	17	08	36	41	2018_77LA_	B1	58.80333	17.62367	14.40		2.128		6.206		10.63		8.78											
2018	04	17	08	36	41	2018_77LA_	B1	58.80333	17.62367	14.62		2.125		6.206		10.63		8.65											
2018	04	17	08	36	42	2018_77LA_	B1	58.80333	17.62367	14.89		2.123		6.206		10.63		8.38											
2018	04	17	08	36	42	2018_77LA_	B1	58.80333	17.62367	15.11		2.123		6.206		10.63		7.99											
2018	04	17	08	36	42	2018_77LA_	B1	58.80333	17.62367	15.36		2.122		6.206		10.63		7.85											
