//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-05-21
//METADATA;STIME;08:22
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0028
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;42.6
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180521.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180521_77LA_0028.txt
//METADATA;WINDIR;23
//METADATA;WINSP;5
//METADATA;AIRTEMP;13
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;3
//METADATA;WAVES;0
//METADATA;ICEOB;0
//METADATA;timestamp;2018-05-21 08:22:18
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 24 maj 2018 08:51:34
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -5.33408576000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.12344243000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\B1180521.SRD
//INSTRUMENT_METADATA;Lines :        163
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	05	21	08	22	18	2018_77LA_	B1	58.80333	17.62367	0.01		12.209		-0.032		-19.14		2113.98											
2018	05	21	08	22	32	2018_77LA_	B1	58.80333	17.62367	0.10		11.722		7.604		6.96		2982.87											
2018	05	21	08	22	32	2018_77LA_	B1	58.80333	17.62367	0.37		11.697		7.749		7.21		2634.62											
2018	05	21	08	22	33	2018_77LA_	B1	58.80333	17.62367	0.69		11.706		7.754		7.42		1170.54											
2018	05	21	08	22	33	2018_77LA_	B1	58.80333	17.62367	0.88		11.718		7.755		7.52		684.11											
2018	05	21	08	23	36	2018_77LA_	B1	58.80333	17.62367	1.14		11.691		7.749		7.84		1019.85											
2018	05	21	08	23	37	2018_77LA_	B1	58.80333	17.62367	1.40		11.684		7.748		7.85		1004.00											
2018	05	21	08	23	37	2018_77LA_	B1	58.80333	17.62367	1.60		11.682		7.747		7.84		937.44											
2018	05	21	08	23	38	2018_77LA_	B1	58.80333	17.62367	1.97		11.682		7.743		7.85		741.22											
2018	05	21	08	23	38	2018_77LA_	B1	58.80333	17.62367	2.18		11.646		7.738		7.86		782.76											
2018	05	21	08	23	39	2018_77LA_	B1	58.80333	17.62367	2.40		11.614		7.735		7.86		672.26											
2018	05	21	08	23	39	2018_77LA_	B1	58.80333	17.62367	2.62		11.620		7.741		7.86		593.72											
2018	05	21	08	23	40	2018_77LA_	B1	58.80333	17.62367	2.91		11.611		7.737		7.86		469.92											
2018	05	21	08	23	40	2018_77LA_	B1	58.80333	17.62367	3.20		11.604		7.735		7.86		433.58											
2018	05	21	08	23	40	2018_77LA_	B1	58.80333	17.62367	3.46		11.570		7.730		7.87		399.10											
2018	05	21	08	23	41	2018_77LA_	B1	58.80333	17.62367	3.68		11.561		7.727		7.88		399.10											
2018	05	21	08	24	19	2018_77LA_	B1	58.80333	17.62367	3.90		11.554		7.725		7.89		349.58											
2018	05	21	08	24	20	2018_77LA_	B1	58.80333	17.62367	4.12		11.546		7.720		7.88		329.74											
2018	05	21	08	24	20	2018_77LA_	B1	58.80333	17.62367	4.45		11.530		7.716		7.89		284.75											
2018	05	21	08	24	21	2018_77LA_	B1	58.80333	17.62367	4.60		11.524		7.715		7.89		267.57											
2018	05	21	08	24	21	2018_77LA_	B1	58.80333	17.62367	4.94		11.507		7.706		7.89		247.47											
2018	05	21	08	24	21	2018_77LA_	B1	58.80333	17.62367	5.11		11.493		7.701		7.90		235.89											
2018	05	21	08	24	22	2018_77LA_	B1	58.80333	17.62367	5.39		11.476		7.686		7.90		212.46											
2018	05	21	08	24	22	2018_77LA_	B1	58.80333	17.62367	5.61		11.448		7.687		7.91		203.01											
2018	05	21	08	24	23	2018_77LA_	B1	58.80333	17.62367	5.86		11.412		7.673		7.93		180.91											
2018	05	21	08	24	24	2018_77LA_	B1	58.80333	17.62367	6.13		11.380		7.656		7.94		169.86											
2018	05	21	08	24	24	2018_77LA_	B1	58.80333	17.62367	6.48		11.308		7.629		7.95		154.42											
2018	05	21	08	24	24	2018_77LA_	B1	58.80333	17.62367	6.65		11.245		7.618		7.97		144.83											
2018	05	21	08	24	24	2018_77LA_	B1	58.80333	17.62367	6.85		11.209		7.610		7.98		136.31											
2018	05	21	08	24	25	2018_77LA_	B1	58.80333	17.62367	7.14		11.172		7.606		7.98		125.13											
2018	05	21	08	24	27	2018_77LA_	B1	58.80333	17.62367	7.41		11.178		7.608		8.01		112.89											
2018	05	21	08	24	27	2018_77LA_	B1	58.80333	17.62367	7.70		11.158		7.604		8.01		105.16											
2018	05	21	08	24	27	2018_77LA_	B1	58.80333	17.62367	7.89		11.144		7.602		8.02		100.77											
2018	05	21	08	24	27	2018_77LA_	B1	58.80333	17.62367	8.10		11.135		7.602		8.02		96.51											
2018	05	21	08	24	28	2018_77LA_	B1	58.80333	17.62367	8.50		11.124		7.609		8.03		88.12											
2018	05	21	08	24	28	2018_77LA_	B1	58.80333	17.62367	8.67		11.127		7.611		8.02		84.26											
2018	05	21	08	24	28	2018_77LA_	B1	58.80333	17.62367	8.90		11.122		7.611		8.02		79.07											
2018	05	21	08	24	57	2018_77LA_	B1	58.80333	17.62367	9.14		11.119		7.610		8.01		72.95											
2018	05	21	08	24	58	2018_77LA_	B1	58.80333	17.62367	9.37		11.113		7.608		8.01		68.56											
2018	05	21	08	24	58	2018_77LA_	B1	58.80333	17.62367	9.62		11.111		7.607		8.01		65.09											
2018	05	21	08	24	58	2018_77LA_	B1	58.80333	17.62367	9.86		11.091		7.602		8.02		60.83											
2018	05	21	08	24	59	2018_77LA_	B1	58.80333	17.62367	10.14		11.031		7.563		8.04		56.84											
2018	05	21	08	24	59	2018_77LA_	B1	58.80333	17.62367	10.39		10.870		7.546		8.08		52.98											
2018	05	21	08	24	59	2018_77LA_	B1	58.80333	17.62367	10.64		10.792		7.526		8.09		49.92											
2018	05	21	08	25	00	2018_77LA_	B1	58.80333	17.62367	10.86		10.720		7.529		8.09		46.46											
2018	05	21	08	25	01	2018_77LA_	B1	58.80333	17.62367	11.12		10.712		7.534		8.11		43.26											
2018	05	21	08	25	02	2018_77LA_	B1	58.80333	17.62367	11.46		10.643		7.506		8.14		40.07											
2018	05	21	08	25	02	2018_77LA_	B1	58.80333	17.62367	11.61		10.575		7.492		8.16		38.60											
2018	05	21	08	25	02	2018_77LA_	B1	58.80333	17.62367	11.91		10.442		7.462		8.19		36.07											
2018	05	21	08	25	03	2018_77LA_	B1	58.80333	17.62367	12.15		10.317		7.434		8.22		34.08											
2018	05	21	08	25	05	2018_77LA_	B1	58.80333	17.62367	12.37		10.345		7.437		8.22		31.81											
2018	05	21	08	25	05	2018_77LA_	B1	58.80333	17.62367	12.67		10.147		7.392		8.30		29.68											
2018	05	21	08	25	05	2018_77LA_	B1	58.80333	17.62367	12.89		10.060		7.379		8.32		28.35											
2018	05	21	08	25	06	2018_77LA_	B1	58.80333	17.62367	13.18		9.946		7.355		8.35		26.49											
2018	05	21	08	25	06	2018_77LA_	B1	58.80333	17.62367	13.35		9.840		7.340		8.39		25.16											
2018	05	21	08	25	09	2018_77LA_	B1	58.80333	17.62367	13.66		9.653		7.310		8.51		23.03											
2018	05	21	08	25	51	2018_77LA_	B1	58.80333	17.62367	13.88		9.676		7.303		8.48		19.83											
2018	05	21	08	25	52	2018_77LA_	B1	58.80333	17.62367	14.10		9.436		7.279		8.57		18.77											
2018	05	21	08	25	53	2018_77LA_	B1	58.80333	17.62367	14.36		9.300		7.270		8.59		17.70											
2018	05	21	08	25	53	2018_77LA_	B1	58.80333	17.62367	14.63		9.108		7.266		8.63		16.90											
2018	05	21	08	25	54	2018_77LA_	B1	58.80333	17.62367	14.95		9.065		7.265		8.61		15.84											
2018	05	21	08	25	54	2018_77LA_	B1	58.80333	17.62367	15.12		9.057		7.267		8.60		15.17											
2018	05	21	08	25	55	2018_77LA_	B1	58.80333	17.62367	15.37		8.966		7.265		8.64		14.37											
