//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-11-13
//METADATA;STIME;08:30
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0110
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;41
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1181113.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20181113_77LA_0110.txt
//METADATA;WINDIR;30
//METADATA;WINSP;5
//METADATA;AIRTEMP;7
//METADATA;AIRPRES;
//METADATA;WEATH;2
//METADATA;CLOUD;8
//METADATA;WAVES;5
//METADATA;ICEOB;0
//METADATA;timestamp;2018-11-13 08:30:52
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.15  25.10.2013
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM908\CONFIG\CTM908.SPJ
//INSTRUMENT_METADATA;den 14 november 2018 13:12:27
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2013
//INSTRUMENT_METADATA;001 CTM908 001  N  Vbatt  Volt -1.56613000000E+0001  5.02053000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 002  P  Press  dbar -2.84592700000E+0001  8.80824000000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -2.72902000000E-0001 
//INSTRUMENT_METADATA;001 CTM908 003  N   Temp    °C -2.35854073000E+0000  5.89737827000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 004  N   Cond mS/cm -3.17130950000E-0001  1.21221819000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 005 VO4 rawO2    mV -9.24121000000E+0000  7.82771000000E-0002  1.01900000000E+0003  0.00000000000E+0000  1.43555689000E+0002  1.07256238000E+0000 
//INSTRUMENT_METADATA;001 CTM908 006 N24  T_iS   °C  -8.73922000000E-0003  7.86519000000E-0005 -1.00147000000E+0001  4.95301000000E+0001  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 007 NFC   PAR   µE  -2.58676000000E-0003  7.84093000000E-0005  0.00000000000E+0000  0.00000000000E+0000  1.25961000000E-0001  1.62804000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD908\B1181113.SRD
//INSTRUMENT_METADATA;Lines :        165
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA      sat    DO_mg    DO_ml      PAR     T_iS      O_P    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [   % ]  [ mg/l]  [ ml/l]  [  µE ]  [  °C ]  [ hPa ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	11	13	08	30	52	2018_77LA_	B1	58.80333	17.62367	0.06		7.030		-0.063		8.09		67.40											
2018	11	13	08	30	52	2018_77LA_	B1	58.80333	17.62367	0.08		7.031		-0.063		8.09		66.38											
2018	11	13	08	32	43	2018_77LA_	B1	58.80333	17.62367	0.33		7.392		7.790		7.63		52.08											
2018	11	13	08	33	24	2018_77LA_	B1	58.80333	17.62367	0.58		7.393		7.848		7.50		19.40											
2018	11	13	08	33	25	2018_77LA_	B1	58.80333	17.62367	0.82		7.395		7.847		7.50		16.85											
2018	11	13	08	33	26	2018_77LA_	B1	58.80333	17.62367	1.08		7.394		7.848		7.50		15.83											
2018	11	13	08	33	27	2018_77LA_	B1	58.80333	17.62367	1.33		7.394		7.848		7.50		14.30											
2018	11	13	08	33	29	2018_77LA_	B1	58.80333	17.62367	1.61		7.394		7.850		7.50		12.76											
2018	11	13	08	33	29	2018_77LA_	B1	58.80333	17.62367	1.82		7.395		7.850		7.50		11.74											
2018	11	13	08	33	30	2018_77LA_	B1	58.80333	17.62367	2.07		7.395		7.850		7.50		11.23											
2018	11	13	08	33	32	2018_77LA_	B1	58.80333	17.62367	2.32		7.395		7.853		7.50		10.21											
2018	11	13	08	33	45	2018_77LA_	B1	58.80333	17.62367	2.59		7.395		7.854		7.50		9.70											
2018	11	13	08	33	46	2018_77LA_	B1	58.80333	17.62367	2.85		7.394		7.856		7.50		9.19											
2018	11	13	08	33	46	2018_77LA_	B1	58.80333	17.62367	3.07		7.393		7.858		7.49		8.68											
2018	11	13	08	33	47	2018_77LA_	B1	58.80333	17.62367	3.36		7.391		7.862		7.50		8.17											
2018	11	13	08	33	47	2018_77LA_	B1	58.80333	17.62367	3.58		7.367		7.876		7.50		7.66											
2018	11	13	08	33	48	2018_77LA_	B1	58.80333	17.62367	3.87		7.343		7.879		7.50		7.66											
2018	11	13	08	33	48	2018_77LA_	B1	58.80333	17.62367	4.18		7.335		7.882		7.49		7.15											
2018	11	13	08	33	51	2018_77LA_	B1	58.80333	17.62367	4.32		7.339		7.881		7.50		7.15											
2018	11	13	08	34	26	2018_77LA_	B1	58.80333	17.62367	4.62		7.330		7.881		7.49		6.64											
2018	11	13	08	34	27	2018_77LA_	B1	58.80333	17.62367	4.84		7.331		7.881		7.50		6.13											
2018	11	13	08	34	28	2018_77LA_	B1	58.80333	17.62367	5.09		7.332		7.882		7.49		6.13											
2018	11	13	08	34	29	2018_77LA_	B1	58.80333	17.62367	5.33		7.326		7.884		7.49		5.62											
2018	11	13	08	34	29	2018_77LA_	B1	58.80333	17.62367	5.57		7.327		7.884		7.49		5.62											
2018	11	13	08	34	30	2018_77LA_	B1	58.80333	17.62367	5.82		7.328		7.882		7.49		5.62											
2018	11	13	08	34	31	2018_77LA_	B1	58.80333	17.62367	6.09		7.331		7.882		7.48		5.11											
2018	11	13	08	34	32	2018_77LA_	B1	58.80333	17.62367	6.39		7.323		7.886		7.48		5.11											
2018	11	13	08	34	32	2018_77LA_	B1	58.80333	17.62367	6.57		7.321		7.886		7.48		5.11											
2018	11	13	08	34	33	2018_77LA_	B1	58.80333	17.62367	6.87		7.319		7.887		7.49		5.11											
2018	11	13	08	34	33	2018_77LA_	B1	58.80333	17.62367	7.08		7.311		7.887		7.49		4.60											
2018	11	13	08	34	35	2018_77LA_	B1	58.80333	17.62367	7.33		7.308		7.890		7.48		4.60											
2018	11	13	08	34	35	2018_77LA_	B1	58.80333	17.62367	7.64		7.297		7.891		7.49		4.60											
2018	11	13	08	34	36	2018_77LA_	B1	58.80333	17.62367	7.92		7.295		7.891		7.48		4.60											
2018	11	13	08	34	36	2018_77LA_	B1	58.80333	17.62367	8.14		7.294		7.892		7.48		4.08											
2018	11	13	08	34	37	2018_77LA_	B1	58.80333	17.62367	8.36		7.294		7.891		7.48		4.08											
2018	11	13	08	34	38	2018_77LA_	B1	58.80333	17.62367	8.61		7.294		7.891		7.49		4.08											
2018	11	13	08	34	38	2018_77LA_	B1	58.80333	17.62367	8.85		7.294		7.892		7.49		4.08											
2018	11	13	08	34	39	2018_77LA_	B1	58.80333	17.62367	9.13		7.294		7.892		7.49		3.57											
2018	11	13	08	35	16	2018_77LA_	B1	58.80333	17.62367	9.38		7.294		7.893		7.50		3.57											
2018	11	13	08	35	17	2018_77LA_	B1	58.80333	17.62367	9.65		7.296		7.896		7.49		3.57											
2018	11	13	08	35	17	2018_77LA_	B1	58.80333	17.62367	9.85		7.296		7.897		7.49		3.57											
2018	11	13	08	35	18	2018_77LA_	B1	58.80333	17.62367	10.15		7.296		7.897		7.49		3.57											
2018	11	13	08	35	18	2018_77LA_	B1	58.80333	17.62367	10.37		7.296		7.897		7.49		3.57											
2018	11	13	08	35	18	2018_77LA_	B1	58.80333	17.62367	10.64		7.296		7.898		7.50		3.06											
2018	11	13	08	35	19	2018_77LA_	B1	58.80333	17.62367	10.83		7.297		7.898		7.49		3.06											
2018	11	13	08	35	20	2018_77LA_	B1	58.80333	17.62367	11.09		7.295		7.898		7.49		3.06											
2018	11	13	08	35	20	2018_77LA_	B1	58.80333	17.62367	11.32		7.294		7.897		7.49		3.06											
2018	11	13	08	35	21	2018_77LA_	B1	58.80333	17.62367	11.60		7.293		7.898		7.49		3.06											
2018	11	13	08	35	21	2018_77LA_	B1	58.80333	17.62367	11.83		7.292		7.898		7.49		3.06											
2018	11	13	08	35	22	2018_77LA_	B1	58.80333	17.62367	12.10		7.291		7.898		7.49		3.06											
2018	11	13	08	35	23	2018_77LA_	B1	58.80333	17.62367	12.35		7.290		7.897		7.50		3.06											
2018	11	13	08	35	24	2018_77LA_	B1	58.80333	17.62367	12.64		7.290		7.897		7.49		3.06											
2018	11	13	08	35	24	2018_77LA_	B1	58.80333	17.62367	12.88		7.288		7.896		7.49		3.06											
2018	11	13	08	35	25	2018_77LA_	B1	58.80333	17.62367	13.09		7.287		7.897		7.50		3.06											
2018	11	13	08	35	25	2018_77LA_	B1	58.80333	17.62367	13.37		7.288		7.898		7.49		2.55											
2018	11	13	08	35	26	2018_77LA_	B1	58.80333	17.62367	13.64		7.288		7.897		7.49		2.55											
2018	11	13	08	35	27	2018_77LA_	B1	58.80333	17.62367	13.89		7.287		7.898		7.49		2.55											
2018	11	13	08	35	48	2018_77LA_	B1	58.80333	17.62367	14.10		7.288		7.897		7.49		2.55											
2018	11	13	08	36	20	2018_77LA_	B1	58.80333	17.62367	14.32		7.288		7.898		7.49		2.55											
2018	11	13	08	36	21	2018_77LA_	B1	58.80333	17.62367	14.61		7.287		7.897		7.49		2.55											
2018	11	13	08	36	21	2018_77LA_	B1	58.80333	17.62367	14.92		7.285		7.897		7.49		2.55											
2018	11	13	08	36	22	2018_77LA_	B1	58.80333	17.62367	15.11		7.286		7.897		7.49		2.55											
2018	11	13	08	36	22	2018_77LA_	B1	58.80333	17.62367	15.32		7.285		7.897		7.50		2.55											
