//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-11-14
//METADATA;STIME;08:30
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;7798
//METADATA;CRUISE_NO;
//METADATA;SERNO;0000
//METADATA;STATN;U19 NORRA RANDEN
//METADATA;LATIT;6006
//METADATA;LONGI;1854
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;
//METADATA;ADD_SMP;
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM908
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;NR181114.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20181114_7798_0000.txt
//METADATA;WINDIR;
//METADATA;WINSP;
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;
//METADATA;ICEOB;
//METADATA;timestamp;2018-11-14 08:30:34
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.15  25.10.2013
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM908\CONFIG\CTM908.SPJ
//INSTRUMENT_METADATA;den 14 november 2018 13:12:28
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2013
//INSTRUMENT_METADATA;001 CTM908 001  N  Vbatt  Volt -1.56613000000E+0001  5.02053000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 002  P  Press  dbar -2.84592700000E+0001  8.80824000000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -2.72902000000E-0001 
//INSTRUMENT_METADATA;001 CTM908 003  N   Temp    °C -2.35854073000E+0000  5.89737827000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 004  N   Cond mS/cm -3.17130950000E-0001  1.21221819000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 005 VO4 rawO2    mV -9.24121000000E+0000  7.82771000000E-0002  1.01900000000E+0003  0.00000000000E+0000  1.43555689000E+0002  1.07256238000E+0000 
//INSTRUMENT_METADATA;001 CTM908 006 N24  T_iS   °C  -8.73922000000E-0003  7.86519000000E-0005 -1.00147000000E+0001  4.95301000000E+0001  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 007 NFC   PAR   µE  -2.58676000000E-0003  7.84093000000E-0005  0.00000000000E+0000  0.00000000000E+0000  1.25961000000E-0001  1.62804000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD908\NR181114.SRD
//INSTRUMENT_METADATA;Lines :        507
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA      sat    DO_mg    DO_ml      PAR     T_iS      O_P    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [   % ]  [ mg/l]  [ ml/l]  [  µE ]  [  °C ]  [ hPa ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	11	14	08	30	34	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.26		7.147		-0.058		8.24		34.72											
2018	11	14	08	30	49	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.34		7.121		5.266		8.01		42.38											
2018	11	14	08	30	51	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.58		7.210		6.577		7.76		41.36											
2018	11	14	08	30	54	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.83		7.209		6.580		7.73		16.85											
2018	11	14	08	30	56	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.10		7.210		6.580		7.72		15.32											
2018	11	14	08	31	25	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.36		7.204		6.582		7.72		13.79											
2018	11	14	08	31	26	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.58		7.205		6.583		7.72		12.76											
2018	11	14	08	31	27	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.84		7.203		6.582		7.72		11.74											
2018	11	14	08	31	27	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.11		7.198		6.590		7.73		10.72											
2018	11	14	08	31	28	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.32		7.176		6.591		7.73		10.21											
2018	11	14	08	31	29	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.62		7.174		6.594		7.73		9.19											
2018	11	14	08	31	29	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.89		7.173		6.593		7.72		8.68											
2018	11	14	08	31	30	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.12		7.174		6.593		7.73		8.17											
2018	11	14	08	31	30	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.36		7.169		6.597		7.72		7.66											
2018	11	14	08	31	31	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.59		7.169		6.596		7.73		7.15											
2018	11	14	08	31	31	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.84		7.162		6.603		7.73		7.15											
2018	11	14	08	31	32	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.13		7.142		6.617		7.73		6.64											
2018	11	14	08	31	32	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.32		7.129		6.619		7.73		6.13											
2018	11	14	08	31	33	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.58		7.121		6.624		7.74		6.13											
2018	11	14	08	31	33	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.91		7.113		6.630		7.74		5.62											
2018	11	14	08	31	34	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.08		7.106		6.635		7.73		5.62											
2018	11	14	08	31	35	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.36		7.095		6.639		7.74		5.11											
2018	11	14	08	31	35	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.62		7.087		6.645		7.74		5.11											
2018	11	14	08	31	36	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.82		7.083		6.646		7.74		4.60											
2018	11	14	08	32	07	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.09		7.084		6.646		7.74		4.60											
2018	11	14	08	32	08	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.41		7.082		6.647		7.74		4.60											
2018	11	14	08	32	08	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.61		7.081		6.647		7.74		4.60											
2018	11	14	08	32	09	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.91		7.081		6.647		7.74		4.08											
2018	11	14	08	32	09	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.15		7.081		6.647		7.74		4.08											
2018	11	14	08	32	10	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.33		7.081		6.648		7.74		4.08											
2018	11	14	08	32	11	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.57		7.081		6.648		7.73		4.08											
2018	11	14	08	39	19	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.83		7.080		6.651		7.73		4.08											
2018	11	14	08	39	20	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.08		7.079		6.651		7.73		4.08											
2018	11	14	08	39	21	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.36		7.079		6.651		7.72		3.57											
2018	11	14	08	39	22	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.60		7.078		6.652		7.72		3.57											
2018	11	14	08	39	22	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.89		7.078		6.652		7.72		3.57											
2018	11	14	08	39	23	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.08		7.079		6.652		7.72		3.57											
2018	11	14	08	39	23	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.41		7.079		6.652		7.72		3.57											
2018	11	14	08	39	24	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.63		7.079		6.652		7.72		3.57											
2018	11	14	08	39	24	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.83		7.079		6.653		7.72		3.06											
2018	11	14	08	39	25	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.08		7.079		6.653		7.72		3.06											
2018	11	14	08	39	25	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.32		7.080		6.653		7.73		3.06											
2018	11	14	08	39	26	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.57		7.079		6.652		7.73		3.06											
2018	11	14	08	39	27	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.85		7.079		6.652		7.73		3.06											
2018	11	14	08	39	27	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.08		7.082		6.653		7.73		3.06											
2018	11	14	08	39	28	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.38		7.083		6.654		7.72		3.06											
2018	11	14	08	39	29	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.58		7.088		6.656		7.71		3.06											
2018	11	14	08	39	29	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.83		7.087		6.656		7.72		3.06											
2018	11	14	08	39	30	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.07		7.088		6.656		7.72		3.06											
2018	11	14	08	39	31	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.33		7.088		6.657		7.72		2.55											
2018	11	14	08	39	31	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.63		7.088		6.656		7.72		2.55											
2018	11	14	08	39	32	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.83		7.088		6.657		7.71		2.55											
2018	11	14	08	39	32	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.10		7.088		6.656		7.72		2.55											
2018	11	14	08	39	33	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	13.34		7.088		6.656		7.72		2.55											
