//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-04-04
//METADATA;STIME;08:58
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77WX
//METADATA;CRUISE_NO;
//METADATA;SERNO;0021
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;43
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180404.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180404_77WX_0021.txt
//METADATA;WINDIR;14
//METADATA;WINSP;6
//METADATA;AIRTEMP;1
//METADATA;AIRPRES;
//METADATA;WEATH;2
//METADATA;CLOUD;8
//METADATA;WAVES;3
//METADATA;ICEOB;0
//METADATA;timestamp;2018-04-04 08:58:25
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;C:\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 4 april 2018 14:52:58
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -6.12392000000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  8.90588705867E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;C:\Users\Stefan\Desktop\By31180403\B1180404.SRD
//INSTRUMENT_METADATA;Lines :        164
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus	DEPH
2018	04	04	08	58	25	2018_77WX_	B1	58.80333	17.62367	-0.02		1.535		-0.035		-25.06		128.06												-0.020
2018	04	04	08	58	27	2018_77WX_	B1	58.80333	17.62367	0.23		0.873		5.979		10.18		120.07												0.234
2018	04	04	08	58	28	2018_77WX_	B1	58.80333	17.62367	0.43		0.872		5.986		10.24		57.51												0.436
2018	04	04	08	58	44	2018_77WX_	B1	58.80333	17.62367	0.70		0.878		5.980		10.30		44.19												0.710
2018	04	04	08	58	44	2018_77WX_	B1	58.80333	17.62367	0.95		0.873		5.980		10.30		43.79												0.963
2018	04	04	08	58	45	2018_77WX_	B1	58.80333	17.62367	1.18		0.870		5.979		10.30		38.20												1.197
2018	04	04	08	58	46	2018_77WX_	B1	58.80333	17.62367	1.47		0.869		5.979		10.30		34.61												1.490
2018	04	04	08	58	46	2018_77WX_	B1	58.80333	17.62367	1.69		0.869		5.979		10.30		31.28												1.713
2018	04	04	08	58	47	2018_77WX_	B1	58.80333	17.62367	1.99		0.867		5.980		10.30		27.55												2.017
2018	04	04	08	58	48	2018_77WX_	B1	58.80333	17.62367	2.23		0.868		5.979		10.29		25.42												2.261
2018	04	04	08	58	48	2018_77WX_	B1	58.80333	17.62367	2.47		0.867		5.980		10.30		23.29												2.504
2018	04	04	08	58	49	2018_77WX_	B1	58.80333	17.62367	2.69		0.869		5.980		10.30		21.70												2.727
2018	04	04	08	59	14	2018_77WX_	B1	58.80333	17.62367	2.96		0.868		5.980		10.22		20.37												3.001
2018	04	04	08	59	15	2018_77WX_	B1	58.80333	17.62367	3.18		0.868		5.981		10.22		19.17												3.224
2018	04	04	08	59	15	2018_77WX_	B1	58.80333	17.62367	3.43		0.869		5.981		10.22		17.57												3.477
2018	04	04	08	59	16	2018_77WX_	B1	58.80333	17.62367	3.79		0.867		5.981		10.23		15.97												3.842
2018	04	04	08	59	16	2018_77WX_	B1	58.80333	17.62367	4.05		0.868		5.981		10.24		15.04												4.105
2018	04	04	08	59	16	2018_77WX_	B1	58.80333	17.62367	4.20		0.867		5.981		10.24		14.37												4.257
2018	04	04	08	59	17	2018_77WX_	B1	58.80333	17.62367	4.43		0.868		5.981		10.24		13.58												4.491
2018	04	04	08	59	17	2018_77WX_	B1	58.80333	17.62367	4.73		0.867		5.981		10.26		12.38												4.795
2018	04	04	08	59	18	2018_77WX_	B1	58.80333	17.62367	4.98		0.867		5.980		10.26		11.71												5.048
2018	04	04	08	59	19	2018_77WX_	B1	58.80333	17.62367	5.23		0.868		5.981		10.27		11.18												5.301
2018	04	04	08	59	19	2018_77WX_	B1	58.80333	17.62367	5.51		0.867		5.981		10.27		10.38												5.585
2018	04	04	08	59	20	2018_77WX_	B1	58.80333	17.62367	5.71		0.867		5.981		10.28		9.85												5.788
2018	04	04	08	59	20	2018_77WX_	B1	58.80333	17.62367	5.97		0.868		5.982		10.27		9.32												6.051
2018	04	04	08	59	21	2018_77WX_	B1	58.80333	17.62367	6.23		0.867		5.981		10.28		9.05												6.315
2018	04	04	08	59	21	2018_77WX_	B1	58.80333	17.62367	6.45		0.866		5.981		10.28		8.78												6.538
2018	04	04	08	59	22	2018_77WX_	B1	58.80333	17.62367	6.71		0.866		5.981		10.28		8.38												6.801
2018	04	04	08	59	22	2018_77WX_	B1	58.80333	17.62367	7.00		0.866		5.981		10.28		7.85												7.095
2018	04	04	08	59	23	2018_77WX_	B1	58.80333	17.62367	7.22		0.867		5.980		10.28		7.59												7.318
2018	04	04	08	59	23	2018_77WX_	B1	58.80333	17.62367	7.43		0.866		5.981		10.28		7.45												7.531
2018	04	04	08	59	24	2018_77WX_	B1	58.80333	17.62367	7.71		0.867		5.981		10.28		7.05												7.815
2018	04	04	08	59	49	2018_77WX_	B1	58.80333	17.62367	7.94		0.869		5.980		10.25		6.92												8.048
2018	04	04	08	59	49	2018_77WX_	B1	58.80333	17.62367	8.24		0.870		5.980		10.25		6.65												8.352
2018	04	04	08	59	50	2018_77WX_	B1	58.80333	17.62367	8.50		0.869		5.981		10.25		6.39												8.616
2018	04	04	08	59	50	2018_77WX_	B1	58.80333	17.62367	8.69		0.867		5.981		10.26		6.25												8.808
2018	04	04	08	59	51	2018_77WX_	B1	58.80333	17.62367	8.94		0.867		5.982		10.26		6.12												9.062
2018	04	04	08	59	51	2018_77WX_	B1	58.80333	17.62367	9.24		0.866		5.981		10.26		5.99												9.366
2018	04	04	08	59	52	2018_77WX_	B1	58.80333	17.62367	9.44		0.865		5.981		10.25		5.86												9.568
2018	04	04	08	59	52	2018_77WX_	B1	58.80333	17.62367	9.74		0.869		5.981		10.27		5.59												9.872
2018	04	04	08	59	53	2018_77WX_	B1	58.80333	17.62367	9.93		0.865		5.981		10.27		5.59												10.065
2018	04	04	08	59	53	2018_77WX_	B1	58.80333	17.62367	10.18		0.864		5.981		10.27		5.46												10.318
2018	04	04	08	59	54	2018_77WX_	B1	58.80333	17.62367	10.49		0.864		5.981		10.27		5.46												10.632
2018	04	04	08	59	54	2018_77WX_	B1	58.80333	17.62367	10.75		0.868		5.981		10.27		5.32												10.896
2018	04	04	08	59	55	2018_77WX_	B1	58.80333	17.62367	10.93		0.868		5.981		10.28		5.19												11.078
2018	04	04	08	59	55	2018_77WX_	B1	58.80333	17.62367	11.24		0.868		5.981		10.28		5.06												11.393
2018	04	04	08	59	56	2018_77WX_	B1	58.80333	17.62367	11.47		0.868		5.981		10.28		5.19												11.626
2018	04	04	08	59	56	2018_77WX_	B1	58.80333	17.62367	11.75		0.869		5.981		10.27		5.06												11.909
2018	04	04	08	59	57	2018_77WX_	B1	58.80333	17.62367	12.01		0.869		5.981		10.28		5.06												12.173
2018	04	04	08	59	57	2018_77WX_	B1	58.80333	17.62367	12.18		0.869		5.980		10.28		4.92												12.345
2018	04	04	08	59	58	2018_77WX_	B1	58.80333	17.62367	12.48		0.868		5.981		10.28		4.79												12.649
2018	04	04	08	59	58	2018_77WX_	B1	58.80333	17.62367	12.73		0.868		5.981		10.28		4.79												12.903
2018	04	04	09	00	00	2018_77WX_	B1	58.80333	17.62367	12.94		0.867		5.982		10.28		4.66												13.116
2018	04	04	09	00	27	2018_77WX_	B1	58.80333	17.62367	13.23		0.864		5.980		10.27		4.79												13.409
2018	04	04	09	00	27	2018_77WX_	B1	58.80333	17.62367	13.51		0.864		5.981		10.27		4.66												13.693
2018	04	04	09	00	28	2018_77WX_	B1	58.80333	17.62367	13.74		0.865		5.981		10.27		4.79												13.926
2018	04	04	09	00	28	2018_77WX_	B1	58.80333	17.62367	14.02		0.866		5.982		10.27		4.66												14.210
2018	04	04	09	00	28	2018_77WX_	B1	58.80333	17.62367	14.29		0.864		5.982		10.27		4.66												14.484
2018	04	04	09	00	29	2018_77WX_	B1	58.80333	17.62367	14.44		0.864		5.981		10.27		4.52												14.636
