//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-06-04
//METADATA;STIME;14:04
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77WX
//METADATA;CRUISE_NO;
//METADATA;SERNO;0040
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;460
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311806042.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180604_77WX_0040.txt
//METADATA;WINDIR;36
//METADATA;WINSP;10
//METADATA;AIRTEMP;16
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;1
//METADATA;WAVES;4
//METADATA;ICEOB;0
//METADATA;timestamp;2018-06-04 14:04:20
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 5 juni 2018 08:28:53
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -5.68512320000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  8.86882084000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311806042.SRD
//INSTRUMENT_METADATA;Lines :       1794
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus	DEPH
2018	06	04	14	04	20	2018_77WX_	BY31	58.58333	18.23333	0.10		11.559		-0.031		-18.90		3437.34												0.102
2018	06	04	14	04	20	2018_77WX_	BY31	58.58333	18.23333	0.23		14.403		8.950		7.47		3458.24												0.234
2018	06	04	14	04	21	2018_77WX_	BY31	58.58333	18.23333	0.40		14.798		9.270		6.69		3735.67												0.406
2018	06	04	14	04	21	2018_77WX_	BY31	58.58333	18.23333	0.70		14.894		9.336		6.50		2682.14												0.711
2018	06	04	14	04	21	2018_77WX_	BY31	58.58333	18.23333	0.98		14.899		9.338		6.63		1359.57												0.995
2018	06	04	14	04	22	2018_77WX_	BY31	58.58333	18.23333	1.21		14.884		9.337		6.76		900.17												1.228
2018	06	04	14	04	22	2018_77WX_	BY31	58.58333	18.23333	1.40		14.896		9.340		6.85		810.71												1.421
2018	06	04	14	04	23	2018_77WX_	BY31	58.58333	18.23333	1.69		14.901		9.343		6.94		924.80												1.715
2018	06	04	14	04	23	2018_77WX_	BY31	58.58333	18.23333	1.91		14.918		9.345		6.98		908.69												1.938
2018	06	04	14	04	24	2018_77WX_	BY31	58.58333	18.23333	2.24		14.909		9.345		7.03		1110.24												2.273
2018	06	04	14	04	24	2018_77WX_	BY31	58.58333	18.23333	2.45		14.914		9.348		7.06		1097.99												2.486
2018	06	04	14	04	24	2018_77WX_	BY31	58.58333	18.23333	2.66		14.934		9.351		7.08		981.24												2.699
2018	06	04	14	04	25	2018_77WX_	BY31	58.58333	18.23333	2.90		14.936		9.347		7.11		879.40												2.942
2018	06	04	14	04	32	2018_77WX_	BY31	58.58333	18.23333	3.16		14.934		9.353		7.15		601.58												3.206
2018	06	04	14	05	32	2018_77WX_	BY31	58.58333	18.23333	3.40		14.895		9.344		7.19		645.37												3.449
2018	06	04	14	05	52	2018_77WX_	BY31	58.58333	18.23333	3.69		14.930		9.353		7.18		783.29												3.743
2018	06	04	14	05	53	2018_77WX_	BY31	58.58333	18.23333	3.90		14.927		9.354		7.18		661.22												3.956
2018	06	04	14	05	54	2018_77WX_	BY31	58.58333	18.23333	4.16		14.926		9.353		7.18		549.13												4.220
2018	06	04	14	05	55	2018_77WX_	BY31	58.58333	18.23333	4.45		14.925		9.353		7.18		516.78												4.514
2018	06	04	14	05	55	2018_77WX_	BY31	58.58333	18.23333	4.64		14.924		9.353		7.18		511.45												4.707
2018	06	04	14	05	56	2018_77WX_	BY31	58.58333	18.23333	4.89		14.923		9.353		7.18		451.41												4.960
2018	06	04	14	05	57	2018_77WX_	BY31	58.58333	18.23333	5.14		14.935		9.355		7.18		425.19												5.214
2018	06	04	14	05	58	2018_77WX_	BY31	58.58333	18.23333	5.43		14.932		9.355		7.18		403.22												5.508
2018	06	04	14	05	58	2018_77WX_	BY31	58.58333	18.23333	5.63		14.912		9.340		7.19		325.61												5.711
2018	06	04	14	05	59	2018_77WX_	BY31	58.58333	18.23333	5.99		14.845		9.325		7.20		264.25												6.076
2018	06	04	14	05	59	2018_77WX_	BY31	58.58333	18.23333	6.23		14.757		9.300		7.22		251.47												6.319
2018	06	04	14	05	59	2018_77WX_	BY31	58.58333	18.23333	6.44		14.723		9.306		7.23		232.96												6.532
2018	06	04	14	06	00	2018_77WX_	BY31	58.58333	18.23333	6.65		14.716		9.302		7.24		219.38												6.745
2018	06	04	14	06	00	2018_77WX_	BY31	58.58333	18.23333	6.94		14.694		9.297		7.26		208.07												7.039
2018	06	04	14	06	01	2018_77WX_	BY31	58.58333	18.23333	7.21		14.694		9.299		7.26		204.34												7.313
2018	06	04	14	06	01	2018_77WX_	BY31	58.58333	18.23333	7.42		14.677		9.289		7.27		205.27												7.526
2018	06	04	14	06	02	2018_77WX_	BY31	58.58333	18.23333	7.70		14.489		9.249		7.31		198.62												7.810
2018	06	04	14	06	02	2018_77WX_	BY31	58.58333	18.23333	7.90		14.502		9.237		7.30		146.03												8.013
2018	06	04	14	06	03	2018_77WX_	BY31	58.58333	18.23333	8.16		14.357		9.207		7.36		133.52												8.277
2018	06	04	14	06	04	2018_77WX_	BY31	58.58333	18.23333	8.44		14.255		9.174		7.37		119.67												8.561
2018	06	04	14	06	04	2018_77WX_	BY31	58.58333	18.23333	8.64		14.105		9.138		7.42		110.49												8.763
2018	06	04	14	06	04	2018_77WX_	BY31	58.58333	18.23333	8.88		13.960		9.103		7.45		103.17												9.007
2018	06	04	14	06	05	2018_77WX_	BY31	58.58333	18.23333	9.14		13.816		9.063		7.49		101.17												9.270
2018	06	04	14	06	05	2018_77WX_	BY31	58.58333	18.23333	9.42		13.721		9.041		7.52		103.97												9.554
2018	06	04	14	06	06	2018_77WX_	BY31	58.58333	18.23333	9.67		13.504		8.996		7.58		107.03												9.808
2018	06	04	14	06	06	2018_77WX_	BY31	58.58333	18.23333	9.93		13.315		8.941		7.62		105.96												10.071
2018	06	04	14	06	06	2018_77WX_	BY31	58.58333	18.23333	10.16		13.170		8.915		7.66		103.43												10.305
2018	06	04	14	06	07	2018_77WX_	BY31	58.58333	18.23333	10.45		12.981		8.884		7.73		91.59												10.599
2018	06	04	14	06	09	2018_77WX_	BY31	58.58333	18.23333	10.65		12.773		8.825		7.80		67.22												10.801
2018	06	04	14	06	09	2018_77WX_	BY31	58.58333	18.23333	10.91		12.610		8.767		7.87		62.03												11.065
2018	06	04	14	06	10	2018_77WX_	BY31	58.58333	18.23333	11.20		12.452		8.732		7.90		58.70												11.359
2018	06	04	14	06	10	2018_77WX_	BY31	58.58333	18.23333	11.57		12.345		8.705		7.91		54.98												11.734
2018	06	04	14	06	10	2018_77WX_	BY31	58.58333	18.23333	11.78		12.268		8.697		7.93		52.98												11.947
2018	06	04	14	06	11	2018_77WX_	BY31	58.58333	18.23333	12.00		12.222		8.655		7.94		51.25												12.170
2018	06	04	14	06	11	2018_77WX_	BY31	58.58333	18.23333	12.20		12.048		8.616		7.99		49.65												12.373
2018	06	04	14	06	11	2018_77WX_	BY31	58.58333	18.23333	12.43		11.908		8.588		8.03		48.19												12.606
2018	06	04	14	06	11	2018_77WX_	BY31	58.58333	18.23333	12.77		11.644		8.475		8.08		45.66												12.951
2018	06	04	14	06	11	2018_77WX_	BY31	58.58333	18.23333	12.92		11.360		8.403		8.16		44.46												13.103
2018	06	04	14	06	12	2018_77WX_	BY31	58.58333	18.23333	13.15		11.172		8.279		8.17		42.60												13.336
2018	06	04	14	06	13	2018_77WX_	BY31	58.58333	18.23333	13.38		10.831		8.369		8.26		39.54												13.569
2018	06	04	14	06	14	2018_77WX_	BY31	58.58333	18.23333	13.65		9.652		7.996		8.55		34.08												13.843
2018	06	04	14	06	15	2018_77WX_	BY31	58.58333	18.23333	13.95		9.312		7.892		8.60		30.88												14.147
2018	06	04	14	06	15	2018_77WX_	BY31	58.58333	18.23333	14.25		8.738		7.737		8.75		28.49												14.451
