//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-07-02
//METADATA;STIME;12:40
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0126
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;457
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD,SED
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311807022.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180702_77FY_0126.txt
//METADATA;WINDIR;36
//METADATA;WINSP;7
//METADATA;AIRTEMP;13
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;1
//METADATA;WAVES;3
//METADATA;ICEOB;0
//METADATA;timestamp;2018-07-02 12:40:18
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 5 juli 2018 08:15:46
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -5.42184512000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  8.76704988000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311807022.SRD
//INSTRUMENT_METADATA;Lines :       1772
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus	DEPH
2018	07	02	12	40	18	2018_77FY_	BY31	58.58333	18.23333	0.17		13.210		0.019		-17.94		2472.08												0.173
2018	07	02	12	40	39	2018_77FY_	BY31	58.58333	18.23333	0.47		14.918		9.297		5.90		2254.82												0.478
2018	07	02	12	40	39	2018_77FY_	BY31	58.58333	18.23333	0.67		14.925		9.302		5.96		1613.44												0.681
2018	07	02	12	40	40	2018_77FY_	BY31	58.58333	18.23333	0.89		14.925		9.302		6.00		761.46												0.904
2018	07	02	12	40	41	2018_77FY_	BY31	58.58333	18.23333	1.15		14.927		9.304		6.04		915.21												1.168
2018	07	02	12	40	42	2018_77FY_	BY31	58.58333	18.23333	1.37		14.927		9.306		6.05		782.36												1.391
2018	07	02	12	40	43	2018_77FY_	BY31	58.58333	18.23333	1.64		14.928		9.303		6.05		697.56												1.665
2018	07	02	12	40	44	2018_77FY_	BY31	58.58333	18.23333	1.90		14.928		9.306		6.06		779.69												1.929
2018	07	02	12	40	49	2018_77FY_	BY31	58.58333	18.23333	2.11		14.925		9.306		6.10		596.38												2.142
2018	07	02	12	41	37	2018_77FY_	BY31	58.58333	18.23333	2.38		14.974		9.311		6.14		707.68												2.415
2018	07	02	12	41	37	2018_77FY_	BY31	58.58333	18.23333	2.63		14.972		9.312		6.15		687.97												2.669
2018	07	02	12	41	37	2018_77FY_	BY31	58.58333	18.23333	2.95		14.976		9.313		6.15		554.19												2.994
2018	07	02	12	41	38	2018_77FY_	BY31	58.58333	18.23333	3.12		14.978		9.312		6.15		512.25												3.166
2018	07	02	12	41	38	2018_77FY_	BY31	58.58333	18.23333	3.36		14.980		9.313		6.15		481.90												3.409
2018	07	02	12	41	39	2018_77FY_	BY31	58.58333	18.23333	3.66		14.984		9.312		6.15		415.87												3.714
2018	07	02	12	41	40	2018_77FY_	BY31	58.58333	18.23333	3.91		14.984		9.312		6.15		421.86												3.967
2018	07	02	12	41	40	2018_77FY_	BY31	58.58333	18.23333	4.15		14.985		9.313		6.15		383.39												4.211
2018	07	02	12	41	41	2018_77FY_	BY31	58.58333	18.23333	4.44		14.985		9.313		6.15		316.70												4.505
2018	07	02	12	41	41	2018_77FY_	BY31	58.58333	18.23333	4.62		14.982		9.312		6.15		297.39												4.687
2018	07	02	12	41	42	2018_77FY_	BY31	58.58333	18.23333	4.95		14.976		9.311		6.15		278.09												5.022
2018	07	02	12	41	42	2018_77FY_	BY31	58.58333	18.23333	5.17		14.972		9.311		6.16		261.58												5.245
2018	07	02	12	41	42	2018_77FY_	BY31	58.58333	18.23333	5.36		14.969		9.311		6.16		240.02												5.438
2018	07	02	12	41	43	2018_77FY_	BY31	58.58333	18.23333	5.63		14.973		9.312		6.15		218.72												5.712
2018	07	02	12	41	43	2018_77FY_	BY31	58.58333	18.23333	5.91		14.974		9.312		6.16		205.41												5.996
2018	07	02	12	41	44	2018_77FY_	BY31	58.58333	18.23333	6.13		14.979		9.312		6.15		183.84												6.219
2018	07	02	12	41	44	2018_77FY_	BY31	58.58333	18.23333	6.38		14.957		9.312		6.16		152.16												6.472
2018	07	02	12	41	45	2018_77FY_	BY31	58.58333	18.23333	6.63		14.980		9.312		6.15		142.97												6.726
2018	07	02	12	41	46	2018_77FY_	BY31	58.58333	18.23333	6.88		14.922		9.309		6.17		135.52												6.980
2018	07	02	12	41	46	2018_77FY_	BY31	58.58333	18.23333	7.18		14.940		9.309		6.15		121.01												7.284
2018	07	02	12	41	46	2018_77FY_	BY31	58.58333	18.23333	7.40		14.928		9.309		6.15		113.55												7.507
2018	07	02	12	41	47	2018_77FY_	BY31	58.58333	18.23333	7.61		14.921		9.309		6.16		105.56												7.720
2018	07	02	12	41	47	2018_77FY_	BY31	58.58333	18.23333	7.92		14.911		9.311		6.15		95.71												8.034
2018	07	02	12	41	48	2018_77FY_	BY31	58.58333	18.23333	8.12		14.911		9.311		6.15		89.19												8.237
2018	07	02	12	41	48	2018_77FY_	BY31	58.58333	18.23333	8.40		14.910		9.311		6.15		79.60												8.521
2018	07	02	12	41	49	2018_77FY_	BY31	58.58333	18.23333	8.65		14.908		9.312		6.14		71.62												8.775
2018	07	02	12	41	49	2018_77FY_	BY31	58.58333	18.23333	8.92		14.904		9.312		6.14		65.89												9.049
2018	07	02	12	41	50	2018_77FY_	BY31	58.58333	18.23333	9.15		14.900		9.313		6.14		60.17												9.282
2018	07	02	12	41	50	2018_77FY_	BY31	58.58333	18.23333	9.42		14.900		9.313		6.13		53.51												9.556
2018	07	02	12	41	51	2018_77FY_	BY31	58.58333	18.23333	9.62		14.900		9.316		6.13		49.52												9.758
2018	07	02	12	41	51	2018_77FY_	BY31	58.58333	18.23333	9.96		14.898		9.317		6.12		45.53												10.103
2018	07	02	12	41	52	2018_77FY_	BY31	58.58333	18.23333	10.18		14.895		9.318		6.12		43.53												10.326
2018	07	02	12	41	52	2018_77FY_	BY31	58.58333	18.23333	10.40		14.895		9.320		6.12		41.27												10.550
2018	07	02	12	41	53	2018_77FY_	BY31	58.58333	18.23333	10.68		14.893		9.322		6.12		37.80												10.833
2018	07	02	12	41	53	2018_77FY_	BY31	58.58333	18.23333	10.94		14.893		9.324		6.11		35.67												11.097
2018	07	02	12	41	53	2018_77FY_	BY31	58.58333	18.23333	11.11		14.893		9.325		6.11		34.08												11.270
2018	07	02	12	41	54	2018_77FY_	BY31	58.58333	18.23333	11.44		14.893		9.327		6.10		29.95												11.604
2018	07	02	12	41	55	2018_77FY_	BY31	58.58333	18.23333	11.63		14.895		9.330		6.10		27.82												11.797
2018	07	02	12	41	55	2018_77FY_	BY31	58.58333	18.23333	11.86		14.896		9.332		6.09		25.82												12.030
2018	07	02	12	41	55	2018_77FY_	BY31	58.58333	18.23333	12.11		14.897		9.332		6.09		23.83												12.284
2018	07	02	12	41	56	2018_77FY_	BY31	58.58333	18.23333	12.37		14.898		9.335		6.09		22.50												12.547
2018	07	02	12	41	56	2018_77FY_	BY31	58.58333	18.23333	12.62		14.899		9.335		6.09		21.30												12.801
2018	07	02	12	41	57	2018_77FY_	BY31	58.58333	18.23333	12.96		14.901		9.338		6.08		19.97												13.146
2018	07	02	12	41	57	2018_77FY_	BY31	58.58333	18.23333	13.17		14.902		9.340		6.08		19.43												13.359
2018	07	02	12	41	57	2018_77FY_	BY31	58.58333	18.23333	13.37		14.903		9.340		6.08		18.90												13.562
2018	07	02	12	41	58	2018_77FY_	BY31	58.58333	18.23333	13.64		14.904		9.343		6.07		17.57												13.835
2018	07	02	12	41	58	2018_77FY_	BY31	58.58333	18.23333	13.88		14.905		9.345		6.07		16.24												14.079
2018	07	02	12	41	59	2018_77FY_	BY31	58.58333	18.23333	14.18		14.905		9.347		6.07		14.91												14.383
2018	07	02	12	41	59	2018_77FY_	BY31	58.58333	18.23333	14.38		14.906		9.348		6.07		13.98												14.586
2018	07	02	12	42	00	2018_77FY_	BY31	58.58333	18.23333	14.61		14.906		9.351		6.07		13.18												14.819
