//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-08-23
//METADATA;STIME;09:38
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;7798
//METADATA;CRUISE_NO;
//METADATA;SERNO;0000
//METADATA;STATN;U19 NORRA RANDEN
//METADATA;LATIT;6006
//METADATA;LONGI;1854
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;
//METADATA;ADD_SMP;
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM908
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;NR180823.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180823_7798_0000.txt
//METADATA;WINDIR;
//METADATA;WINSP;
//METADATA;AIRTEMP;
//METADATA;AIRPRES;
//METADATA;WEATH;
//METADATA;CLOUD;
//METADATA;WAVES;
//METADATA;ICEOB;
//METADATA;timestamp;2018-08-23 09:38:11
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 24 augusti 2018 09:20:25
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -7.35255104000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.65184491000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\NR180823\NR180823.SRD
//INSTRUMENT_METADATA;Lines :        509
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus	DEPH
2018	08	23	09	38	11	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.28		18.317		-0.029		-17.56		919.87												0.286
2018	08	23	09	38	13	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.30		18.263		-0.029		6.57		919.07												0.306
2018	08	23	09	38	45	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.57		13.782		7.441		6.78		481.37												0.581
2018	08	23	09	38	47	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	0.81		13.775		7.439		6.70		223.64												0.824
2018	08	23	09	38	55	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.09		13.769		7.422		6.54		137.65												1.109
2018	08	23	09	39	01	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.30		13.772		7.424		6.48		117.54												1.322
2018	08	23	09	40	32	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.57		13.770		7.422		6.29		98.24												1.596
2018	08	23	09	40	32	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	1.84		13.766		7.419		6.29		90.12												1.870
2018	08	23	09	40	33	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.12		13.745		7.416		6.30		82.53												2.154
2018	08	23	09	40	33	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.33		13.732		7.414		6.30		78.67												2.367
2018	08	23	09	40	34	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.56		13.713		7.413		6.30		72.28												2.601
2018	08	23	09	40	35	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	2.84		13.698		7.412		6.30		70.42												2.885
2018	08	23	09	40	35	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.11		13.661		7.408		6.31		66.83												3.159
2018	08	23	09	40	36	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.36		13.668		7.409		6.30		64.70												3.413
2018	08	23	09	40	36	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.58		13.653		7.409		6.30		63.50												3.636
2018	08	23	09	40	37	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	3.83		13.638		7.408		6.30		57.11												3.890
2018	08	23	09	40	38	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.05		13.626		7.406		6.30		57.51												4.113
2018	08	23	09	40	38	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.34		13.631		7.406		6.29		62.17												4.407
2018	08	23	09	40	39	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.57		13.628		7.408		6.30		62.70												4.641
2018	08	23	09	40	40	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	4.85		13.640		7.406		6.29		57.37												4.925
2018	08	23	09	40	41	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.13		13.598		7.401		6.30		55.64												5.209
2018	08	23	09	40	42	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.33		13.576		7.401		6.30		55.91												5.412
2018	08	23	09	40	44	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.65		13.576		7.401		6.29		55.11												5.737
2018	08	23	09	40	44	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	5.85		13.559		7.399		6.29		56.57												5.940
2018	08	23	09	41	26	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.08		13.625		7.404		6.27		69.49												6.173
2018	08	23	09	41	26	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.36		13.541		7.396		6.28		68.02												6.458
2018	08	23	09	41	27	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.56		13.506		7.394		6.27		68.82												6.661
2018	08	23	09	41	28	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	6.88		13.472		7.393		6.27		63.23												6.985
2018	08	23	09	41	28	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.06		13.491		7.394		6.27		60.17												7.168
2018	08	23	09	41	30	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.30		13.504		7.394		6.26		59.77												7.412
2018	08	23	09	41	31	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.56		13.513		7.395		6.26		56.18												7.676
2018	08	23	09	50	39	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	7.88		13.037		7.355		6.24		58.57												8.000
2018	08	23	09	50	39	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.10		12.939		7.354		6.26		56.04												8.224
2018	08	23	09	50	39	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.32		12.936		7.347		6.24		53.11												8.447
2018	08	23	09	50	40	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.55		12.902		7.345		6.22		47.52												8.680
2018	08	23	09	50	42	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	8.85		12.879		7.344		6.20		47.26												8.985
2018	08	23	09	50	42	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.05		12.632		7.321		6.23		44.86												9.188
2018	08	23	09	50	44	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.33		12.558		7.322		6.22		43.53												9.472
2018	08	23	09	50	45	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.61		12.341		7.246		6.24		41.40												9.756
2018	08	23	09	50	46	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	9.84		11.291		7.139		6.43		39.93												9.989
2018	08	23	09	50	46	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.09		10.548		7.075		6.49		37.41												10.243
2018	08	23	09	50	47	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.32		10.302		7.067		6.44		34.08												10.476
2018	08	23	09	50	49	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.58		10.022		7.029		6.43		31.15												10.740
2018	08	23	09	50	49	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	10.83		9.929		7.024		6.43		29.42												10.994
2018	08	23	09	50	51	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.15		9.692		6.963		6.54		28.49												11.318
2018	08	23	09	50	52	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.31		9.624		6.965		6.54		27.55												11.481
2018	08	23	09	50	52	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.64		9.497		6.942		6.56		25.82												11.815
2018	08	23	09	50	52	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	11.83		9.477		6.945		6.56		24.36												12.008
2018	08	23	09	50	53	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.06		9.497		7.028		6.59		22.36												12.241
2018	08	23	09	50	55	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.33		9.646		7.051		6.60		21.70												12.515
2018	08	23	09	50	55	2018_7798_	U19 NORRA RANDEN	60.10000	18.90000	12.55		9.730		7.108		6.59		20.76												12.738
