//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-05-08
//METADATA;STIME;11:07
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0029
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;455
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311805082.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180508_77FY_0029.txt
//METADATA;WINDIR;09
//METADATA;WINSP;5
//METADATA;AIRTEMP;13
//METADATA;AIRPRES;
//METADATA;WEATH;0
//METADATA;CLOUD;0
//METADATA;WAVES;0
//METADATA;ICEOB;0
//METADATA;timestamp;2018-05-08 11:07:23
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 9 maj 2018 09:26:49
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -6.47495744000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.09509637000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;C:\Users\stsv8363\Desktop\tryckkalibrering180423\469\By311805082.SRD
//INSTRUMENT_METADATA;Lines :       1778
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus	DEPH
2018	05	08	11	07	23	2018_77FY_	BY31	58.58333	18.23333	0.28		8.873		-0.034		-20.78		3005.63												0.285
2018	05	08	11	08	10	2018_77FY_	BY31	58.58333	18.23333	0.49		7.023		6.922		8.59		679.59												0.499
2018	05	08	11	08	12	2018_77FY_	BY31	58.58333	18.23333	0.71		7.069		6.948		9.26		755.47												0.722
2018	05	08	11	08	15	2018_77FY_	BY31	58.58333	18.23333	1.04		7.005		6.871		9.80		1033.69												1.056
2018	05	08	11	08	16	2018_77FY_	BY31	58.58333	18.23333	1.26		6.941		6.862		9.89		1181.99												1.279
2018	05	08	11	08	17	2018_77FY_	BY31	58.58333	18.23333	1.52		6.954		6.862		9.94		779.16												1.543
2018	05	08	11	08	17	2018_77FY_	BY31	58.58333	18.23333	1.71		6.958		6.864		9.98		1259.87												1.736
2018	05	08	11	08	17	2018_77FY_	BY31	58.58333	18.23333	2.02		7.005		6.860		10.02		633.53												2.050
2018	05	08	11	08	18	2018_77FY_	BY31	58.58333	18.23333	2.26		6.953		6.861		10.10		282.08												2.293
2018	05	08	11	08	19	2018_77FY_	BY31	58.58333	18.23333	2.47		6.952		6.865		10.14		196.62												2.506
2018	05	08	11	08	20	2018_77FY_	BY31	58.58333	18.23333	2.71		6.985		6.872		10.20		137.11												2.749
2018	05	08	11	09	10	2018_77FY_	BY31	58.58333	18.23333	2.98		7.053		6.860		10.03		98.24												3.023
2018	05	08	11	09	11	2018_77FY_	BY31	58.58333	18.23333	3.25		6.899		6.828		10.11		83.47												3.297
2018	05	08	11	09	12	2018_77FY_	BY31	58.58333	18.23333	3.51		6.879		6.827		10.08		73.21												3.560
2018	05	08	11	09	12	2018_77FY_	BY31	58.58333	18.23333	3.76		6.848		6.827		10.12		65.49												3.814
2018	05	08	11	09	13	2018_77FY_	BY31	58.58333	18.23333	4.03		6.761		6.802		10.18		57.91												4.088
2018	05	08	11	09	14	2018_77FY_	BY31	58.58333	18.23333	4.21		6.722		6.799		10.21		53.51												4.270
2018	05	08	11	09	14	2018_77FY_	BY31	58.58333	18.23333	4.48		6.704		6.797		10.24		48.45												4.544
2018	05	08	11	09	15	2018_77FY_	BY31	58.58333	18.23333	4.75		6.698		6.796		10.26		42.33												4.818
2018	05	08	11	09	16	2018_77FY_	BY31	58.58333	18.23333	4.99		6.668		6.791		10.30		37.94												5.061
2018	05	08	11	09	16	2018_77FY_	BY31	58.58333	18.23333	5.24		6.662		6.792		10.29		35.14												5.314
2018	05	08	11	09	17	2018_77FY_	BY31	58.58333	18.23333	5.47		6.661		6.793		10.25		31.55												5.548
2018	05	08	11	09	18	2018_77FY_	BY31	58.58333	18.23333	5.77		6.647		6.801		10.22		28.35												5.852
2018	05	08	11	09	19	2018_77FY_	BY31	58.58333	18.23333	6.00		6.569		6.818		10.23		27.29												6.085
2018	05	08	11	09	20	2018_77FY_	BY31	58.58333	18.23333	6.24		6.484		6.827		10.23		25.56												6.328
2018	05	08	11	09	20	2018_77FY_	BY31	58.58333	18.23333	6.52		6.213		6.823		10.34		24.36												6.612
2018	05	08	11	09	21	2018_77FY_	BY31	58.58333	18.23333	6.77		5.755		6.827		10.47		23.03												6.865
2018	05	08	11	09	22	2018_77FY_	BY31	58.58333	18.23333	6.98		5.531		6.830		10.49		21.96												7.078
2018	05	08	11	09	22	2018_77FY_	BY31	58.58333	18.23333	7.21		5.430		6.831		10.50		20.63												7.311
2018	05	08	11	09	23	2018_77FY_	BY31	58.58333	18.23333	7.50		5.252		6.839		10.63		19.43												7.605
2018	05	08	11	09	24	2018_77FY_	BY31	58.58333	18.23333	7.73		5.200		6.850		10.59		18.63												7.839
2018	05	08	11	09	25	2018_77FY_	BY31	58.58333	18.23333	7.98		5.185		6.857		10.52		17.70												8.092
2018	05	08	11	09	25	2018_77FY_	BY31	58.58333	18.23333	8.21		5.164		6.859		10.46		16.77												8.325
2018	05	08	11	09	26	2018_77FY_	BY31	58.58333	18.23333	8.50		5.130		6.866		10.41		16.11												8.619
2018	05	08	11	09	27	2018_77FY_	BY31	58.58333	18.23333	8.72		5.118		6.883		10.38		15.57												8.842
2018	05	08	11	09	28	2018_77FY_	BY31	58.58333	18.23333	9.00		5.098		6.903		10.35		14.77												9.126
2018	05	08	11	09	29	2018_77FY_	BY31	58.58333	18.23333	9.24		5.164		6.935		10.29		14.37												9.369
2018	05	08	11	09	29	2018_77FY_	BY31	58.58333	18.23333	9.48		5.150		6.957		10.27		13.98												9.612
2018	05	08	11	09	30	2018_77FY_	BY31	58.58333	18.23333	9.74		5.120		6.988		10.21		13.44												9.876
2018	05	08	11	09	31	2018_77FY_	BY31	58.58333	18.23333	9.99		4.995		6.984		10.18		13.18												10.129
2018	05	08	11	09	32	2018_77FY_	BY31	58.58333	18.23333	10.22		4.829		6.992		10.16		12.78												10.362
2018	05	08	11	09	32	2018_77FY_	BY31	58.58333	18.23333	10.46		4.755		7.036		10.09		12.38												10.605
2018	05	08	11	09	33	2018_77FY_	BY31	58.58333	18.23333	10.72		4.733		7.096		10.04		12.24												10.869
2018	05	08	11	09	34	2018_77FY_	BY31	58.58333	18.23333	11.02		4.555		7.108		10.04		11.98												11.172
2018	05	08	11	09	35	2018_77FY_	BY31	58.58333	18.23333	11.24		4.473		7.117		10.00		11.71												11.395
2018	05	08	11	09	36	2018_77FY_	BY31	58.58333	18.23333	11.51		4.119		7.145		10.11		11.45												11.669
2018	05	08	11	09	36	2018_77FY_	BY31	58.58333	18.23333	11.72		4.027		7.155		10.04		11.31												11.882
2018	05	08	11	09	37	2018_77FY_	BY31	58.58333	18.23333	11.99		3.805		7.116		10.06		11.05												12.155
2018	05	08	11	09	38	2018_77FY_	BY31	58.58333	18.23333	12.22		3.540		7.063		10.05		10.91												12.388
2018	05	08	11	09	39	2018_77FY_	BY31	58.58333	18.23333	12.54		3.299		7.016		10.01		10.65												12.712
2018	05	08	11	09	39	2018_77FY_	BY31	58.58333	18.23333	12.77		3.143		6.992		9.96		10.38												12.945
2018	05	08	11	09	40	2018_77FY_	BY31	58.58333	18.23333	12.97		3.127		7.006		9.89		10.25												13.148
2018	05	08	11	09	41	2018_77FY_	BY31	58.58333	18.23333	13.26		3.490		7.098		9.66		9.98												13.442
2018	05	08	11	09	41	2018_77FY_	BY31	58.58333	18.23333	13.52		3.730		7.184		9.53		9.85												13.705
2018	05	08	11	09	42	2018_77FY_	BY31	58.58333	18.23333	13.75		4.173		7.271		9.34		9.72												13.938
2018	05	08	11	09	43	2018_77FY_	BY31	58.58333	18.23333	13.99		4.246		7.279		9.40		9.72												14.181
2018	05	08	11	09	43	2018_77FY_	BY31	58.58333	18.23333	14.23		4.249		7.281		9.49		9.58												14.424
2018	05	08	11	09	44	2018_77FY_	BY31	58.58333	18.23333	14.49		4.247		7.282		9.57		9.45												14.688
2018	05	08	11	09	45	2018_77FY_	BY31	58.58333	18.23333	14.72		4.311		7.304		9.62		9.32												14.921
