//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-06-19
//METADATA;STIME;08:18
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77LA
//METADATA;CRUISE_NO;
//METADATA;SERNO;0051
//METADATA;STATN;B1
//METADATA;LATIT;5848.2
//METADATA;LONGI;1737.42
//METADATA;POSYS;NOM
//METADATA;WADEP;41
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;B1180619.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180619_77LA_0051.txt
//METADATA;WINDIR;25
//METADATA;WINSP;13
//METADATA;AIRTEMP;15
//METADATA;AIRPRES;
//METADATA;WEATH;2
//METADATA;CLOUD;7
//METADATA;WAVES;3
//METADATA;ICEOB;0
//METADATA;timestamp;2018-06-19 08:18:40
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 20 juni 2018 06:52:02
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -7.52806976000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.06230809000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\B1180619.SRD
//INSTRUMENT_METADATA;Lines :        156
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus	DEPH
2018	06	19	08	18	40	2018_77LA_	B1	58.80333	17.62367	0.11		13.309		-0.031		-18.49		997.62												0.112
2018	06	19	08	19	07	2018_77LA_	B1	58.80333	17.62367	0.39		16.291		8.591		6.10		855.04												0.397
2018	06	19	08	19	08	2018_77LA_	B1	58.80333	17.62367	0.67		16.296		8.597		6.10		642.98												0.681
2018	06	19	08	19	08	2018_77LA_	B1	58.80333	17.62367	0.90		16.296		8.596		6.10		345.72												0.915
2018	06	19	08	19	10	2018_77LA_	B1	58.80333	17.62367	1.11		16.288		8.598		6.12		230.70												1.128
2018	06	19	08	19	10	2018_77LA_	B1	58.80333	17.62367	1.37		16.296		8.600		6.12		214.72												1.392
2018	06	19	08	19	10	2018_77LA_	B1	58.80333	17.62367	1.64		16.297		8.600		6.12		195.95												1.666
2018	06	19	08	19	12	2018_77LA_	B1	58.80333	17.62367	1.83		16.289		8.597		6.12		181.44												1.859
2018	06	19	08	19	12	2018_77LA_	B1	58.80333	17.62367	2.17		16.299		8.602		6.11		164.27												2.204
2018	06	19	08	19	12	2018_77LA_	B1	58.80333	17.62367	2.38		16.300		8.602		6.11		143.24												2.417
2018	06	19	08	19	13	2018_77LA_	B1	58.80333	17.62367	2.58		16.298		8.602		6.11		119.81												2.620
2018	06	19	08	19	15	2018_77LA_	B1	58.80333	17.62367	2.84		16.298		8.603		6.10		113.02												2.884
2018	06	19	08	19	15	2018_77LA_	B1	58.80333	17.62367	3.12		16.295		8.604		6.10		102.77												3.168
2018	06	19	08	19	15	2018_77LA_	B1	58.80333	17.62367	3.35		16.300		8.604		6.11		91.85												3.401
2018	06	19	08	19	18	2018_77LA_	B1	58.80333	17.62367	3.58		16.291		8.605		6.10		82.00												3.635
2018	06	19	08	19	20	2018_77LA_	B1	58.80333	17.62367	3.84		16.301		8.604		6.09		76.81												3.899
2018	06	19	08	19	49	2018_77LA_	B1	58.80333	17.62367	4.08		16.276		8.605		6.05		74.81												4.142
2018	06	19	08	19	51	2018_77LA_	B1	58.80333	17.62367	4.34		16.277		8.606		6.06		75.48												4.406
2018	06	19	08	19	51	2018_77LA_	B1	58.80333	17.62367	4.74		16.272		8.606		6.06		69.09												4.812
2018	06	19	08	19	52	2018_77LA_	B1	58.80333	17.62367	4.92		16.274		8.606		6.06		66.29												4.995
2018	06	19	08	19	52	2018_77LA_	B1	58.80333	17.62367	5.11		16.272		8.607		6.06		63.76												5.188
2018	06	19	08	19	52	2018_77LA_	B1	58.80333	17.62367	5.42		16.275		8.607		6.06		58.57												5.503
2018	06	19	08	19	52	2018_77LA_	B1	58.80333	17.62367	5.68		16.268		8.603		6.06		54.44												5.766
2018	06	19	08	19	53	2018_77LA_	B1	58.80333	17.62367	5.84		16.254		8.602		6.06		51.25												5.929
2018	06	19	08	19	53	2018_77LA_	B1	58.80333	17.62367	6.12		16.250		8.602		6.05		48.59												6.213
2018	06	19	08	19	54	2018_77LA_	B1	58.80333	17.62367	6.35		16.243		8.599		6.05		45.92												6.447
2018	06	19	08	19	54	2018_77LA_	B1	58.80333	17.62367	6.67		16.231		8.598		6.06		42.06												6.771
2018	06	19	08	19	54	2018_77LA_	B1	58.80333	17.62367	6.83		16.233		8.598		6.06		39.93												6.934
2018	06	19	08	19	55	2018_77LA_	B1	58.80333	17.62367	7.08		16.230		8.596		6.06		36.47												7.187
2018	06	19	08	19	56	2018_77LA_	B1	58.80333	17.62367	7.33		16.210		8.587		6.06		33.94												7.441
2018	06	19	08	19	57	2018_77LA_	B1	58.80333	17.62367	7.63		16.185		8.589		6.06		32.08												7.746
2018	06	19	08	19	57	2018_77LA_	B1	58.80333	17.62367	7.99		16.184		8.587		6.05		29.55												8.111
2018	06	19	08	19	57	2018_77LA_	B1	58.80333	17.62367	8.18		16.153		8.560		6.06		28.09												8.304
2018	06	19	08	19	57	2018_77LA_	B1	58.80333	17.62367	8.34		16.053		8.563		6.09		26.76												8.466
2018	06	19	08	19	58	2018_77LA_	B1	58.80333	17.62367	8.57		15.970		8.542		6.09		24.23												8.700
2018	06	19	08	20	00	2018_77LA_	B1	58.80333	17.62367	8.83		15.941		8.512		6.07		22.76												8.964
2018	06	19	08	20	01	2018_77LA_	B1	58.80333	17.62367	9.07		15.619		8.460		6.12		21.16												9.207
2018	06	19	08	20	36	2018_77LA_	B1	58.80333	17.62367	9.32		15.405		8.436		6.09		21.83												9.461
2018	06	19	08	20	37	2018_77LA_	B1	58.80333	17.62367	9.58		15.038		8.309		6.15		20.63												9.725
2018	06	19	08	20	37	2018_77LA_	B1	58.80333	17.62367	9.86		14.177		8.085		6.29		19.83												10.009
2018	06	19	08	20	38	2018_77LA_	B1	58.80333	17.62367	10.12		12.970		7.966		6.46		18.90												10.273
2018	06	19	08	20	38	2018_77LA_	B1	58.80333	17.62367	10.42		12.648		7.863		6.43		17.70												10.577
2018	06	19	08	20	38	2018_77LA_	B1	58.80333	17.62367	10.58		12.143		7.774		6.53		16.90												10.739
2018	06	19	08	20	38	2018_77LA_	B1	58.80333	17.62367	10.88		11.359		7.654		6.61		15.57												11.044
2018	06	19	08	20	39	2018_77LA_	B1	58.80333	17.62367	11.20		10.825		7.598		6.59		14.24												11.368
2018	06	19	08	20	39	2018_77LA_	B1	58.80333	17.62367	11.35		10.656		7.568		6.58		13.84												11.520
2018	06	19	08	20	39	2018_77LA_	B1	58.80333	17.62367	11.67		10.415		7.543		6.55		12.78												11.845
2018	06	19	08	20	40	2018_77LA_	B1	58.80333	17.62367	11.94		10.335		7.538		6.51		11.85												12.119
2018	06	19	08	20	40	2018_77LA_	B1	58.80333	17.62367	12.14		10.320		7.539		6.48		11.18												12.322
2018	06	19	08	20	43	2018_77LA_	B1	58.80333	17.62367	12.46		10.437		7.529		6.39		10.25												12.646
2018	06	19	08	20	43	2018_77LA_	B1	58.80333	17.62367	12.65		10.283		7.506		6.42		9.85												12.839
2018	06	19	08	20	43	2018_77LA_	B1	58.80333	17.62367	12.87		10.169		7.488		6.43		9.45												13.062
2018	06	19	08	20	43	2018_77LA_	B1	58.80333	17.62367	13.07		10.067		7.470		6.44		9.18												13.265
2018	06	19	08	20	44	2018_77LA_	B1	58.80333	17.62367	13.38		9.729		7.424		6.50		8.78												13.579
2018	06	19	08	20	47	2018_77LA_	B1	58.80333	17.62367	13.58		9.545		7.400		6.60		8.12												13.782
2018	06	19	08	20	50	2018_77LA_	B1	58.80333	17.62367	13.88		9.261		7.367		6.62		8.38												14.086
2018	06	19	08	21	28	2018_77LA_	B1	58.80333	17.62367	14.09		9.148		7.340		6.59		7.05												14.299
2018	06	19	08	21	29	2018_77LA_	B1	58.80333	17.62367	14.33		9.083		7.331		6.60		6.65												14.542
2018	06	19	08	21	29	2018_77LA_	B1	58.80333	17.62367	14.63		8.783		7.290		6.68		6.25												14.846
2018	06	19	08	21	30	2018_77LA_	B1	58.80333	17.62367	14.89		8.520		7.268		6.70		5.99												15.110
