//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-03-26
//METADATA;STIME;09:56
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0024
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;459
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311803262.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180326_77FY_0024.txt
//METADATA;WINDIR;05
//METADATA;WINSP;12
//METADATA;AIRTEMP;-1
//METADATA;AIRPRES;
//METADATA;WEATH;7
//METADATA;CLOUD;7
//METADATA;WAVES;4
//METADATA;ICEOB;0
//METADATA;timestamp;2018-03-26 09:56:34
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 28 mars 2018 07:04:47
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -7.79134784000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.11736575000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311803262.SRD
//INSTRUMENT_METADATA;Lines :       1775
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus	DEPH
2018	03	26	09	56	34	2018_77FY_	BY31	58.58333	18.23333	0.26		-1.206		-0.035		-27.98		800.99												0.265
2018	03	26	09	57	14	2018_77FY_	BY31	58.58333	18.23333	0.37		1.410		6.479		10.30		1946.38												0.377
2018	03	26	09	57	15	2018_77FY_	BY31	58.58333	18.23333	0.64		1.424		6.477		10.35		1770.66												0.650
2018	03	26	09	57	15	2018_77FY_	BY31	58.58333	18.23333	0.86		1.417		6.478		10.28		784.09												0.873
2018	03	26	09	57	16	2018_77FY_	BY31	58.58333	18.23333	1.14		1.431		6.473		10.24		607.57												1.157
2018	03	26	09	57	16	2018_77FY_	BY31	58.58333	18.23333	1.34		1.430		6.477		10.22		540.34												1.359
2018	03	26	09	57	17	2018_77FY_	BY31	58.58333	18.23333	1.67		1.438		6.477		10.19		497.87												1.694
2018	03	26	09	57	17	2018_77FY_	BY31	58.58333	18.23333	1.87		1.453		6.478		10.16		471.92												1.896
2018	03	26	09	57	18	2018_77FY_	BY31	58.58333	18.23333	2.15		1.458		6.481		10.13		412.41												2.180
2018	03	26	09	57	18	2018_77FY_	BY31	58.58333	18.23333	2.34		1.447		6.478		10.12		394.17												2.373
2018	03	26	09	58	09	2018_77FY_	BY31	58.58333	18.23333	2.64		1.463		6.485		9.92		360.89												2.677
2018	03	26	09	58	09	2018_77FY_	BY31	58.58333	18.23333	2.90		1.463		6.489		9.92		316.56												2.940
2018	03	26	09	58	10	2018_77FY_	BY31	58.58333	18.23333	3.15		1.463		6.491		9.92		264.64												3.193
2018	03	26	09	58	10	2018_77FY_	BY31	58.58333	18.23333	3.39		1.463		6.495		9.91		236.29												3.436
2018	03	26	09	58	11	2018_77FY_	BY31	58.58333	18.23333	3.62		1.463		6.496		9.91		227.64												3.669
2018	03	26	09	58	12	2018_77FY_	BY31	58.58333	18.23333	3.87		1.463		6.495		9.90		202.88												3.923
2018	03	26	09	58	13	2018_77FY_	BY31	58.58333	18.23333	4.12		1.463		6.494		9.90		198.35												4.176
2018	03	26	09	58	13	2018_77FY_	BY31	58.58333	18.23333	4.40		1.463		6.498		9.90		198.08												4.460
2018	03	26	09	58	14	2018_77FY_	BY31	58.58333	18.23333	4.62		1.463		6.499		9.89		180.11												4.683
2018	03	26	09	58	15	2018_77FY_	BY31	58.58333	18.23333	4.86		1.465		6.499		9.88		162.01												4.926
2018	03	26	09	58	16	2018_77FY_	BY31	58.58333	18.23333	5.14		1.464		6.499		9.88		146.70												5.209
2018	03	26	09	58	16	2018_77FY_	BY31	58.58333	18.23333	5.35		1.464		6.500		9.88		133.79												5.422
2018	03	26	09	58	17	2018_77FY_	BY31	58.58333	18.23333	5.63		1.464		6.500		9.88		120.87												5.706
2018	03	26	09	58	17	2018_77FY_	BY31	58.58333	18.23333	5.94		1.464		6.499		9.88		110.76												6.020
2018	03	26	09	58	18	2018_77FY_	BY31	58.58333	18.23333	6.16		1.463		6.495		9.88		106.10												6.243
2018	03	26	09	58	18	2018_77FY_	BY31	58.58333	18.23333	6.36		1.463		6.498		9.88		102.77												6.446
2018	03	26	09	58	19	2018_77FY_	BY31	58.58333	18.23333	6.68		1.464		6.500		9.88		97.58												6.770
2018	03	26	09	58	19	2018_77FY_	BY31	58.58333	18.23333	6.86		1.464		6.501		9.88		92.52												6.952
2018	03	26	09	58	20	2018_77FY_	BY31	58.58333	18.23333	7.12		1.464		6.502		9.88		85.60												7.216
2018	03	26	09	58	21	2018_77FY_	BY31	58.58333	18.23333	7.36		1.464		6.502		9.87		82.93												7.459
2018	03	26	09	58	22	2018_77FY_	BY31	58.58333	18.23333	7.61		1.464		6.502		9.87		71.62												7.712
2018	03	26	09	58	23	2018_77FY_	BY31	58.58333	18.23333	7.87		1.465		6.509		9.86		66.29												7.975
2018	03	26	09	58	23	2018_77FY_	BY31	58.58333	18.23333	8.09		1.465		6.511		9.85		63.63												8.198
2018	03	26	09	58	24	2018_77FY_	BY31	58.58333	18.23333	8.35		1.467		6.514		9.86		62.57												8.462
2018	03	26	09	58	25	2018_77FY_	BY31	58.58333	18.23333	8.59		1.466		6.511		9.85		59.90												8.705
2018	03	26	09	58	27	2018_77FY_	BY31	58.58333	18.23333	8.89		1.465		6.512		9.85		55.38												9.009
2018	03	26	09	58	27	2018_77FY_	BY31	58.58333	18.23333	9.10		1.467		6.513		9.85		52.05												9.222
2018	03	26	09	58	27	2018_77FY_	BY31	58.58333	18.23333	9.35		1.469		6.528		9.85		49.39												9.475
2018	03	26	09	58	28	2018_77FY_	BY31	58.58333	18.23333	9.61		1.468		6.536		9.85		46.46												9.738
2018	03	26	09	58	28	2018_77FY_	BY31	58.58333	18.23333	9.93		1.470		6.536		9.85		43.40												10.062
2018	03	26	09	58	28	2018_77FY_	BY31	58.58333	18.23333	10.09		1.470		6.538		9.85		41.93												10.225
2018	03	26	09	58	29	2018_77FY_	BY31	58.58333	18.23333	10.41		1.470		6.539		9.84		39.27												10.549
2018	03	26	09	58	29	2018_77FY_	BY31	58.58333	18.23333	10.72		1.472		6.541		9.84		37.01												10.863
2018	03	26	09	58	29	2018_77FY_	BY31	58.58333	18.23333	10.85		1.472		6.542		9.83		36.34												10.994
2018	03	26	09	58	30	2018_77FY_	BY31	58.58333	18.23333	11.13		1.471		6.540		9.83		35.01												11.278
2018	03	26	09	58	34	2018_77FY_	BY31	58.58333	18.23333	11.38		1.474		6.540		9.81		30.88												11.531
2018	03	26	09	58	34	2018_77FY_	BY31	58.58333	18.23333	11.64		1.470		6.536		9.81		29.82												11.795
2018	03	26	09	58	34	2018_77FY_	BY31	58.58333	18.23333	11.92		1.468		6.533		9.81		28.49												12.078
2018	03	26	09	58	35	2018_77FY_	BY31	58.58333	18.23333	12.22		1.469		6.534		9.81		27.29												12.382
2018	03	26	09	58	35	2018_77FY_	BY31	58.58333	18.23333	12.49		1.470		6.537		9.81		26.09												12.656
2018	03	26	09	58	35	2018_77FY_	BY31	58.58333	18.23333	12.61		1.470		6.538		9.81		25.56												12.778
2018	03	26	09	58	36	2018_77FY_	BY31	58.58333	18.23333	12.94		1.478		6.560		9.80		24.36												13.112
2018	03	26	09	58	36	2018_77FY_	BY31	58.58333	18.23333	13.14		1.487		6.570		9.80		23.69												13.314
2018	03	26	09	58	38	2018_77FY_	BY31	58.58333	18.23333	13.37		1.488		6.582		9.78		21.43												13.547
2018	03	26	09	58	39	2018_77FY_	BY31	58.58333	18.23333	13.63		1.489		6.585		9.76		19.97												13.811
2018	03	26	09	58	39	2018_77FY_	BY31	58.58333	18.23333	13.92		1.487		6.578		9.76		18.90												14.105
2018	03	26	09	58	40	2018_77FY_	BY31	58.58333	18.23333	14.14		1.488		6.582		9.75		18.50												14.328
2018	03	26	09	58	40	2018_77FY_	BY31	58.58333	18.23333	14.37		1.488		6.582		9.75		18.10												14.561
2018	03	26	09	58	41	2018_77FY_	BY31	58.58333	18.23333	14.64		1.488		6.593		9.75		17.57												14.834
