//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-08-13
//METADATA;STIME;12:02
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0131
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;456
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;BY311808132.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180813_77FY_0131.txt
//METADATA;WINDIR;27
//METADATA;WINSP;3
//METADATA;AIRTEMP;14
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;1
//METADATA;WAVES;2
//METADATA;ICEOB;0
//METADATA;timestamp;2018-08-13 12:02:37
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.15  25.10.2013
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM908\CONFIG\CTM908.SPJ
//INSTRUMENT_METADATA;den 17 augusti 2018 11:50:03
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2013
//INSTRUMENT_METADATA;001 CTM908 001  N  Vbatt  Volt -1.56613000000E+0001  5.02053000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 002  P  Press  dbar -2.84592700000E+0001  8.80824000000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -3.78600880000E-0001 
//INSTRUMENT_METADATA;001 CTM908 003  N   Temp    °C -2.33626400000E+0000  5.89281300000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 004  N   Cond mS/cm -3.17130950000E-0001  1.21221819000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 005 VO4 rawO2    mV -9.24121000000E+0000  7.82771000000E-0002  1.01900000000E+0003  0.00000000000E+0000  1.41755316000E+0002  1.11387541000E+0000 
//INSTRUMENT_METADATA;001 CTM908 006 N24  T_iS   °C  -8.73922000000E-0003  7.86519000000E-0005 -1.00147000000E+0001  4.95301000000E+0001  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 007 NFC   PAR   µE  -2.58676000000E-0003  7.84093000000E-0005  0.00000000000E+0000  0.00000000000E+0000  1.25961000000E-0001  1.62804000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD908\v33\BY311808132.SRD
//INSTRUMENT_METADATA;Lines :       1779
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA      sat    DO_mg    DO_ml      PAR     T_iS      O_P    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [   % ]  [ mg/l]  [ ml/l]  [  µE ]  [  °C ]  [ hPa ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus	DEPH
2018	08	13	12	02	37	2018_77FY_	BY31	58.58333	18.23333	0.06		15.633		-0.064		6.86		3727.48												0.061
2018	08	13	12	03	47	2018_77FY_	BY31	58.58333	18.23333	0.20		18.735		9.659		6.11		388.58												0.204
2018	08	13	12	03	48	2018_77FY_	BY31	58.58333	18.23333	0.48		18.729		9.762		6.06		358.45												0.488
2018	08	13	12	03	48	2018_77FY_	BY31	58.58333	18.23333	0.69		18.751		9.766		6.03		129.70												0.701
2018	08	13	12	03	52	2018_77FY_	BY31	58.58333	18.23333	1.00		18.759		9.778		6.03		75.06												1.016
2018	08	13	12	03	53	2018_77FY_	BY31	58.58333	18.23333	1.22		18.755		9.778		6.03		74.04												1.239
2018	08	13	12	03	53	2018_77FY_	BY31	58.58333	18.23333	1.46		18.759		9.778		6.02		63.83												1.483
2018	08	13	12	03	54	2018_77FY_	BY31	58.58333	18.23333	1.68		18.759		9.773		6.02		61.78												1.706
2018	08	13	12	03	57	2018_77FY_	BY31	58.58333	18.23333	1.92		18.763		9.772		6.03		54.64												1.950
2018	08	13	12	03	58	2018_77FY_	BY31	58.58333	18.23333	2.18		18.769		9.776		6.02		49.02												2.214
2018	08	13	12	04	19	2018_77FY_	BY31	58.58333	18.23333	2.44		18.769		9.788		6.03		44.42												2.478
2018	08	13	12	04	19	2018_77FY_	BY31	58.58333	18.23333	2.72		18.762		9.785		6.02		42.38												2.762
2018	08	13	12	04	20	2018_77FY_	BY31	58.58333	18.23333	2.98		18.762		9.785		6.02		38.30												3.026
2018	08	13	12	04	20	2018_77FY_	BY31	58.58333	18.23333	3.19		18.764		9.784		6.02		34.72												3.239
2018	08	13	12	04	21	2018_77FY_	BY31	58.58333	18.23333	3.45		18.763		9.785		6.02		32.17												3.503
2018	08	13	12	04	21	2018_77FY_	BY31	58.58333	18.23333	3.73		18.751		9.785		6.02		29.62												3.787
2018	08	13	12	04	21	2018_77FY_	BY31	58.58333	18.23333	4.01		18.749		9.783		6.03		27.57												4.071
2018	08	13	12	04	22	2018_77FY_	BY31	58.58333	18.23333	4.28		18.711		9.771		6.03		25.53												4.345
2018	08	13	12	04	22	2018_77FY_	BY31	58.58333	18.23333	4.54		18.672		9.765		6.02		24.00												4.609
2018	08	13	12	04	22	2018_77FY_	BY31	58.58333	18.23333	4.77		18.676		9.771		6.00		22.47												4.843
2018	08	13	12	04	23	2018_77FY_	BY31	58.58333	18.23333	4.99		18.708		9.776		5.99		20.42												5.066
2018	08	13	12	04	23	2018_77FY_	BY31	58.58333	18.23333	5.23		18.713		9.760		6.00		18.89												5.310
2018	08	13	12	04	23	2018_77FY_	BY31	58.58333	18.23333	5.46		18.675		9.719		6.00		17.36												5.543
2018	08	13	12	04	24	2018_77FY_	BY31	58.58333	18.23333	5.68		18.390		9.670		6.03		16.34												5.767
2018	08	13	12	04	24	2018_77FY_	BY31	58.58333	18.23333	6.02		18.267		9.658		6.01		14.81												6.112
2018	08	13	12	04	25	2018_77FY_	BY31	58.58333	18.23333	6.26		18.249		9.645		6.01		13.79												6.355
2018	08	13	12	04	25	2018_77FY_	BY31	58.58333	18.23333	6.55		18.166		9.529		6.05		12.76												6.650
2018	08	13	12	04	25	2018_77FY_	BY31	58.58333	18.23333	6.73		17.817		9.495		6.10		12.25												6.832
2018	08	13	12	04	26	2018_77FY_	BY31	58.58333	18.23333	7.06		17.458		9.450		6.08		11.23												7.167
2018	08	13	12	04	26	2018_77FY_	BY31	58.58333	18.23333	7.22		17.354		9.438		6.07		10.72												7.330
2018	08	13	12	04	26	2018_77FY_	BY31	58.58333	18.23333	7.58		17.267		9.429		6.06		10.21												7.695
2018	08	13	12	04	26	2018_77FY_	BY31	58.58333	18.23333	7.74		17.253		9.427		6.06		9.70												7.857
2018	08	13	12	04	27	2018_77FY_	BY31	58.58333	18.23333	8.08		17.236		9.425		6.06		9.19												8.203
2018	08	13	12	04	27	2018_77FY_	BY31	58.58333	18.23333	8.24		17.233		9.425		6.07		8.68												8.365
2018	08	13	12	04	27	2018_77FY_	BY31	58.58333	18.23333	8.54		17.228		9.425		6.06		8.17												8.669
2018	08	13	12	04	27	2018_77FY_	BY31	58.58333	18.23333	8.70		17.227		9.425		6.06		8.17												8.832
2018	08	13	12	04	28	2018_77FY_	BY31	58.58333	18.23333	8.98		17.222		9.427		6.06		7.66												9.116
2018	08	13	12	04	28	2018_77FY_	BY31	58.58333	18.23333	9.25		17.215		9.427		6.05		7.15												9.390
2018	08	13	12	04	28	2018_77FY_	BY31	58.58333	18.23333	9.50		17.208		9.429		6.05		7.15												9.644
2018	08	13	12	04	29	2018_77FY_	BY31	58.58333	18.23333	9.78		17.204		9.432		6.04		6.64												9.928
2018	08	13	12	04	29	2018_77FY_	BY31	58.58333	18.23333	10.03		17.200		9.433		6.04		6.64												10.181
2018	08	13	12	04	29	2018_77FY_	BY31	58.58333	18.23333	10.18		17.197		9.432		6.03		6.13												10.334
2018	08	13	12	04	30	2018_77FY_	BY31	58.58333	18.23333	10.47		17.191		9.433		6.02		6.13												10.628
2018	08	13	12	04	30	2018_77FY_	BY31	58.58333	18.23333	10.79		17.186		9.430		6.01		6.13												10.953
2018	08	13	12	04	30	2018_77FY_	BY31	58.58333	18.23333	10.93		17.174		9.428		6.01		5.62												11.095
2018	08	13	12	04	31	2018_77FY_	BY31	58.58333	18.23333	11.26		17.138		9.424		6.01		5.62												11.430
2018	08	13	12	04	31	2018_77FY_	BY31	58.58333	18.23333	11.43		17.123		9.422		6.01		5.62												11.602
2018	08	13	12	04	31	2018_77FY_	BY31	58.58333	18.23333	11.74		17.093		9.417		6.00		5.11												11.917
2018	08	13	12	04	32	2018_77FY_	BY31	58.58333	18.23333	12.07		17.058		9.412		6.00		5.11												12.252
2018	08	13	12	04	32	2018_77FY_	BY31	58.58333	18.23333	12.22		17.033		9.407		6.00		5.11												12.404
2018	08	13	12	04	32	2018_77FY_	BY31	58.58333	18.23333	12.50		16.965		9.399		6.00		5.11												12.688
2018	08	13	12	04	32	2018_77FY_	BY31	58.58333	18.23333	12.81		16.913		9.394		6.00		5.11												13.003
2018	08	13	12	04	33	2018_77FY_	BY31	58.58333	18.23333	12.95		16.886		9.390		6.00		4.60												13.145
2018	08	13	12	04	33	2018_77FY_	BY31	58.58333	18.23333	13.23		16.811		9.381		6.00		4.60												13.429
2018	08	13	12	04	33	2018_77FY_	BY31	58.58333	18.23333	13.51		16.733		9.367		6.00		4.60												13.713
2018	08	13	12	04	34	2018_77FY_	BY31	58.58333	18.23333	13.80		16.671		9.364		5.99		4.60												14.007
2018	08	13	12	04	34	2018_77FY_	BY31	58.58333	18.23333	13.95		16.646		9.362		5.99		4.08												14.159
2018	08	13	12	04	34	2018_77FY_	BY31	58.58333	18.23333	14.23		16.581		9.355		5.99		4.08												14.443
2018	08	13	12	04	35	2018_77FY_	BY31	58.58333	18.23333	14.48		16.509		9.347		6.00		4.08												14.697
