//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-08-27
//METADATA;STIME;20:45
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0133
//METADATA;STATN;BY29
//METADATA;LATIT;5853
//METADATA;LONGI;2019
//METADATA;POSYS;NOM
//METADATA;WADEP;182
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By291808271.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180827_77FY_0133.txt
//METADATA;WINDIR;23
//METADATA;WINSP;7
//METADATA;AIRTEMP;15
//METADATA;AIRPRES;
//METADATA;WEATH;6
//METADATA;CLOUD;
//METADATA;WAVES;3
//METADATA;ICEOB;0
//METADATA;timestamp;2018-08-27 20:45:15
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 30 augusti 2018 13:53:46
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -8.23014464000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.09943928000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By291808271.SRD
//INSTRUMENT_METADATA;Lines :        694
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus	DEPH
2018	08	27	20	45	15	2018_77FY_	BY29	58.88333	20.31667	0.44		15.105		-0.031		-17.78		6.79												0.449
2018	08	27	20	47	08	2018_77FY_	BY29	58.88333	20.31667	0.72		17.816		9.266		5.71		3.59												0.733
2018	08	27	20	47	09	2018_77FY_	BY29	58.88333	20.31667	0.89		17.816		9.266		5.70		3.86												0.906
2018	08	27	20	47	09	2018_77FY_	BY29	58.88333	20.31667	1.20		17.818		9.259		5.68		2.93												1.221
2018	08	27	20	47	19	2018_77FY_	BY29	58.88333	20.31667	1.45		17.814		9.267		5.63		4.12												1.474
2018	08	27	20	47	20	2018_77FY_	BY29	58.88333	20.31667	1.68		17.821		9.268		5.63		3.99												1.708
2018	08	27	20	47	21	2018_77FY_	BY29	58.88333	20.31667	1.90		17.824		9.269		5.63		4.26												1.931
2018	08	27	20	47	21	2018_77FY_	BY29	58.88333	20.31667	2.21		17.825		9.269		5.63		3.19												2.246
2018	08	27	20	47	22	2018_77FY_	BY29	58.88333	20.31667	2.42		17.826		9.269		5.63		3.46												2.459
2018	08	27	20	47	22	2018_77FY_	BY29	58.88333	20.31667	2.71		17.825		9.270		5.63		3.19												2.754
2018	08	27	20	47	23	2018_77FY_	BY29	58.88333	20.31667	2.90		17.827		9.270		5.62		3.06												2.946
2018	08	27	20	47	23	2018_77FY_	BY29	58.88333	20.31667	3.22		17.826		9.269		5.62		2.93												3.271
2018	08	27	20	47	24	2018_77FY_	BY29	58.88333	20.31667	3.43		17.827		9.269		5.62		2.93												3.484
2018	08	27	20	47	24	2018_77FY_	BY29	58.88333	20.31667	3.65		17.827		9.270		5.62		2.79												3.708
2018	08	27	20	47	25	2018_77FY_	BY29	58.88333	20.31667	3.91		17.829		9.271		5.62		2.79												3.972
2018	08	27	20	47	26	2018_77FY_	BY29	58.88333	20.31667	4.20		17.834		9.273		5.62		2.66												4.266
2018	08	27	20	47	26	2018_77FY_	BY29	58.88333	20.31667	4.39		17.838		9.274		5.62		2.66												4.459
2018	08	27	20	47	26	2018_77FY_	BY29	58.88333	20.31667	4.66		17.840		9.274		5.61		2.66												4.733
2018	08	27	20	47	27	2018_77FY_	BY29	58.88333	20.31667	4.92		17.840		9.274		5.61		2.66												4.997
2018	08	27	20	47	28	2018_77FY_	BY29	58.88333	20.31667	5.18		17.838		9.274		5.61		2.66												5.261
2018	08	27	20	47	28	2018_77FY_	BY29	58.88333	20.31667	5.42		17.839		9.273		5.61		2.66												5.505
2018	08	27	20	47	29	2018_77FY_	BY29	58.88333	20.31667	5.65		17.840		9.274		5.61		2.53												5.738
2018	08	27	20	47	29	2018_77FY_	BY29	58.88333	20.31667	5.93		17.839		9.274		5.61		2.66												6.022
2018	08	27	20	47	30	2018_77FY_	BY29	58.88333	20.31667	6.18		17.839		9.274		5.61		2.53												6.276
2018	08	27	20	47	30	2018_77FY_	BY29	58.88333	20.31667	6.42		17.838		9.273		5.61		2.53												6.520
2018	08	27	20	47	31	2018_77FY_	BY29	58.88333	20.31667	6.63		17.839		9.274		5.60		2.66												6.733
2018	08	27	20	47	32	2018_77FY_	BY29	58.88333	20.31667	6.91		17.840		9.274		5.60		2.66												7.017
2018	08	27	20	47	32	2018_77FY_	BY29	58.88333	20.31667	7.18		17.839		9.273		5.60		2.66												7.291
2018	08	27	20	47	33	2018_77FY_	BY29	58.88333	20.31667	7.41		17.840		9.274		5.60		2.53												7.525
2018	08	27	20	47	33	2018_77FY_	BY29	58.88333	20.31667	7.65		17.840		9.275		5.60		2.53												7.768
2018	08	27	20	47	34	2018_77FY_	BY29	58.88333	20.31667	7.92		17.840		9.274		5.60		2.53												8.042
2018	08	27	20	47	35	2018_77FY_	BY29	58.88333	20.31667	8.17		17.840		9.274		5.60		2.53												8.296
2018	08	27	20	47	35	2018_77FY_	BY29	58.88333	20.31667	8.42		17.840		9.275		5.60		2.53												8.550
2018	08	27	20	47	36	2018_77FY_	BY29	58.88333	20.31667	8.69		17.840		9.274		5.60		2.53												8.824
2018	08	27	20	47	36	2018_77FY_	BY29	58.88333	20.31667	8.90		17.840		9.274		5.60		2.53												9.037
2018	08	27	20	47	37	2018_77FY_	BY29	58.88333	20.31667	9.14		17.841		9.274		5.60		2.53												9.281
2018	08	27	20	47	37	2018_77FY_	BY29	58.88333	20.31667	9.40		17.840		9.275		5.60		2.53												9.545
2018	08	27	20	47	38	2018_77FY_	BY29	58.88333	20.31667	9.69		17.839		9.274		5.60		2.53												9.839
2018	08	27	20	47	38	2018_77FY_	BY29	58.88333	20.31667	9.91		17.839		9.275		5.60		2.53												10.062
2018	08	27	20	47	39	2018_77FY_	BY29	58.88333	20.31667	10.22		17.840		9.274		5.60		2.53												10.377
2018	08	27	20	47	39	2018_77FY_	BY29	58.88333	20.31667	10.39		17.840		9.274		5.59		2.39												10.550
2018	08	27	20	47	40	2018_77FY_	BY29	58.88333	20.31667	10.72		17.841		9.274		5.59		2.53												10.885
2018	08	27	20	47	40	2018_77FY_	BY29	58.88333	20.31667	10.94		17.838		9.274		5.59		2.53												11.108
2018	08	27	20	47	41	2018_77FY_	BY29	58.88333	20.31667	11.19		17.839		9.274		5.59		2.53												11.362
2018	08	27	20	47	41	2018_77FY_	BY29	58.88333	20.31667	11.47		17.839		9.274		5.59		2.39												11.646
2018	08	27	20	47	42	2018_77FY_	BY29	58.88333	20.31667	11.69		17.840		9.274		5.59		2.39												11.869
2018	08	27	20	47	42	2018_77FY_	BY29	58.88333	20.31667	11.98		17.840		9.274		5.59		2.39												12.164
2018	08	27	20	47	43	2018_77FY_	BY29	58.88333	20.31667	12.14		17.841		9.274		5.59		2.53												12.326
2018	08	27	20	47	43	2018_77FY_	BY29	58.88333	20.31667	12.39		17.840		9.273		5.59		2.39												12.580
2018	08	27	20	47	44	2018_77FY_	BY29	58.88333	20.31667	12.68		17.840		9.274		5.59		2.53												12.874
2018	08	27	20	47	45	2018_77FY_	BY29	58.88333	20.31667	12.95		17.786		9.260		5.60		2.39												13.148
2018	08	27	20	47	45	2018_77FY_	BY29	58.88333	20.31667	13.19		17.736		9.253		5.61		2.39												13.392
2018	08	27	20	47	45	2018_77FY_	BY29	58.88333	20.31667	13.44		17.699		9.246		5.61		2.39												13.646
2018	08	27	20	47	46	2018_77FY_	BY29	58.88333	20.31667	13.69		17.689		9.245		5.59		2.39												13.899
2018	08	27	20	47	46	2018_77FY_	BY29	58.88333	20.31667	13.91		17.680		9.242		5.57		2.39												14.123
2018	08	27	20	47	47	2018_77FY_	BY29	58.88333	20.31667	14.20		17.663		9.236		5.54		2.39												14.417
2018	08	27	20	47	47	2018_77FY_	BY29	58.88333	20.31667	14.43		17.622		9.232		5.53		2.39												14.651
2018	08	27	20	47	48	2018_77FY_	BY29	58.88333	20.31667	14.70		17.590		9.229		5.51		2.39												14.925
