//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-09-10
//METADATA;STIME;11:53
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0134
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;BY311809102.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180910_77FY_0134.txt
//METADATA;WINDIR;23
//METADATA;WINSP;12
//METADATA;AIRTEMP;16
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;4
//METADATA;WAVES;4
//METADATA;ICEOB;0
//METADATA;timestamp;2018-09-10 11:53:57
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 12 september 2018 09:07:27
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -6.56271680000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.16634110000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\BY311809102.SRD
//INSTRUMENT_METADATA;Lines :       1778
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus	DEPH
2018	09	10	11	53	57	2018_77FY_	BY31	58.58333	18.23333	0.37		17.991		-0.033		-16.75		1293.28												0.377
2018	09	10	11	54	14	2018_77FY_	BY31	58.58333	18.23333	0.51		17.945		9.758		5.57		1874.89												0.520
2018	09	10	11	54	17	2018_77FY_	BY31	58.58333	18.23333	0.74		17.942		9.745		5.54		1573.37												0.753
2018	09	10	11	54	22	2018_77FY_	BY31	58.58333	18.23333	0.98		17.941		9.742		5.55		997.88												0.997
2018	09	10	11	54	32	2018_77FY_	BY31	58.58333	18.23333	1.24		17.940		9.741		5.55		772.11												1.261
2018	09	10	11	54	33	2018_77FY_	BY31	58.58333	18.23333	1.60		17.943		9.740		5.55		620.48												1.626
2018	09	10	11	54	33	2018_77FY_	BY31	58.58333	18.23333	1.76		17.942		9.740		5.55		550.86												1.788
2018	09	10	11	54	33	2018_77FY_	BY31	58.58333	18.23333	2.04		17.942		9.740		5.56		484.30												2.073
2018	09	10	11	54	34	2018_77FY_	BY31	58.58333	18.23333	2.26		17.943		9.741		5.56		460.73												2.296
2018	09	10	11	54	34	2018_77FY_	BY31	58.58333	18.23333	2.50		17.941		9.740		5.56		434.51												2.539
2018	09	10	11	54	36	2018_77FY_	BY31	58.58333	18.23333	2.73		17.936		9.740		5.56		357.03												2.773
2018	09	10	11	55	12	2018_77FY_	BY31	58.58333	18.23333	2.98		17.941		9.739		5.56		304.45												3.027
2018	09	10	11	55	12	2018_77FY_	BY31	58.58333	18.23333	3.24		17.941		9.740		5.56		252.00												3.291
2018	09	10	11	55	13	2018_77FY_	BY31	58.58333	18.23333	3.48		17.939		9.740		5.56		205.01												3.534
2018	09	10	11	55	14	2018_77FY_	BY31	58.58333	18.23333	3.72		17.934		9.739		5.56		169.20												3.778
2018	09	10	11	55	15	2018_77FY_	BY31	58.58333	18.23333	4.04		17.935		9.739		5.56		156.28												4.102
2018	09	10	11	55	16	2018_77FY_	BY31	58.58333	18.23333	4.28		17.934		9.739		5.56		145.10												4.346
2018	09	10	11	55	16	2018_77FY_	BY31	58.58333	18.23333	4.53		17.935		9.740		5.56		129.13												4.600
2018	09	10	11	55	17	2018_77FY_	BY31	58.58333	18.23333	4.78		17.934		9.739		5.57		114.88												4.853
2018	09	10	11	55	17	2018_77FY_	BY31	58.58333	18.23333	4.98		17.934		9.738		5.56		108.36												5.056
2018	09	10	11	55	18	2018_77FY_	BY31	58.58333	18.23333	5.22		17.935		9.739		5.56		97.98												5.300
2018	09	10	11	55	19	2018_77FY_	BY31	58.58333	18.23333	5.53		17.935		9.739		5.56		81.60												5.615
2018	09	10	11	55	19	2018_77FY_	BY31	58.58333	18.23333	5.79		17.935		9.739		5.56		73.88												5.879
2018	09	10	11	55	20	2018_77FY_	BY31	58.58333	18.23333	5.98		17.935		9.739		5.56		72.95												6.071
2018	09	10	11	55	21	2018_77FY_	BY31	58.58333	18.23333	6.24		17.934		9.739		5.56		66.56												6.335
2018	09	10	11	55	22	2018_77FY_	BY31	58.58333	18.23333	6.54		17.934		9.739		5.56		60.57												6.640
2018	09	10	11	55	22	2018_77FY_	BY31	58.58333	18.23333	6.75		17.934		9.739		5.56		55.51												6.853
2018	09	10	11	55	23	2018_77FY_	BY31	58.58333	18.23333	7.00		17.936		9.739		5.56		52.98												7.107
2018	09	10	11	55	23	2018_77FY_	BY31	58.58333	18.23333	7.23		17.936		9.739		5.56		48.99												7.340
2018	09	10	11	55	24	2018_77FY_	BY31	58.58333	18.23333	7.48		17.935		9.739		5.56		43.53												7.594
2018	09	10	11	55	25	2018_77FY_	BY31	58.58333	18.23333	7.72		17.936		9.740		5.56		40.07												7.837
2018	09	10	11	55	26	2018_77FY_	BY31	58.58333	18.23333	8.03		17.938		9.739		5.56		37.67												8.152
2018	09	10	11	55	26	2018_77FY_	BY31	58.58333	18.23333	8.23		17.938		9.740		5.56		35.81												8.355
2018	09	10	11	55	27	2018_77FY_	BY31	58.58333	18.23333	8.51		17.942		9.741		5.56		33.15												8.639
2018	09	10	11	55	27	2018_77FY_	BY31	58.58333	18.23333	8.79		17.941		9.741		5.57		31.02												8.923
2018	09	10	11	55	27	2018_77FY_	BY31	58.58333	18.23333	8.97		17.940		9.740		5.57		29.42												9.106
2018	09	10	11	55	28	2018_77FY_	BY31	58.58333	18.23333	9.28		17.940		9.741		5.57		26.62												9.421
2018	09	10	11	55	29	2018_77FY_	BY31	58.58333	18.23333	9.47		17.943		9.741		5.56		24.89												9.613
2018	09	10	11	55	30	2018_77FY_	BY31	58.58333	18.23333	9.79		17.941		9.740		5.57		22.89												9.938
2018	09	10	11	55	30	2018_77FY_	BY31	58.58333	18.23333	10.00		17.936		9.740		5.57		21.56												10.151
2018	09	10	11	55	31	2018_77FY_	BY31	58.58333	18.23333	10.29		17.938		9.740		5.57		20.37												10.446
2018	09	10	11	55	31	2018_77FY_	BY31	58.58333	18.23333	10.56		17.938		9.740		5.56		19.03												10.720
2018	09	10	11	55	32	2018_77FY_	BY31	58.58333	18.23333	10.78		17.936		9.739		5.57		17.84												10.943
2018	09	10	11	55	32	2018_77FY_	BY31	58.58333	18.23333	10.99		17.936		9.739		5.57		16.90												11.156
2018	09	10	11	55	33	2018_77FY_	BY31	58.58333	18.23333	11.26		17.936		9.739		5.56		15.84												11.430
2018	09	10	11	55	34	2018_77FY_	BY31	58.58333	18.23333	11.57		17.936		9.740		5.56		14.91												11.745
2018	09	10	11	55	34	2018_77FY_	BY31	58.58333	18.23333	11.78		17.935		9.740		5.56		14.11												11.958
2018	09	10	11	55	34	2018_77FY_	BY31	58.58333	18.23333	12.01		17.936		9.739		5.56		13.44												12.191
2018	09	10	11	55	35	2018_77FY_	BY31	58.58333	18.23333	12.22		17.937		9.739		5.56		12.78												12.404
2018	09	10	11	55	35	2018_77FY_	BY31	58.58333	18.23333	12.53		17.935		9.739		5.56		11.85												12.719
2018	09	10	11	55	36	2018_77FY_	BY31	58.58333	18.23333	12.78		17.934		9.739		5.56		11.05												12.973
2018	09	10	11	55	36	2018_77FY_	BY31	58.58333	18.23333	12.97		17.936		9.739		5.56		10.65												13.165
2018	09	10	11	55	37	2018_77FY_	BY31	58.58333	18.23333	13.26		17.938		9.740		5.56		10.12												13.460
2018	09	10	11	55	38	2018_77FY_	BY31	58.58333	18.23333	13.48		17.935		9.739		5.56		9.58												13.683
2018	09	10	11	55	38	2018_77FY_	BY31	58.58333	18.23333	13.83		17.934		9.739		5.56		8.92												14.038
2018	09	10	11	55	39	2018_77FY_	BY31	58.58333	18.23333	14.08		17.935		9.739		5.56		8.65												14.292
2018	09	10	11	55	39	2018_77FY_	BY31	58.58333	18.23333	14.32		17.936		9.740		5.57		8.25												14.535
2018	09	10	11	55	39	2018_77FY_	BY31	58.58333	18.23333	14.55		17.935		9.739		5.57		7.99												14.769
2018	09	10	11	55	40	2018_77FY_	BY31	58.58333	18.23333	14.81		17.926		9.736		5.57		7.45												15.033
2018	09	10	11	55	40	2018_77FY_	BY31	58.58333	18.23333	15.03		17.925		9.737		5.56		7.19												15.256
2018	09	10	11	55	41	2018_77FY_	BY31	58.58333	18.23333	15.24		17.922		9.736		5.56		6.92												15.469
2018	09	10	11	55	42	2018_77FY_	BY31	58.58333	18.23333	15.50		17.925		9.738		5.56		6.65												15.733
2018	09	10	11	55	42	2018_77FY_	BY31	58.58333	18.23333	15.76		17.916		9.733		5.56		6.25												15.997
2018	09	10	11	55	43	2018_77FY_	BY31	58.58333	18.23333	15.99		17.905		9.730		5.55		6.12												16.230
2018	09	10	11	55	43	2018_77FY_	BY31	58.58333	18.23333	16.31		17.902		9.731		5.55		5.72												16.555
2018	09	10	11	55	44	2018_77FY_	BY31	58.58333	18.23333	16.53		17.902		9.731		5.54		5.46												16.778
2018	09	10	11	55	44	2018_77FY_	BY31	58.58333	18.23333	16.72		17.897		9.728		5.54		5.46												16.971
2018	09	10	11	55	45	2018_77FY_	BY31	58.58333	18.23333	17.03		17.876		9.722		5.54		5.32												17.286
2018	09	10	11	55	45	2018_77FY_	BY31	58.58333	18.23333	17.29		17.854		9.718		5.53		5.19												17.550
2018	09	10	11	55	46	2018_77FY_	BY31	58.58333	18.23333	17.52		17.823		9.712		5.51		4.92												17.783
2018	09	10	11	55	46	2018_77FY_	BY31	58.58333	18.23333	17.78		17.826		9.713		5.50		4.79												18.047
2018	09	10	11	55	47	2018_77FY_	BY31	58.58333	18.23333	18.04		17.811		9.710		5.48		4.52												18.311
2018	09	10	11	55	47	2018_77FY_	BY31	58.58333	18.23333	18.29		17.796		9.706		5.47		4.39												18.564
2018	09	10	11	55	48	2018_77FY_	BY31	58.58333	18.23333	18.49		17.774		9.704		5.46		4.26												18.767
2018	09	10	11	55	48	2018_77FY_	BY31	58.58333	18.23333	18.73		17.775		9.699		5.45		4.26												19.011
2018	09	10	11	55	49	2018_77FY_	BY31	58.58333	18.23333	19.01		17.721		9.692		5.44		4.12												19.295
