MYEAR	PROJ	ORDERER	SLABO	ALABO	SDATE	STIME	EDATE	ETIME	SHIPC	CRUISE_NO	SERNO	STATN	LATIT	LONGI	POSYS	WADEP	COMNT_VISIT	ADD_SMP	SMTYP	INSTRUMENT_ID	REFSK_SMP	REV_DATE	FILE_NAME	FILE_NAME_DATABASE	WINDIR	WINSP	AIRTEMP	AIRPRES	WEATH	CLOUD	WAVES	ICEOB	INSTRUMENT_SERIE
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-04-14	11:52			77SE	SMHI-07-2020	0336	Slaggo	5815.59	01126.12	GPS								SBE09_1387_20200414_1152_77_10_0336.cnv	ctd_profile_20200414_77SE_0336.txt									1387
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-04-14	14:53			77SE	SMHI-07-2020	0337	A13	5820.34	01101.64	GPS								SBE09_1387_20200414_1453_77_10_0337.cnv	ctd_profile_20200414_77SE_0337.txt									1387
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-04-14	16:35			77SE	SMHI-07-2020	0338	A14	5818.87	01056.55	GPS								SBE09_1387_20200414_1635_77_10_0338.cnv	ctd_profile_20200414_77SE_0338.txt									1387
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-04-14	17:34			77SE	SMHI-07-2020	0339	A15	5817.70	01050.71	GPS								SBE09_1387_20200414_1734_77_10_0339.cnv	ctd_profile_20200414_77SE_0339.txt									1387
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-04-14	19:11			77SE	SMHI-07-2020	0340	A16	5816.05	01043.52	GPS								SBE09_1387_20200414_1911_77_10_0340.cnv	ctd_profile_20200414_77SE_0340.txt									1387
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-04-14	20:56			77SE	SMHI-07-2020	0341	A17	5817.09	01030.46	GPS								SBE09_1387_20200414_2056_77_10_0341.cnv	ctd_profile_20200414_77SE_0341.txt									1387
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-04-15	02:10			77SE	SMHI-07-2020	0342	P2	5752.00	01117.66	GPS								SBE09_1387_20200415_0210_77_10_0342.cnv	ctd_profile_20200415_77SE_0342.txt									1387
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-04-15	07:08			77SE	SMHI-07-2020	0343	Fladen	5711.48	01139.54	GPS								SBE09_1387_20200415_0708_77_10_0343.cnv	ctd_profile_20200415_77SE_0343.txt									1387
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-04-15	10:36			77SE	SMHI-07-2020	0344	N14	5656.34	01212.80	GPS								SBE09_1387_20200415_1036_77_10_0344.cnv	ctd_profile_20200415_77SE_0344.txt									1387
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-04-15	13:26			77SE	SMHI-07-2020	0345	Anholt	5640.11	01206.63	GPS								SBE09_1387_20200415_1326_77_10_0345.cnv	ctd_profile_20200415_77SE_0345.txt									1387
